,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,
26,26,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.3MP] [PRON] [PRON2],[I3MP.S],[I],[I3MP.S],
27,27,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.S.3MS] [PRON] [PRON2],[I3MS.S],[I],[I3MS.S],
28,28,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.1P],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.1P] [PRON] [PRON2],[I1P.J],[I],[I1P.J],Imperfective+jussive
29,29,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.1S],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.1S] [PRON] [PRON2],[I1S.J],[I],[I1S.J],
30,30,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2D],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.2D] [PRON] [PRON2],[I2D.J],[I],[I2D.J],
31,31,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.2FP] [PRON] [PRON2],[I2FP.J],[I],[I2FP.J],
32,32,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.2FS] [PRON] [PRON2],[I2FS.J],[I],[I2FS.J],
33,33,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.2MP] [PRON] [PRON2],[I2MP.J],[I],[I2MP.J],
34,34,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.2MS] [PRON] [PRON2],[I2MS.J],[I],[I2MS.J],
35,35,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.3FD] [PRON] [PRON2],[I3FD.J],[I],[I3FD.J],
36,36,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.3FP] [PRON] [PRON2],[I3FP.J],[I],[I3FP.J],
37,37,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.3FS] [PRON] [PRON2],[I3FS.J],[I],[I3FS.J],
38,38,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3MD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.3MD] [PRON] [PRON2],[I3MD.J],[I],[I3MD.J],
39,39,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.3MP] [PRON] [PRON2],[I3MP.J],[I],[I3MP.J],
40,40,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.J.3MS] [PRON] [PRON2],[I3MS.J],[I],[I3MS.J],
