SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.C3MS.AE	|m-i		OK		
VERB.C3FS.AE	|m-i		OK		
VERB.C3MD.AE	|m-i		OK		
VERB.C3FD.AE	|m-i		OK		
VERB.C3MP.AE	|m-i		OK		
VERB.C3FP.AE	|m-i		OK		
VERB.C1S.PE	|m-i		OK		
VERB.C1P.PE	|m-i		OK		
VERB.C2MS.PE	|m-i		OK		
VERB.C2FS.PE	|m-i		OK		
VERB.C2D.PE	|m-i		OK		
VERB.C2MP.PE	|m-i		OK		
VERB.C2FP.PE	|m-i		OK		
VERB.C3MS.PE	|m-i		OK		
VERB.C3FS.PE	|m-i		OK		
VERB.C3MD.PE	|m-i		OK		
VERB.C3FD.PE	|m-i		OK		
VERB.C3MP.PE	|m-i		OK		
VERB.C3FP.PE	|m-i		OK		
VERB.C1S.AE.E0	|m-i		OK		
VERB.C1P.AE.E0	|m-i		OK		
VERB.C2MS.AE.E0	|m-i		OK		
VERB.C2FS.AE.E0	|m-i		OK		
VERB.C2D.AE.E0	|m-i		OK		
VERB.C2MP.AE.E0	|m-i		OK		
VERB.C2FP.AE.E0	|m-i		OK		
VERB.C3MS.AE.E0	|m-i		OK		
VERB.C3FS.AE.E0	|m-i		OK		
VERB.C3MD.AE.E0	|m-i		OK		
VERB.C3FD.AE.E0	|m-i		OK		
VERB.C3MP.AE.E0	|m-i		OK		
VERB.C3FP.AE.E0	|m-i		OK		
VERB.C1S.PE.E0	|m-i		OK		
VERB.C1P.PE.E0	|m-i		OK		
VERB.C2MS.PE.E0	|m-i		OK		
VERB.C2FS.PE.E0	|m-i		OK		
VERB.C2D.PE.E0	|m-i		OK		
VERB.C2MP.PE.E0	|m-i		OK		
VERB.C2FP.PE.E0	|m-i		OK		
VERB.C3MS.PE.E0	|m-i		OK		
VERB.C3FS.PE.E0	|m-i		OK		
VERB.C3MD.PE.E0	|m-i		OK		
VERB.C3FD.PE.E0	|m-i		OK		
VERB.C3MP.PE.E0	|m-i		OK		
VERB.C3FP.PE.E0	|m-i		OK		
VERB.C1S.AE	|n-u		OK		
VERB.C1P.AE	|n-u		OK		
VERB.C2MS.AE	|n-u	>uwnano	OK		
VERB.C2FS.AE	|n-u	>uwnino	OK		
VERB.C2D.AE	|n-u	>uwnAn~i	OK		
VERB.C2MP.AE	|n-u	>uwnuno	OK		
VERB.C2FP.AE	|n-u	>un~An~i	OK		
VERB.C3MS.AE	|n-u		OK		
VERB.C3FS.AE	|n-u		OK		
VERB.C3MD.AE	|n-u		OK		
VERB.C3FD.AE	|n-u		OK		
VERB.C3MP.AE	|n-u		OK		
VERB.C3FP.AE	|n-u		OK		
VERB.C1S.PE	|n-u		OK		
VERB.C1P.PE	|n-u		OK		
VERB.C2MS.PE	|n-u		OK		
VERB.C2FS.PE	|n-u		OK		
VERB.C2D.PE	|n-u		OK		
VERB.C2MP.PE	|n-u		OK		
VERB.C2FP.PE	|n-u		OK		
VERB.C3MS.PE	|n-u		OK		
VERB.C3FS.PE	|n-u		OK		
VERB.C3MD.PE	|n-u		OK		
VERB.C3FD.PE	|n-u		OK		
VERB.C3MP.PE	|n-u		OK		
VERB.C3FP.PE	|n-u		OK		
VERB.C1S.AE.E0	|n-u		OK		
VERB.C1P.AE.E0	|n-u		OK		
VERB.C2MS.AE.E0	|n-u	>uwnanohu	OK		
VERB.C2FS.AE.E0	|n-u	>uwninohu	OK		
VERB.C2D.AE.E0	|n-u	>uwnAn~ihi	OK		
VERB.C2MP.AE.E0	|n-u	>uwnunohu	OK		
VERB.C2FP.AE.E0	|n-u	>un~An~ihi	OK		
VERB.C3MS.AE.E0	|n-u		OK		
VERB.C3FS.AE.E0	|n-u		OK		
VERB.C3MD.AE.E0	|n-u		OK		
VERB.C3FD.AE.E0	|n-u		OK		
VERB.C3MP.AE.E0	|n-u		OK		
VERB.C3FP.AE.E0	|n-u		OK		
VERB.C1S.PE.E0	|n-u		OK		
VERB.C1P.PE.E0	|n-u		OK		
VERB.C2MS.PE.E0	|n-u		OK		
VERB.C2FS.PE.E0	|n-u		OK		
VERB.C2D.PE.E0	|n-u		OK		
VERB.C2MP.PE.E0	|n-u		OK		
VERB.C2FP.PE.E0	|n-u		OK		
VERB.C3MS.PE.E0	|n-u		OK		
VERB.C3FS.PE.E0	|n-u		OK		
VERB.C3MD.PE.E0	|n-u		OK		
VERB.C3FD.PE.E0	|n-u		OK		
VERB.C3MP.PE.E0	|n-u		OK		
VERB.C3FP.PE.E0	|n-u		OK		
VERB.C1S.AE	faz~-i		OK		
VERB.C1P.AE	faz~-i		OK		
VERB.C2MS.AE	faz~-i	fiz~ano	OK		
VERB.C2FS.AE	faz~-i	fiz~ino	OK		
VERB.C2D.AE	faz~-i	fiz~An~i	OK		
VERB.C2MP.AE	faz~-i	fiz~uno	OK		
VERB.C2FP.AE	faz~-i	AifoziznAn~i	OK		
VERB.C3MS.AE	faz~-i		OK		
VERB.C3FS.AE	faz~-i		OK		
VERB.C3MD.AE	faz~-i		OK		
VERB.C3FD.AE	faz~-i		OK		
VERB.C3MP.AE	faz~-i		OK		
VERB.C3FP.AE	faz~-i		OK		
VERB.C1S.PE	faz~-i		OK		
VERB.C1P.PE	faz~-i		OK		
VERB.C2MS.PE	faz~-i		OK		
VERB.C2FS.PE	faz~-i		OK		
VERB.C2D.PE	faz~-i		OK		
VERB.C2MP.PE	faz~-i		OK		
VERB.C2FP.PE	faz~-i		OK		
VERB.C3MS.PE	faz~-i		OK		
VERB.C3FS.PE	faz~-i		OK		
VERB.C3MD.PE	faz~-i		OK		
VERB.C3FD.PE	faz~-i		OK		
VERB.C3MP.PE	faz~-i		OK		
VERB.C3FP.PE	faz~-i		OK		
VERB.C1S.AE.E0	faz~-i		OK		
VERB.C1P.AE.E0	faz~-i		OK		
VERB.C2MS.AE.E0	faz~-i	fiz~anohu	OK		
VERB.C2FS.AE.E0	faz~-i	fiz~inohu	OK		
VERB.C2D.AE.E0	faz~-i	fiz~An~ihi	OK		
VERB.C2MP.AE.E0	faz~-i	fiz~unohu	OK		
VERB.C2FP.AE.E0	faz~-i	AifoziznAn~ihi	OK		
VERB.C3MS.AE.E0	faz~-i		OK		
VERB.C3FS.AE.E0	faz~-i		OK		
VERB.C3MD.AE.E0	faz~-i		OK		
VERB.C3FD.AE.E0	faz~-i		OK		
VERB.C3MP.AE.E0	faz~-i		OK		
VERB.C3FP.AE.E0	faz~-i		OK		
VERB.C1S.PE.E0	faz~-i		OK		
VERB.C1P.PE.E0	faz~-i		OK		
VERB.C2MS.PE.E0	faz~-i		OK		
VERB.C2FS.PE.E0	faz~-i		OK		
VERB.C2D.PE.E0	faz~-i		OK		
VERB.C2MP.PE.E0	faz~-i		OK		
VERB.C2FP.PE.E0	faz~-i		OK		
VERB.C3MS.PE.E0	faz~-i		OK		
VERB.C3FS.PE.E0	faz~-i		OK		
VERB.C3MD.PE.E0	faz~-i		OK		
VERB.C3FD.PE.E0	faz~-i		OK		
VERB.C3MP.PE.E0	faz~-i		OK		
VERB.C3FP.PE.E0	faz~-i		OK		
VERB.C1S.AE	>abA'		OK		
VERB.C1P.AE	>abA'		OK		
VERB.C2MS.AE	>abA'	>abiy}ano	OK		
VERB.C2FS.AE	>abA'	>abiy}ino	OK		
VERB.C2D.AE	>abA'	>abiy}An~i	OK		
VERB.C2MP.AE	>abA'	>abiy}uno	OK		
VERB.C2FP.AE	>abA'	>abi}nAn~i	OK		
VERB.C3MS.AE	>abA'		OK		
VERB.C3FS.AE	>abA'		OK		
VERB.C3MD.AE	>abA'		OK		
VERB.C3FD.AE	>abA'		OK		
VERB.C3MP.AE	>abA'		OK		
VERB.C3FP.AE	>abA'		OK		
VERB.C1S.PE	>abA'		OK		
VERB.C1P.PE	>abA'		OK		
VERB.C2MS.PE	>abA'		OK		
VERB.C2FS.PE	>abA'		OK		
VERB.C2D.PE	>abA'		OK		
VERB.C2MP.PE	>abA'		OK		
VERB.C2FP.PE	>abA'		OK		
VERB.C3MS.PE	>abA'		OK		
VERB.C3FS.PE	>abA'		OK		
VERB.C3MD.PE	>abA'		OK		
VERB.C3FD.PE	>abA'		OK		
VERB.C3MP.PE	>abA'		OK		
VERB.C3FP.PE	>abA'		OK		
VERB.C1S.AE.E0	>abA'		OK		
VERB.C1P.AE.E0	>abA'		OK		
VERB.C2MS.AE.E0	>abA'	>abiy}anohu	OK		
VERB.C2FS.AE.E0	>abA'	>abiy}inohu	OK		
VERB.C2D.AE.E0	>abA'	>abiy}An~ihi	OK		
VERB.C2MP.AE.E0	>abA'	>abiy}unohu	OK		
VERB.C2FP.AE.E0	>abA'	>abi}nAn~ihi	OK		
VERB.C3MS.AE.E0	>abA'		OK		
VERB.C3FS.AE.E0	>abA'		OK		
VERB.C3MD.AE.E0	>abA'		OK		
VERB.C3FD.AE.E0	>abA'		OK		
VERB.C3MP.AE.E0	>abA'		OK		
VERB.C3FP.AE.E0	>abA'		OK		
VERB.C1S.PE.E0	>abA'		OK		
VERB.C1P.PE.E0	>abA'		OK		
VERB.C2MS.PE.E0	>abA'		OK		
VERB.C2FS.PE.E0	>abA'		OK		
VERB.C2D.PE.E0	>abA'		OK		
VERB.C2MP.PE.E0	>abA'		OK		
VERB.C2FP.PE.E0	>abA'		OK		
VERB.C3MS.PE.E0	>abA'		OK		
VERB.C3FS.PE.E0	>abA'		OK		
VERB.C3MD.PE.E0	>abA'		OK		
VERB.C3FD.PE.E0	>abA'		OK		
