SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MS.CG.E0	<i$aEoyA'	<i$aEoyA}ihi	OK		
NOM.MS.CA.E0	<i$aEoyA'	<i$aEoyA'ahu	OK		
NOM.FS.DN.P0	saloT	Als~aloTu	OK		
NOM.FS.DG.P0	saloT	Als~aloTi	OK		
NOM.FS.DA.P0	saloT	Als~aloTa	OK		
NOM.FS.IN	saloT	saloTu	OK		
NOM.FS.IG	saloT	saloTa	OK		
NOM.FS.IA	saloT	saloTa	OK		
NOM.FS.CN	saloT	saloTu	OK		
NOM.FS.CG	saloT	saloTi	OK		
NOM.FS.CA	saloT	saloTa	OK		
NOM.FS.DN.P0.E0	saloT		OK		
NOM.FS.DG.P0.E0	saloT		OK		
NOM.FS.DA.P0.E0	saloT		OK		
NOM.FS.CN.E0	saloT	saloTuhu	OK		
NOM.FS.CG.E0	saloT	saloTihi	OK		
NOM.FS.CA.E0	saloT	saloTahu	OK		
NOM.FS.DN.P0	balanosiyap	Albalanosiyapu	OK		
NOM.FS.DG.P0	balanosiyap	Albalanosiyapi	OK		
NOM.FS.DA.P0	balanosiyap	Albalanosiyapa	OK		
NOM.FS.IN	balanosiyap	balanosiyapu	OK		
NOM.FS.IG	balanosiyap	balanosiyapa	OK		
NOM.FS.IA	balanosiyap	balanosiyapa	OK		
NOM.FS.CN	balanosiyap	balanosiyapu	OK		
NOM.FS.CG	balanosiyap	balanosiyapi	OK		
NOM.FS.CA	balanosiyap	balanosiyapa	OK		
NOM.FS.DN.P0.E0	balanosiyap		OK		
NOM.FS.DG.P0.E0	balanosiyap		OK		
NOM.FS.DA.P0.E0	balanosiyap		OK		
NOM.FS.CN.E0	balanosiyap	balanosiyatuhu	OK		
NOM.FS.CG.E0	balanosiyap	balanosiyatihi	OK		
NOM.FS.CA.E0	balanosiyap	balanosiyatahu	OK		
NOM.MS.DN.P0.E0	<il		OK		
NOM.MS.DG.P0.E0	<il		OK		
NOM.MS.DA.P0.E0	<il		OK		
NOM.FS.DN.P0	saba>	Als~aba>u	OK		
NOM.FS.DG.P0	saba>	Als~aba>i	OK		
NOM.FS.DA.P0	saba>	Als~aba>a	OK		
NOM.FS.IN	saba>	saba>u	OK		
NOM.FS.IG	saba>	saba>a	OK		
NOM.FS.IA	saba>	saba>a	OK		
NOM.FS.CN	saba>	saba>u	OK		
NOM.FS.CG	saba>	saba>i	OK		
NOM.FS.CA	saba>	saba>a	OK		
NOM.FS.DN.P0.E0	saba>		OK		
NOM.FS.DG.P0.E0	saba>		OK		
NOM.FS.DA.P0.E0	saba>		OK		
NOM.FS.CN.E0	saba>	saba&uhu	OK		
NOM.FS.CG.E0	saba>	saba}ihi	OK		
NOM.FS.CA.E0	saba>	saba>ahu	OK		
NOM.FP.DN.P0	EawATif	AlEawATifu	OK		
NOM.FP.DG.P0	EawATif	AlEawATifi	OK		
NOM.FP.DA.P0	EawATif	AlEawATifa	OK		
NOM.FP.IN	EawATif	EawATifu	OK		
NOM.FP.IG	EawATif	EawATifa	OK		
NOM.FP.IA	EawATif	EawATifa	OK		
NOM.FP.CN	EawATif	EawATifu	OK		
NOM.FP.CG	EawATif	EawATifi	OK		
NOM.FP.CA	EawATif	EawATifa	OK		
NOM.FP.DN.P0.E0	EawATif		OK		
NOM.FP.DG.P0.E0	EawATif		OK		
NOM.FP.DA.P0.E0	EawATif		OK		
NOM.FP.CN.E0	EawATif	EawATifuhu	OK		
NOM.FP.CG.E0	EawATif	EawATifihi	OK		
NOM.FP.CA.E0	EawATif	EawATifahu	OK		
NOM.MP.DN.P0	$uyuwx	Al$~uyuwxu	OK		
NOM.MP.DG.P0	$uyuwx	Al$~uyuwxi	OK		
NOM.MP.DA.P0	$uyuwx	Al$~uyuwxa	OK		
NOM.MP.IN	$uyuwx	$uyuwxu	OK		
NOM.MP.IG	$uyuwx	$uyuwxa	OK		
NOM.MP.IA	$uyuwx	$uyuwxa	OK		
NOM.MP.CN	$uyuwx	$uyuwxu	OK		
NOM.MP.CG	$uyuwx	$uyuwxi	OK		
NOM.MP.CA	$uyuwx	$uyuwxa	OK		
NOM.MP.DN.P0.E0	$uyuwx		OK		
NOM.MP.DG.P0.E0	$uyuwx		OK		
NOM.MP.DA.P0.E0	$uyuwx		OK		
NOM.MP.CN.E0	$uyuwx	$uyuwxuhu	OK		
NOM.MP.CG.E0	$uyuwx	$uyuwxihi	OK		
NOM.MP.CA.E0	$uyuwx	$uyuwxahu	OK		
NOM.MS.DN.P0	lubonAn	All~ubonAnu	OK		
NOM.MS.DG.P0	lubonAn	All~ubonAni	OK		
NOM.MS.DA.P0	lubonAn	All~ubonAna	OK		
NOM.MS.IN	lubonAn	lubonAnu	OK		
NOM.MS.IG	lubonAn	lubonAna	OK		
NOM.MS.IA	lubonAn	lubonAna	OK		
NOM.MS.CN	lubonAn	lubonAnu	OK		
NOM.MS.CG	lubonAn	lubonAni	OK		
NOM.MS.CA	lubonAn	lubonAna	OK		
NOM.MS.DN.P0.E0	lubonAn		OK		
NOM.MS.DG.P0.E0	lubonAn		OK		
NOM.MS.DA.P0.E0	lubonAn		OK		
NOM.MS.CN.E0	lubonAn	lubonAnuhu	OK		
NOM.MS.CG.E0	lubonAn	lubonAnihi	OK		
NOM.MS.CA.E0	lubonAn	lubonAnahu	OK		
NOM.FS.DN.P0	sabotap	Als~abotahapu	OK		
NOM.FS.DG.P0	sabotap	Als~abotahapi	OK		
NOM.FS.DA.P0	sabotap	Als~abotahapa	OK		
NOM.FS.IN	sabotap	sabotahapu	OK		
NOM.FS.IG	sabotap	sabotahapa	OK		
NOM.FS.IA	sabotap	sabotahapa	OK		
