SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
OTHER...P12.E0_bi_prep	|na}i*K		OK		
OTHER...P12.E0_li_prep	|na}i*K		OK		
OTHER....	>a	>a	OK		
OTHER...P1_bi_prep	>a		OK		
OTHER...P1_li_prep	>a		OK		
OTHER...P2	>a	wa>a	OK		
OTHER...P12_bi_prep	>a		OK		
OTHER...P12_li_prep	>a		OK		
OTHER...E0	>a		OK		
OTHER...P1.E0_bi_prep	>a		OK		
OTHER...P1.E0_li_prep	>a		OK		
OTHER...P2.E0	>a		OK		
OTHER...P12.E0_bi_prep	>a		OK		
OTHER...P12.E0_li_prep	>a		OK		
OTHER....	>ajal		PROB		
OTHER...P1_bi_prep	>ajal		OK		
OTHER...P1_li_prep	>ajal		OK		
OTHER...P2	>ajal		PROB	CONJ	
OTHER...P12_bi_prep	>ajal		OK		
OTHER...P12_li_prep	>ajal		OK		
OTHER...E0	>ajal		OK		
OTHER...P1.E0_bi_prep	>ajal		OK		
OTHER...P1.E0_li_prep	>ajal		OK		
OTHER...P2.E0	>ajal		OK		
OTHER...P12.E0_bi_prep	>ajal		OK		
OTHER...P12.E0_li_prep	>ajal		OK		
OTHER....	>amo	>amo	OK		
OTHER...P1_bi_prep	>amo		OK		
OTHER...P1_li_prep	>amo		OK		
OTHER...P2	>amo	wa>amo	OK		
OTHER...P12_bi_prep	>amo		OK		
OTHER...P12_li_prep	>amo		OK		
OTHER...E0	>amo		OK		
OTHER...P1.E0_bi_prep	>amo		OK		
OTHER...P1.E0_li_prep	>amo		OK		
OTHER...P2.E0	>amo		OK		
OTHER...P12.E0_bi_prep	>amo		OK		
OTHER...P12.E0_li_prep	>amo		OK		
OTHER....	>am~A	>am~A	OK		
OTHER...P1_bi_prep	>am~A		OK		
OTHER...P1_li_prep	>am~A		OK		
OTHER...P2	>am~A	wa>am~A	OK		
OTHER...P12_bi_prep	>am~A		OK		
OTHER...P12_li_prep	>am~A		OK		
OTHER...E0	>am~A		OK		
OTHER...P1.E0_bi_prep	>am~A		OK		
OTHER...P1.E0_li_prep	>am~A		OK		
OTHER...P2.E0	>am~A		OK		
OTHER...P12.E0_bi_prep	>am~A		OK		
OTHER...P12.E0_li_prep	>am~A		OK		
OTHER....	>an~a	>an~a	OK		
OTHER...P1_bi_prep	>an~a	bi>an~a	OK		
OTHER...P1_li_prep	>an~a	li>an~a	OK		
OTHER...P2	>an~a	wa>an~a	OK		
OTHER...P12_bi_prep	>an~a	wabi>an~a	OK		
OTHER...P12_li_prep	>an~a	wali>an~a	OK		
OTHER...E0	>an~a	>an~ahu	OK		
OTHER...P1.E0_bi_prep	>an~a	bi>an~ahu	OK		
OTHER...P1.E0_li_prep	>an~a	li>an~ahu	OK		
OTHER...P2.E0	>an~a	wa>an~ahu	OK		
OTHER...P12.E0_bi_prep	>an~a	wabi>an~ahu	OK		
OTHER...P12.E0_li_prep	>an~a	wali>an~ahu	OK		
OTHER....	>an~a	>an~amA	OK		
OTHER...P1_bi_prep	>an~a	bi>an~amA	OK		
OTHER...P1_li_prep	>an~a	li>an~amA	OK		
OTHER...P2	>an~a	wa>an~amA	OK		
OTHER...P12_bi_prep	>an~a	wabi>an~amA	OK		
OTHER...P12_li_prep	>an~a	wali>an~amA	OK		
OTHER....	>anA	>anA	OK		
OTHER...P1_bi_prep	>anA		OK		
OTHER...P1_li_prep	>anA		OK		
OTHER...P2	>anA	wa>anA	OK		
OTHER...P12_bi_prep	>anA		OK		
OTHER...P12_li_prep	>anA		OK		
OTHER...E0	>anA		OK		
OTHER...P1.E0_bi_prep	>anA		OK		
OTHER...P1.E0_li_prep	>anA		OK		
OTHER...P2.E0	>anA		OK		
OTHER...P12.E0_bi_prep	>anA		OK		
OTHER...P12.E0_li_prep	>anA		OK		
OTHER....	<i*o	<i*o	PROB	PART	
OTHER...P1_bi_prep	<i*o		OK		
OTHER...P1_li_prep	<i*o		OK		
OTHER...P2	<i*o	wa<i*o	PROB	PART	
OTHER...P12_bi_prep	<i*o		OK		
OTHER...P12_li_prep	<i*o		OK		
OTHER...E0	<i*o		OK		
OTHER...P1.E0_bi_prep	<i*o		OK		
OTHER...P1.E0_li_prep	<i*o		OK		
OTHER...P2.E0	<i*o		OK		
OTHER...P12.E0_bi_prep	<i*o		OK		
OTHER...P12.E0_li_prep	<i*o		OK		
OTHER....	sawofa	sawofa	OK		
OTHER...P1_bi_prep	sawofa		OK		
OTHER...P1_li_prep	sawofa		OK		
OTHER...P2	sawofa	wasawofa	OK		
OTHER...P12_bi_prep	sawofa		OK		
OTHER...P12_li_prep	sawofa		OK		
OTHER...E0	sawofa		OK		
OTHER...P1.E0_bi_prep	sawofa		OK		
OTHER...P1.E0_li_prep	sawofa		OK		
OTHER...P2.E0	sawofa		OK		
OTHER...P12.E0_bi_prep	sawofa		OK		
OTHER...P12.E0_li_prep	sawofa		OK		
OTHER....	qado	qado	OK		
OTHER...P1_bi_prep	qado		OK		
OTHER...P1_li_prep	qado		OK		
OTHER...P2	qado	waqado	OK		
OTHER...P12_bi_prep	qado		OK		
OTHER...P12_li_prep	qado		OK		
OTHER...E0	qado		OK		
OTHER...P1.E0_bi_prep	qado		OK		
OTHER...P1.E0_li_prep	qado		OK		
OTHER...P2.E0	qado		OK		
OTHER...P12.E0_bi_prep	qado		OK		
OTHER...P12.E0_li_prep	qado		OK		
OTHER....	lA	lA	OK		
OTHER...P1_bi_prep	lA		OK		
OTHER...P1_li_prep	lA		OK		
OTHER...P2	lA	walA	OK		
OTHER...P12_bi_prep	lA		OK		
OTHER...P12_li_prep	lA		OK		
OTHER...E0	lA		OK		
OTHER...P1.E0_bi_prep	lA		OK		
OTHER...P1.E0_li_prep	lA		OK		
OTHER...P2.E0	lA		OK		
OTHER...P12.E0_bi_prep	lA		OK		
OTHER...P12.E0_li_prep	lA		OK		
OTHER....	mA	mA	OK		
OTHER...P1_bi_prep	mA		OK		
OTHER...P1_li_prep	mA		OK		
OTHER...P2	mA	wamA	OK		
OTHER...P12_bi_prep	mA		OK		
OTHER...P12_li_prep	mA		OK		
OTHER...E0	mA		OK		
OTHER...P1.E0_bi_prep	mA		OK		
