SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.I3MS.AI	bada>	yibda>	OK		
VERB.I3FS.AI	bada>	tibda>	OK		
VERB.I3P.AI	bada>	yibda&uwA	OK		
VERB.I1S.AI.E0	bada>	Aabda>uh	OK		
VERB.I1P.AI.E0	bada>	nibda>uh	OK		
VERB.I2MS.AI.E0	bada>	tibda>uh	OK		
VERB.I2FS.AI.E0	bada>	tibda}iyuh	PROB		
VERB.I2P.AI.E0	bada>	tibda&uwuh	PROB		
VERB.I3MS.AI.E0	bada>	yibda>uh	OK		
VERB.I3FS.AI.E0	bada>	tibda>uh	OK		
VERB.I3P.AI.E0	bada>	yibda&uwuh	PROB		
VERB.I1S.AI	>asA'	Aasiy'	OK		
VERB.I1P.AI	>asA'	nisiy'	OK		
VERB.I2MS.AI	>asA'	tisiy'	OK		
VERB.I2FS.AI	>asA'	tisiy}iy	OK		
VERB.I2P.AI	>asA'	tisiy}uwA	OK		
VERB.I3MS.AI	>asA'	yisiy'	OK		
VERB.I3FS.AI	>asA'	tisiy'	OK		
VERB.I3P.AI	>asA'	yisiy}uwA	OK		
VERB.I1S.AI.E0	>asA'		OK		
VERB.I1P.AI.E0	>asA'		OK		
VERB.I2MS.AI.E0	>asA'		OK		
VERB.I2FS.AI.E0	>asA'		OK		
VERB.I2P.AI.E0	>asA'		OK		
VERB.I3MS.AI.E0	>asA'		OK		
VERB.I3FS.AI.E0	>asA'		OK		
VERB.I3P.AI.E0	>asA'		OK		
VERB.I1S.AI	>aDA'	AaDiy'	OK		
VERB.I1P.AI	>aDA'	niDiy'	OK		
VERB.I2MS.AI	>aDA'	tiDiy'	OK		
VERB.I2FS.AI	>aDA'	tiDiy}iy	OK		
VERB.I2P.AI	>aDA'	tiDiy}uwA	OK		
VERB.I3MS.AI	>aDA'	yiDiy'	OK		
VERB.I3FS.AI	>aDA'	tiDiy'	OK		
VERB.I3P.AI	>aDA'	yiDiy}uwA	OK		
VERB.I1S.AI.E0	>aDA'	AaDiy}uh	OK		
VERB.I1P.AI.E0	>aDA'	niDiy}uh	OK		
VERB.I2MS.AI.E0	>aDA'	tiDiy}uh	OK		
VERB.I2FS.AI.E0	>aDA'	tiDiy}iyuh	PROB		
VERB.I2P.AI.E0	>aDA'	tiDiy}uwuh	PROB		
VERB.I3MS.AI.E0	>aDA'	yiDiy}uh	OK		
VERB.I3FS.AI.E0	>aDA'	tiDiy}uh	OK		
VERB.I3P.AI.E0	>aDA'	yiDiy}uwuh	PROB		
VERB.I1S.AI	kal		PROB		
VERB.I1P.AI	kal	nAkul	OK		
VERB.I2MS.AI	kal	tAkul	OK		
VERB.I2FS.AI	kal	tAkuliy	PROB		
VERB.I2P.AI	kal	tAkuluwA	PROB		
VERB.I3MS.AI	kal	yAkul	OK		
VERB.I3FS.AI	kal	tAkul	OK		
VERB.I3P.AI	kal	yAkuluwA	PROB		
VERB.I1S.AI.E0	kal		OK		
VERB.I1P.AI.E0	kal		OK		
VERB.I2MS.AI.E0	kal		OK		
VERB.I2FS.AI.E0	kal		OK		
VERB.I2P.AI.E0	kal		OK		
VERB.I3MS.AI.E0	kal		OK		
VERB.I3FS.AI.E0	kal		OK		
VERB.I3P.AI.E0	kal		OK		
VERB.I1S.AI	rad~		PROB		
VERB.I1P.AI	rad~	nurud~	OK		
VERB.I2MS.AI	rad~	turud~	OK		
VERB.I2FS.AI	rad~	turud~iy	OK		
VERB.I2P.AI	rad~	turud~uwA	OK		
VERB.I3MS.AI	rad~	yurud~	OK		
VERB.I3FS.AI	rad~	turud~	OK		
VERB.I3P.AI	rad~	yurud~uwA	OK		
VERB.I1P.AI.E0	rad~	nurud~uh	OK		
VERB.I2MS.AI.E0	rad~	turud~uh	OK		
VERB.I2FS.AI.E0	rad~	turud~iyuh	PROB		
VERB.I2P.AI.E0	rad~	turud~uwuh	PROB		
VERB.I3MS.AI.E0	rad~	yurud~uh	OK		
VERB.I3FS.AI.E0	rad~	turud~uh	OK		
VERB.I3P.AI.E0	rad~	yurud~uwuh	PROB		
VERB.I1S.AI	Aitoman~aY	Aatoman~aY	OK		
VERB.I1P.AI	Aitoman~aY	nitoman~aY	OK		
VERB.I2MS.AI	Aitoman~aY	titoman~aY	OK		
VERB.I2FS.AI	Aitoman~aY	titoman~iy	OK		
VERB.I2P.AI	Aitoman~aY	titoman~uwA	OK		
VERB.I3MS.AI	Aitoman~aY	yitoman~aY	OK		
VERB.I3FS.AI	Aitoman~aY	titoman~aY	OK		
VERB.I3P.AI	Aitoman~aY	yitoman~uwA	OK		
VERB.I1S.AI.E0	Aitoman~aY		OK		
VERB.I1P.AI.E0	Aitoman~aY		OK		
VERB.I2MS.AI.E0	Aitoman~aY		OK		
VERB.I2FS.AI.E0	Aitoman~aY		OK		
VERB.I2P.AI.E0	Aitoman~aY		OK		
VERB.I3MS.AI.E0	Aitoman~aY		OK		
VERB.I3FS.AI.E0	Aitoman~aY		OK		
VERB.I3P.AI.E0	Aitoman~aY		OK		
VERB.I1S.AI	hidiy	AahdA	OK		
VERB.I1P.AI	hidiy	nihdA	OK		
VERB.I2MS.AI	hidiy	tihdA	OK		
VERB.I2FS.AI	hidiy	tihdiy	OK		
VERB.I2P.AI	hidiy	tihduwA	OK		
VERB.I3MS.AI	hidiy	yihdA	OK		
VERB.I3FS.AI	hidiy	tihdA	OK		
VERB.I3P.AI	hidiy	yihduwA	OK		
VERB.I1S.AI.E0	hidiy		OK		
VERB.I1P.AI.E0	hidiy		OK		
VERB.I2MS.AI.E0	hidiy		OK		
VERB.I2FS.AI.E0	hidiy		OK		
VERB.I2P.AI.E0	hidiy		OK		
VERB.I3MS.AI.E0	hidiy		OK		
VERB.I3FS.AI.E0	hidiy		OK		
VERB.I3P.AI.E0	hidiy		OK		
VERB.I1S.AI	Aitosab~	Aatosab~	OK		
VERB.I1S.AI	Aitosab~	Aatovab~	PROB		
VERB.I1P.AI	Aitosab~	nitosab~	OK		
VERB.I1P.AI	Aitosab~	nitovab~	PROB		
VERB.I2MS.AI	Aitosab~	titosab~	OK		
VERB.I2MS.AI	Aitosab~	titovab~	PROB		
VERB.I2FS.AI	Aitosab~	titosab~iy	OK		
VERB.I2FS.AI	Aitosab~	titovab~iy	PROB		
VERB.I2P.AI	Aitosab~	titosab~uwA	OK		
VERB.I2P.AI	Aitosab~	titovab~uwA	PROB		
VERB.I3MS.AI	Aitosab~	yitosab~	OK		
VERB.I3MS.AI	Aitosab~	yitovab~	PROB		
VERB.I3FS.AI	Aitosab~	titosab~	OK		
VERB.I3FS.AI	Aitosab~	titovab~	PROB		
VERB.I3P.AI	Aitosab~	yitosab~uwA	OK		
VERB.I3P.AI	Aitosab~	yitovab~uwA	PROB		
VERB.I1S.AI.E0	Aitosab~		OK		
VERB.I1P.AI.E0	Aitosab~		OK		
VERB.I2MS.AI.E0	Aitosab~		OK		
VERB.I2FS.AI.E0	Aitosab~		OK		
VERB.I2P.AI.E0	Aitosab~		OK		
VERB.I3MS.AI.E0	Aitosab~		OK		
VERB.I3FS.AI.E0	Aitosab~		OK		
VERB.I3P.AI.E0	Aitosab~		OK		
VERB.I1S.AI	AinoTalaq	AanoTiliq	OK		
VERB.I1P.AI	AinoTalaq	ninoTiliq	OK		
VERB.I2MS.AI	AinoTalaq	tinoTiliq	OK		
VERB.I2FS.AI	AinoTalaq	tinoTiliqiy	OK		
VERB.I2P.AI	AinoTalaq	tinoTiliquwA	OK	tinoTilquwA	
VERB.I3MS.AI	AinoTalaq	yinoTiliq	OK		
VERB.I3FS.AI	AinoTalaq	tinoTiliq	OK		
VERB.I3P.AI	AinoTalaq	yinoTiliquwA	OK		
VERB.I1S.AI.E0	AinoTalaq		OK		
VERB.I1P.AI.E0	AinoTalaq		OK		
VERB.I2MS.AI.E0	AinoTalaq		OK		
VERB.I2FS.AI.E0	AinoTalaq		OK		
VERB.I2P.AI.E0	AinoTalaq		OK		
VERB.I3MS.AI.E0	AinoTalaq		OK		
VERB.I3FS.AI.E0	AinoTalaq		OK		
VERB.I3P.AI.E0	AinoTalaq		OK		
VERB.I1S.AI	Aitowaf~aY	Aatowaf~aY	OK		
VERB.I1P.AI	Aitowaf~aY	nitowaf~aY	OK		
VERB.I2MS.AI	Aitowaf~aY	titowaf~aY	OK		
VERB.I2FS.AI	Aitowaf~aY	titowaf~iy	OK		
VERB.I2P.AI	Aitowaf~aY	titowaf~uwA	OK		
VERB.I3MS.AI	Aitowaf~aY	yitowaf~aY	OK		
VERB.I3FS.AI	Aitowaf~aY	titowaf~aY	OK		
VERB.I3P.AI	Aitowaf~aY	yitowaf~uwA	OK		
VERB.I1S.AI.E0	Aitowaf~aY		OK		
VERB.I1P.AI.E0	Aitowaf~aY		OK		
VERB.I2MS.AI.E0	Aitowaf~aY		OK		
VERB.I2FS.AI.E0	Aitowaf~aY		OK		
VERB.I2P.AI.E0	Aitowaf~aY		OK		
VERB.I3MS.AI.E0	Aitowaf~aY		OK		
VERB.I3FS.AI.E0	Aitowaf~aY		OK		
VERB.I3P.AI.E0	Aitowaf~aY		OK		
VERB.I1P.AI	Aid~aY	nid~aY	PROB	class #-iy in IV	
VERB.I2FS.AI	Aid~aY	tid~iy	OK		
VERB.I2P.AI	Aid~aY	tid~uwA	OK		
VERB.I3MS.AI	Aid~aY	yid~aY	PROB	yid~iy	
VERB.I3P.AI	Aid~aY	yid~uwA	OK		
VERB.I1S.AI.E0	Aid~aY	Aad~Auh	PROB		
VERB.I1P.AI.E0	Aid~aY	nid~Auh	PROB		
VERB.I2MS.AI.E0	Aid~aY	tid~Auh	PROB		
VERB.I2FS.AI.E0	Aid~aY	tid~iyuh	PROB		
VERB.I2P.AI.E0	Aid~aY	tid~uwuh	PROB		
VERB.I3MS.AI.E0	Aid~aY	yid~Auh	PROB		
VERB.I3FS.AI.E0	Aid~aY	tid~Auh	PROB		
VERB.I3P.AI.E0	Aid~aY	yid~uwuh	PROB		
VERB.I2FS.AI.E0	Aisota>oSal	tisota>oSiliyuh	PROB		
VERB.I2FS.AI.E0	Aisota>oSal	tisota>oSaliyuh	PROB		
VERB.I2P.AI.E0	Aisota>oSal	tisota>oSiluwuh	PROB		
VERB.I2P.AI.E0	Aisota>oSal	tisota>oSaluwuh	PROB		
VERB.I3P.AI.E0	Aisota>oSal	yisota>oSiluwuh	PROB		
VERB.I3P.AI.E0	Aisota>oSal	yisota>oSaluwuh	PROB		
VERB.I1P.AI	baS~	nubuS~	OK		
VERB.I2MS.AI	baS~	tubuS~	OK		
VERB.I2FS.AI	baS~	tubuS~iy	OK		
VERB.I2P.AI	baS~	tubuS~uwA	OK		
VERB.I3MS.AI	baS~	yubuS~	OK		
VERB.I3FS.AI	baS~	tubuS~	OK		
VERB.I3P.AI	baS~	yubuS~uwA	OK		
VERB.I1S.AI.E0	baS~		OK		
VERB.I1P.AI.E0	baS~		OK		
VERB.I2MS.AI.E0	baS~		OK		
VERB.I2FS.AI.E0	baS~		OK		
VERB.I2P.AI.E0	baS~		OK		
VERB.I3MS.AI.E0	baS~		OK		
VERB.I3FS.AI.E0	baS~		OK		
VERB.I3P.AI.E0	baS~		OK		
VERB.I1S.AI	banaY	AabnaYiy	PROB		
VERB.I1P.AI	banaY	nibnaYiy	PROB		
VERB.I2MS.AI	banaY	tibnaYiy	PROB		
VERB.I2FS.AI	banaY	tibnaYiy	PROB		
VERB.I2P.AI	banaY	tibnaYuwA	PROB		
VERB.I3MS.AI	banaY	yibnaYiy	PROB		
VERB.I3FS.AI	banaY	tibnaYiy	PROB		
VERB.I3P.AI	banaY	yibnaYuwA	PROB		
