,LINE,DEFINE,CLASS,MORPHEME,MORPH,BW,GLOSS,FEAT,COND-T,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check
52,114,MORPH,[NBuff],Buffer#A-A',},}/STEM,, pron,#A-A' MS !enc0:0 C:POSS_PRON-i,,Buffer #A-A',استثنائك ,,,
53,123,MORPH,[NBuff],Buffer#A-A',},}/STEM,,%y-suff,#A-A' MD y-suff,,Buffer #A-A',استثنائين,,,
54,125,MORPH,[NBuff],Buffer#A-A',','/STEM,,% A-suff,#A-A' FP,,Buffer #A-A',استثناءات,,,
55,123,MORPH,[NBuff],Buffer#A-A',},}/STEM,,%y-suff,#A-A' MP y-suff,,Buffer #A-A',,,,
56,124,MORPH,[NBuff],Buffer#A'-w,','/STEM,,% a-suff,#A'-w FS||FD,,Buffer #A'-w,صحراء سماء,,,
57,,,,,,,,,,,,,,,
58,126,MORPH,[NBuff],Buffer#a>,a>,a>/STEM,,word end,#a> MS enc0:0,,Buffer #a>,مبدأ,,,The #a> can be reduced to 4 lines
59,127,MORPH,[NBuff],Buffer#a>,a>,a>/STEM,,pron,#a> MS !enc0:0 else,,Buffer #a>,مبدأها,,,
60,128,MORPH,[NBuff],Buffer#a>,a&,&/STEM,,pron,#a> MS !enc0:0 C:POSS_PRON-u,,Buffer #a>,مبدؤه,,,
61,129,MORPH,[NBuff],Buffer#a>,a},}/STEM,,pron,#a> MS !enc0:0 C:POSS_PRON-iy,,Buffer #a>,مبدئي,,,
62,129,MORPH,[NBuff],Buffer#a>,a},}/STEM,,pron,#a> MS !enc0:0 C:POSS_PRON-i ,,Buffer #a>,مبدئك,,,
63,130,MORPH,[NBuff],Buffer#a>,a>,a>/STEM,,,#a> FS enc0:0,,Buffer #a>,مكافأة,,,
64,130,MORPH,[NBuff],Buffer#a>,},}/STEM,,,#a> FS !enc0:0 ,,Buffer #a>,مكافئتي، مكافئته,,,
65,130,MORPH,[NBuff],Buffer#a>,},}/STEM,,,#a> FD||MD,,Buffer #a>,مكافئتين، مبدئين,,,
66,131,MORPH,[NBuff],Buffer#a>,_,_,,,#a> FP||MD A-suff,,Buffer #a>,مكافآت ,,,
67,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
69,134,MORPH,[NBuff],Buffer#a>,},}/STEM,,%y-suff,#a> MP y-suff,,Buffer #a>,المُكافئين,,,
70,,,,,,,,,,,,,,,
71,136,MORPH,[NBuff],Buffer#iy~,iy,iy~/STEM,,,#iy~ MS ,,Buffer #iy~,محامي ,,,
72,137,MORPH,[NBuff],Buffer#iy~,_,_,,,#iy~ MP,,Buffer #iy~,محامين,,,
73,138,MORPH,[NBuff],Buffer#iy~,iy~,iy~/STEM,,else,#iy~ MD||FS||FD||FP,,Buffer #iy~,محامي,,,
74,,,,,,,,,,,,,,,
75,140,MORPH,[NBuff],Buffer#A}iy~,}iy,}iy/STEM,,,#A}iy MS !i-suff,,Buffer #A}iy,رائي,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,143,MORPH,[NBuff],Buffer#A}iy~,}iy~,}iy/STEM,,,#A}iy~ MD||MP||FS||FD||FP,,Buffer #A}iy,رائية، رائيان,,,
79,144,MORPH,[NBuff],Buffer#aA,A,A/STEM,,,#A MS,,Buffer #aA,ايدولوجيا,,,
80,145,MORPH,[NBuff],Buffer#aA,_,_,,,#A MD||MP||FS||FD||FP,,Buffer #aA,ايدولوجيتان ايدولوجيات,,,not present for some combinations]
81,146,MORPH,[NBuff],Buffer#w',','/STEM,,,#w' MS enc0:0,,Buffer #w',موبوء,,,hamza conditions can be reduced 
82,147,MORPH,[NBuff],Buffer#w',','/STEM,,,#w' MS !enc0:0 else,,Buffer #w',موبوء,,,
83,148,MORPH,[NBuff],Buffer#w',},}/STEM,,,#w' MS !enc0:0 C:POSS_PRON-iy,,Buffer #w',موبوئي ,,,
84,148,MORPH,[NBuff],Buffer#w',},}/STEM,,,#w' MS !enc0:0 C:POSS_PRON-i ,,Buffer #w',موبوئك,,,
85,149,MORPH,[NBuff],Buffer#w',','/STEM,,,#w'FS||FD||FP,,Buffer #w',موبوءان موبوءين موبوءة موبوءتان موبوءات,,,%a-suffs
86,,,,,,,,,,,,,,,
87,151,MORPH,[NBuff],Buffer#w',},}/STEM,,,#w' MD||MP y-suff,,Buffer #w',موبوئين,,,
88,152,MORPH,[NBuff],Buffer#w',u&,u&/STEM,,,#u& MS enc0:0,,Buffer #u&,أكمؤ,,,hamza conditions can be reduced 
89,153,MORPH,[NBuff],Buffer#w',u&,u&/STEM,,,#u& MS !enc0:0 else,,Buffer #u&,أكمؤه,,,
90,154,MORPH,[NBuff],Buffer#w',u},u}/STEM,,,#u& MS !enc0:0 C:POSS_PRON-iy,,Buffer #u&,أكمئي,,,
91,154,MORPH,[NBuff],Buffer#w',u},u}/STEM,,,#u& MS !enc0:0 C:POSS_PRON-i,,Buffer #u&,أكمئك,,,
92,155,MORPH,[NBuff],Buffer#w',u&,u&/STEM,,,#u& FS||FD||FP,,Buffer #u&,,,,%a-suffs
93,,,,,,,,,,,,,,,
94,157,MORPH,[NBuff],Buffer#w',u},u}/STEM,,,#u& MD||MP y-suff,,Buffer #u&,,,,
95,158,MORPH,[NBuff],Buffer#o' ,','/STEM,,,#o' MS enc0:0,,Buffer #o',جزء,,,hamza conditions can be reduced 
96,159,MORPH,[NBuff],Buffer#o' ,','/STEM,,,#o' MS !enc0:0 else,,Buffer #o',جزءك,,,
97,160,MORPH,[NBuff],Buffer#o' ,&,&/STEM,,,#o' MS !enc0:0 C:POSS_PRON-u,,Buffer #o',جزؤه,,,
98,161,MORPH,[NBuff],Buffer#o' ,},}/STEM,,,#o' MS !enc0:0 C:POSS_PRON-iy,,Buffer #o',جزئي,,,
99,161,MORPH,[NBuff],Buffer#o' ,},}/STEM,,,#o' MS !enc0:0 C:POSS_PRON-i,,Buffer #o',جزئك,,,
100,162,MORPH,[NBuff],Buffer#o' ,>,>/STEM,,,#o' FS,,Buffer #o',,,,%a-suffs
101,163,###MORPH,[NBuff],Buffer#o' ,_,,,,#o' FP A-suff,,Buffer #o',جزآن,,,another spelling; deactivated
102,164,MORPH,[NBuff],Buffer#o' ,','/STEM,,,#o' FP A-suff,,Buffer #o',,,,
103,167,MORPH,[NBuff],Buffer#o' ,},}/STEM,,,#o' MD||MP||FD y-suff,,Buffer #o',جزئين,,,
104,167,MORPH,[NBuff],Buffer#ap,ap,ap/STEM,,,#ap FS enc0:0,,Buffer #ap,عملية,,,
105,167,MORPH,[NBuff],Buffer#ap,ip,ip/STEM,,,#ap FS else,,Buffer #ap,عملية,,,
106,167,MORPH,[NBuff],Buffer#ap,it,it/STEM,,,#ap FS !enc0:0,,Buffer #ap,عمليته,,,
107,167,MORPH,[NBuff],Buffer#ap,i,i/STEM,,,#ap FD||FP,,Buffer #ap,عمليات,,,
108,,,,,,,,,,,,,,,
109,167,MORPH,[NBuff],Buffer#ap-a,ap,ap/STEM,,,#ap FS enc0:0,,Buffer #ap-a,رئة,,,
110,167,MORPH,[NBuff],Buffer#ap-a,at,at/STEM,,,#ap FS !enc0:0,,Buffer #ap-a,رئته,,,
111,167,MORPH,[NBuff],Buffer#ap-a,a,a/STEM,,,#ap FD||FP,,Buffer #ap-a,رئتين,,,
112,167,MORPH,[NBuff],Buffer#ap-o,ap,ap/STEM,,,#ap FS enc0:0,,Buffer #ap-o,كتابة,,,
113,167,MORPH,[NBuff],Buffer#ap-o,t,t/STEM,,,#ap FS !enc0:0,,Buffer #ap-o,كتابته,,,
114,167,MORPH,[NBuff],Buffer#ap-o,-,-/STEM,,,#ap FD||FP,,Buffer #ap-o,كتابتين,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
