,LINE,DEFINE,VAR,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT
0,,,,,,,,,,,
1,1,ORDER,EGY,NOMINAL,pos:noun||pos:adj,[CONJ] [PREP],[STEM],[NBuff] [NSuff.XXIU],[Nom],[Nom],[IU]
2,2,ORDER,EGY,NOMINAL,pos:noun||pos:adj,[CONJ] [PREP] [ART],[STEM],[NBuff] [NSuff.XXDU],[Nom.Art],[Nom],[DU]
3,3,ORDER,EGY,NOMINAL,pos:noun||pos:adj,[CONJ] [PREP],[STEM],[NBuff] [NSuff.XXCU] [PRON],[Nom],[Nom],[CU]
