,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,NOTES
34,31,D U,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-NOM] [NBuff],[NSuff.XXDU],
35,32,D N,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ] [NBuff],[NSuff.XXDN],
36,33,D A,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ],[STEM-ADJ] [NBuff],[NSuff.XXDA],
37,34,D G,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ] [NBuff],[NSuff.XXDG],
38,35,D U,ORDER,MSA,NOMINAL,pos:adj,[QUES] [CONJ] [PREP],[STEM-ADJ] [NBuff],[NSuff.XXDU],
39,,,#Emphatic & wa_part,,,,   ,,,
40,36,RED-MORPH I N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-NOM] [NBuff],[NSuff.XXIN],
41,37,RED-MORPH C N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-NOM] [NBuff],[NSuff.XXCN] [PRON],
42,38,RED-MORPH I N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-ADJ] [NBuff],[NSuff.XXIN],
43,39,RED-MORPH C N,ORDER,MSA,NOMINAL,pos:noun,[EMPH],[STEM-ADJ] [NBuff],[NSuff.XXCN] [PRON],
44,40,RED-MORPH I A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM] [NBuff],[NSuff.XXIA],
45,41,RED-MORPH D A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC] [ART],[STEM-NOM] [NBuff],[NSuff.XXDA],
46,42,RED-MORPH C A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM] [NBuff],[NSuff.XXCA] [PRON],
