,DEFINE,diac,lex,caphi,gloss,bw,pos,catib6,ud,root,pattern,pattern_abstract,prc3,prc2,prc1,prc1.5,prc0,per,asp,vox,mod,form_gen,gen,form_num,num,stt,cas,enc0,enc1,enc2,rat,source,stem,cm_stem,cm_buffer,stemcat,stemgloss,d1seg,d2seg,d3seg,atbseg,d1tok,d2tok,d3tok,atbtok,bwtok,pos_logprob,lex_logprob,pos_lex_logprob,cm_stem_ids,cm_pref_ids,cm_suff_ids,correctness,mid_root_diac
24,DEFINE,,,,,,adv_rel,,,,,,,,ta_prep,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DEFINE,,,,,,adj,,,,,,,,la_rc,,,,,,,,,,,,,2fs_pron,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DEFINE,,,,,,prep,,,,,,,,libi_prep,,,,,,,,,,,,,2fp_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
27,DEFINE,,,,,,part_interrog,,,,,,,,EalaY_prep,,,,,,,,,,,,,1s_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
28,DEFINE,,,,,,verb_pseudo,,,,,,,,$_interrog,,,,,,,,,,,,,Ah_voc,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DEFINE,,,,,,verb_nom,,,,,,,,m_prep,,,,,,,,,,,,,2d_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DEFINE,,,,,,noun_prop,,,,,,,,,,,,,,,,,,,,,2mp_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DEFINE,,,,,,part_focus,,,,,,,,,,,,,,,,,,,,,3fp_pron,,,,,,,,,,,,,,,,,,,,,,,,,,
32,DEFINE,,,,,,noun_quant,,,,,,,,,,,,,,,,,,,,,1p_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
33,DEFINE,,,,,,latin,,,,,,,,,,,,,,,,,,,,,ma_rel,,,,,,,,,,,,,,,,,,,,,,,,,,
34,DEFINE,,,,,,pron_dem,,,,,,,,,,,,,,,,,,,,,2fs_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DEFINE,,,,,,part_connect,,,,,,,,,,,,,,,,,,,,,3ms_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,mA_interrog,,,,,,,,,,,,,,,,,,,,,,,,,,
37,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,3d_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,3fp_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
39,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,ma_sub,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,2fp_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
41,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,2d_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
42,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,1s_pron,,,,,,,,,,,,,,,,,,,,,,,,,,
43,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,3fs_pron,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,3fs_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
45,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,3fp_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
46,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,1p_pron,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,2fs_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
48,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,2ms_poss,,,,,,,,,,,,,,,,,,,,,,,,,,
49,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,1p_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
50,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,2ms_dobj,,,,,,,,,,,,,,,,,,,,,,,,,,
51,DEFINE,,,,,,,,,,,,,,,,,,,,,,,,,,,mA_sub,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,DEFAULT,*,*,*,*,*,prep,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
54,DEFAULT,*,*,*,*,*,verb,*,*,*,*,*,0,0,0,0,0,3,na,u,u,m,m,s,s,na,na,0,0,0,n,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,u
55,DEFAULT,*,*,*,*,*,adj_num,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,n,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
56,DEFAULT,*,*,*,*,*,pron_dem,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
57,DEFAULT,*,*,*,*,*,pron_rel,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
58,DEFAULT,*,*,*,*,*,latin,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
59,DEFAULT,*,*,*,*,*,punc,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
60,DEFAULT,*,*,*,*,*,conj_sub,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
61,DEFAULT,*,*,*,*,*,part_fut,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
62,DEFAULT,*,*,*,*,*,noun_num,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
63,DEFAULT,*,*,*,*,*,part_neg,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
64,DEFAULT,*,*,*,*,*,abbrev,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
65,DEFAULT,*,*,*,*,*,pron,*,*,*,*,*,0,0,0,0,0,3,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
66,DEFAULT,*,*,*,*,*,noun_prop,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,r,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
67,DEFAULT,*,*,*,*,*,pron_interrog,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
68,DEFAULT,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
69,DEFAULT,*,*,*,*,*,part_verb,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
70,DEFAULT,*,*,*,*,*,digit,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
71,DEFAULT,*,*,*,*,*,part,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
72,DEFAULT,*,*,*,*,*,adv,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
73,DEFAULT,*,*,*,*,*,part_det,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
74,DEFAULT,*,*,*,*,*,verb_pseudo,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,n,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
75,DEFAULT,*,*,*,*,*,verb_nom,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,n,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
76,DEFAULT,*,*,*,*,*,noun_quant,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,n,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
77,DEFAULT,*,*,*,*,*,adv_interrog,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
78,DEFAULT,*,*,*,*,*,adj_comp,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,n,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
79,DEFAULT,*,*,*,*,*,interj,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
80,DEFAULT,*,*,*,*,*,part_restrict,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
81,DEFAULT,*,*,*,*,*,adj,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,n,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
82,DEFAULT,*,*,*,*,*,adv_rel,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
83,DEFAULT,*,*,*,*,*,conj,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
84,DEFAULT,*,*,*,*,*,part_connect,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
85,DEFAULT,*,*,*,*,*,noun,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,i,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
86,DEFAULT,*,*,*,*,*,part_interrog,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
87,DEFAULT,*,*,*,*,*,part_voc,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
88,DEFAULT,*,*,*,*,*,part_focus,*,*,*,*,*,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,0,0,0,na,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
89,DEFAULT,*,*,*,*,*,pron_exclam,*,*,*,*,*,0,0,0,0,0,na,na,na,na,m,-,s,-,i,u,0,0,0,y,lex,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,y,na
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,TOKENIZATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORM,FORM,FORM,FORM,FORM,FORM,FORM,FORM,FORM,,,,,,,,
92,TRANSCRIPTION,,,FORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
