,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,ATBSEG,ATBTOK,FEAT,STATUS,COMMENTS,NOTES,#CLASS
484,485,t.s.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,tisoEamiA}ap,tisoEumiA},nine-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
485,486,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,tiy,tiy,T.,,,,,,,pos:abbrev,,,,[STEM-BASE]
486,487,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,tuf~,tuf~,phew!,,,,,,,pos:interj,,,,[STEM-BASE]
487,488,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,turaY,turaY,I_wonder,,,,,,,pos:interj,,,,[STEM-BASE]
488,489,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,v,v,TH.;23rd,,,,,,,pos:abbrev,,,,[STEM-BASE]
489,490,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,vaA',vaA',sec._(seconds),,,,,,,pos:abbrev,,,,[STEM-BASE]
490,491,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,vaA',vaA,sec._(seconds),,,,,,,pos:abbrev,,,,[STEM-BASE]
491,492,v.l.v,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,valaAvami}ap,valaAvami},three-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
492,493,v.l.v,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,valaAvami}ap,valaAvimi},three-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
493,494,v.l.v,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,valaAvami}ap,valaAvumi},three-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
494,495,v.l.v,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,valaAvamiA}ap,valaAvamiA},three-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
495,496,v.l.v,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,valaAvamiA}ap,valaAvimiA},three-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
496,497,v.l.v,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,valaAvamiA}ap,valaAvumiA},three-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
497,498,v.m.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,vam~a,vam~a,there;over_there;in_that_place;there_is/are,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
498,499,v.m.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,vam~apa,vam~apa,there,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
499,500,v.m.n,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,vamaAnami}ap,vamaAnimi},eight-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
500,501,v.m.n,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,vamaAnami}ap,vamaAnami},eight-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
501,502,v.m.n,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,vamaAnami}ap,vamaAnumiA},eight-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
502,503,v.m.n,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,vamaAnamiA}ap,vamaAnimiA},eight-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
503,504,v.m.n,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,vamaAnamiA}ap,vamaAnamiA},eight-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
504,505,v.m.n,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,vamaAnamiA}ap,vamaAnumi},eight-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
505,506,v.m.m,NTWS,NTWS,LEXICON,[STEM-CONJ],CONJ,vum~a,vum~a,then;afterwards;next;moreover,,,,,,,pos:conj,,,,[STEM-BASE]
506,507,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,wa,w,W.;6th,,,,,,,pos:abbrev,,,,[STEM-BASE]
507,508,NTWS,NTWS,NTWS,LEXICON,[STEM-STANDALONE],CONJ,wa,wa,and,,,,,,,pos:conj,,,,[STEM-BASE]
508,509,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],VOC_PART,waA,waA,O;oh,,,,,,,pos:part_voc,,,,[STEM-BASE]
509,510,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,waAh,waAh,wow!,,,,,,,pos:interj,,,,[STEM-BASE]
510,511,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,waAh,waAhaA,wow!,,,,,,,pos:interj,,,,[STEM-BASE]
511,512,w.q.t,NTWS,NTWS,LEXICON,[STEM-CONJ],waqot/NOUN+a/CASE_DEF_ACC+maA/SUB_CONJ,waqot,waqotamaA,the_time_that,,,waqota_+maA,waqota_+maA,waqota_+maA,waqota_+maA,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,,,,[STEM-COMPOUND]
512,513,w.q.t,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,waqot,waqota}i*K,at_that_time,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
513,514,w.q.t,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,waqot,waqota*aAk,at_that_time,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
514,515,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,x,x,KH.;24th,,,,,,,pos:abbrev,,,,[STEM-BASE]
515,516,x.l.w,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,xalaA,xalaA,except_for,,C:A#,,,,,pos:prep,,,,[STEM-BASE]
516,517,x.m.s,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,xamosami}ap,xamosami},five-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
517,518,x.m.s,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,xamosami}ap,xamosimi},five-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
518,519,x.m.s,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,xamosami}ap,xamosumi},five-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
519,520,x.m.s,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,xamosamiA}ap,xamosamiA},five-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:i cas:a,,,,
520,521,x.m.s,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,xamosamiA}ap,xamosimiA},five-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:g,,,,
521,522,x.m.s,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,xamosamiA}ap,xamosumiA},five-hundred,FS,X100,,,,,pos:noun gen:- num:- rat:r cas:n,,,,
522,523,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,y,y,Y.;10th,,,,,,,pos:abbrev,,,,[STEM-BASE]
523,524,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],VOC_PART,yaA,yaA,O;oh,,,,,,,pos:part_voc,,,,[STEM-BASE]
524,525,>.l.h,NTWS,NTWS,LEXICON,[STEM],NOUN,yaAll~a`h,yaAll~a`h,oh_God,,,,,,,pos:noun gen:m num:s stt:i cas:u,,,,[STEM]
525,526,y.w.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,yawoma}i*K,yawoma}i*K,on_that_day,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
526,527,y.w.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,yawoma*aAko,yawoma*aAko,on_that_day,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
527,528,PLACEHOLDER,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,yuw,yuw,U.,,,,,,,pos:abbrev,,,,[STEM-BASE]
528,529,PLACEHOLDER,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,z,z,Z.;7th,,,,,,,pos:abbrev,,,,[STEM-BASE]
529,530,PLACEHOLDER,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,Z,Z,ZH.;27th,,,,,,,pos:abbrev,,,,[STEM-BASE]
530,531,PLACEHOLDER,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,z,zid,Z.,,,,,,,pos:abbrev,,,,[STEM-BASE]
