,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,ATBSEG,ATBTOK,FEAT,STATUS,COMMENTS,NOTES,#CLASS
386,387,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,limaA*aA,limaA*aA,why,,,,,,,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
387,388,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,m,m,(A.D.);M;13th;meter,,,,,,,pos:abbrev,,,,[STEM-BASE]
388,389,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],fiy/PREP+maA/REL_PRON,maA,fiymaA,while;as;during,,,fiy_+maA,fiy_+maA,fiy_+maA,fiy_+maA,pos:pron_rel prc1:fiy_prep,,,,[STEM-BASE]
389,390,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],bi/PREP+maA/INTERROG_PRON,maA,bima,with+what/which,,,bi+_ma,bi+_maA,bi+_ma,bi+_maA,pos:part_interrog prc1:bi_prep,,,,[STEM-COMPOUND]
390,391,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/EMPHATIC_PART+maA/NEG_PART,maA,lamaA,did_not,,,la+_maA,la+_maA,la+_maA,la+_maA,pos:part_neg prc1:la_emph,,,,[STEM-COMPOUND]
391,392,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/RC_PART+maA/NEG_PART,maA,lamaA,would_not_have,,,la+_maA,la+_maA,la+_maA,la+_maA,pos:part_neg prc1:la_rc,,,,[STEM-COMPOUND]
392,393,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],EXCLAM_PRON,maA,maA,what/how,,,,,,,pos:pron_exclam stt:i cas:u,,,,[STEM-BASE]
393,394,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],INTERROG_PRON,maA,maA,what/which,,,,,,,pos:part_interrog,,,,[STEM-BASE]
394,395,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],NEG_PART,maA,maA,not,,,,,,,pos:part_neg,,,,[STEM-BASE]
395,396,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PART,maA,maA,which,,,,,,,pos:part,,,,[STEM-BASE]
396,397,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,maA,maA,what/which,,,,,,,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
397,398,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],SUB_CONJ,maA,maA,that/if/unless/whether/as_long_as/as_soon_as,,,,,,,pos:conj_sub,,,,[STEM-BASE]
398,399,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_PRON,maA*aA,maA*aA,what,,,,,,,pos:part_interrog,,,,[STEM-BASE]
399,400,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,maA*aA,maA*aA,what,,,,,,,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
400,401,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,maAEadaA,maAEadaA,except_for,,C:A#,,,,,pos:prep,,,,[STEM-BASE]
401,402,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_PRON,maAhuwa,maAhuwa,what,,,,,,,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
402,403,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,maAxalaA,maAxalaA,except_for,,C:A#,,,,,pos:prep,,,,[STEM-BASE]
403,404,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,mahomaA,mahomaA,whatever;often;frequently;oftentimes;many_times;many_a_time;repeatedly;continually;constantly,,,,,,,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
404,405,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,mahomaA,mahomaA,whatever;often;frequently;oftentimes;many_times;many_a_time;repeatedly;continually;constantly,,,,,,,pos:conj_sub,,,,[STEM-BASE]
405,406,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_PRON,mano,mano,who/whom,,,,,,,pos:part_interrog,,,,[STEM-BASE]
406,407,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,mano,mano,who/whom,,,,,,,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
407,408,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_ADV,mataY,mataY,when,,,,,,,pos:part_interrog,,,,[STEM-BASE]
408,409,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_ADV,mataY,mataY,when,,,,,,,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
409,410,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],la/EMPHATIC_PART+mino/PREP,mino,lamin,indeed;indeed+from,!PRON-iy,C:n#,la+_mino,la+_mino,la+_mino,la+_mino,pos:prep prc1:la_emph,,,,[STEM-COMPOUND]
410,411,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,mino,mino,from,!PRON-iy,C:n#,,,,,pos:prep,,,,[STEM-BASE]
411,412,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],PART,mino,mino,from,,,,,,,pos:part,,,,[STEM-BASE]
412,413,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/INTERROG_PRON,mino,mim~a,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,pos:prep enc0:mA_interrog,,,,[STEM-COMPOUND]
413,414,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/INTERROG_PRON,mino,mim~aA,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,pos:prep enc0:mA_interrog,,,,[STEM-COMPOUND]
414,415,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/REL_PRON,mino,mim~a,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,pos:prep enc0:mA_rel,,,,[STEM-COMPOUND]
415,416,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/REL_PRON,mino,mim~aA,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,pos:prep enc0:mA_rel,,,,[STEM-COMPOUND]
416,417,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/SUB_CONJ,mino,mim~a,from+that/if/unless/whether/as_long_as/as_soon_as,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,pos:prep enc0:mA_sub,,,,[STEM-COMPOUND]
417,418,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/SUB_CONJ,mino,mim~aA,from+that/if/unless/whether/as_long_as/as_soon_as,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,pos:prep enc0:mA_sub,,,,[STEM-COMPOUND]
418,419,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+mano/INTERROG_PRON,mino,mim~an,from+whom,,,mim_+~ano,mino_+mano,mim_+~ano,mino_+mano,pos:prep enc0:man_interrog,,,,[STEM-COMPOUND]
419,420,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+mano/REL_PRON,mino,mim~an,from+whom,,,mim_+~ano,mino_+mano,mim_+~ano,mino_+mano,pos:prep enc0:man_rel,,,,[STEM-COMPOUND]
