,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,gloss_old,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
21,22,k.m.l,1aA2i3,kaAmil,DONE,1,1A2i3,1A2i3,4,DONE,LEXICON,[STEM-NOM],kaAmil,kaAmil,MS||MD||FS||FD||FP,,entire,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
22,23,k.l.l,1u2~,kul~,DONE,2,1u2o3,1u2o3,3,DONE,LEXICON,[STEM-NOM],kul~,kul~,MS,,all;entire;every;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
23,24,E.Z.m,mu1o2a3,muEoZam,DONE,1,mu1o2a3,mu1o2a3,1,DONE,LEXICON,[STEM-NOM],muEoZam,muEoZam,MS,,most;majority,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
24,25,n.f.s,1a2o3,nafos,DONE,,1a2o3,1a2o3,2393,DONE,LEXICON,[STEM-NOM],nafos,nafos,MS||MD,,same,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
25,26,n.S.f,1i2o3,niSof,DONE,3,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],niSof,niSof,MS||MD,,half,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
26,27,q.w.b,1aA3,qaAb,DONE,1,1a2a3,1a2a3,3,DONE,LEXICON,[STEM-NOM],qaAb,qaAb,MS,,short_distance_small_space,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
27,28,q.y.d,1a2o3,qayod,DONE,6,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],qayod,qayod,MS,,around,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
28,29,q.y.s,1a2o3,qayos,DONE,6,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],qayos,qayos,MS,,the_size_of,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
29,30,q.r.b,1u2aA3,qurAb,DONE,460,1u2A3+ap,1u2A3,604,DONE,LEXICON,[STEM-NOM],quraAbap,quraAb,FS||FD||FP,,about;approximately;around;roughly;nearly;almost,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
30,31,q.S.r,1u2aA3,quSaAr,DONE,2,1u2A3aY,1u2A3aY,1,DONE,LEXICON,[STEM-NOM],quSaAraY,quSaAr,MS||MD,#dip #aY-Ap-y,limit;utmost,utmost;limit,pos:noun gen:f num:- rat:i cas:u,noun,f,-,i,u,,,
31,32,r.b.E,1u2o3,ruboE,DONE,2,1u2o3,1u2o3,3,DONE,LEXICON,[STEM-NOM],ruboE,ruboE,MS||MD,,one_fourth;quarter,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
