,PATTERN_ABSTRACT,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
979,1a2a3,,\1.\2.>,,BACKOFF,[STEM-PV],1u2i},lex:\1a\2a>,,\1u\2i},,,\1u\2i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])}$,1,
980,1a2a3,,\1.\2.\3,,BACKOFF,[STEM-PV],1u2i3,lex:\1a\2u\3-a,,\1u\2i\3,,,\1u\2i\3/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])([^ntwyA}&])$,1,
981,1a2a3,,\1.n.n,,BACKOFF,[STEM-PV],1u2~,lex:\1an~-i,,\1un~,,,\1un~/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,#n gem intrans,^([^wyA}&])n$,1,
982,1a2~a3,,\1.w.n,,BACKOFF,[STEM-PV],1u2~i3,lex:\1aw~an,,\1uw~in,,,\1uw~in/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])wn$,1,
983,1a2a3,,\1.\2.y,,BACKOFF,[STEM-PV],1u2,lex:\1a\2aY-a,,\1u\2,,,\1u\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])([^wyA}&])$,1,
984,1a2o3a4,,\1.w.\2.n,,BACKOFF,[STEM-PV],1u2o3i4,lex:\1awo\2an,,\1uwo\2in,,,\1uwo\2in/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])w([^wyA}&])n$,1,
985,1a2a3,,\1.w.\2,,BACKOFF,[STEM-PV],1u2i3,lex:\1awa\2-i,,\1uwi\2,,,\1uwi\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])w([^ntwyA}&])$,1,
986,1a2a3,,\1.w.y,,BACKOFF,[STEM-PV],1u2iy,lex:\1awiy-i,,\1uwiy,,,\1uwiy/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])wy$,1,
987,1a2a3,,\1.>.\2,,BACKOFF,[STEM-PV],1u}i3,lex:\1a>a\2-i,,\1u}i\2,,,\1u}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}([^ntwyA}&])$,1,
988,1a2a3,,\1.>.y,,BACKOFF,[STEM-PV],1u,lex:\1a>aY-a,,\1u,,,\1u/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-}iy intrans,^([^wyA}&])$,1,
989,1a2a3,,\1.>.\2,,BACKOFF,[STEM-PV],1u}i3,lex:\1a&u\2-u,,\1u}i\2,,,\1u}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}([^ntwyA}&])$,1,
