,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
56,57,MORPH,[PVSuff],PVSuff.1S,~,~/PVSUFF_SUBJ:1S,EGY,I,asp:p per:1 gen:u num:s,#t,c-suff,~,سكت,DONE,
57,58,MORPH,[PVSuff],PVSuff.1P,nA,nA/PVSUFF_SUBJ:1P,EGY,we,asp:p per:1 gen:u num:p,else !enc0:1* ,c-suff #^V,nA,كتبنا,DONE,
58,59,MORPH,[PVSuff],PVSuff.1P,~A,~A/PVSUFF_SUBJ:1P,EGY,we,asp:p per:1 gen:u num:p,#n !enc0:1* ,c-suff #^V,~A,سكنا,DONE,
59,60,MORPH,[PVSuff],PVSuff.2MS,t,t/PVSUFF_SUBJ:2MS,EGY,you_[masc.sg.],asp:p per:2 gen:m num:s,else !enc0:2* ,c-suff,t,كتبت,DONE,
60,61,MORPH,[PVSuff],PVSuff.2MS,~,~/PVSUFF_SUBJ:2MS,EGY,you_[masc.sg.],asp:p per:2 gen:m num:s,#t !enc0:2*,c-suff,~,سكت,DONE,
61,62,MORPH,[PVSuff],PVSuff.2P,tuwA,tuwA/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,else !enc0:2* else,c-suff #^V,tuwA,كتبتوا,DONE,
62,63,MORPH,[PVSuff],PVSuff.2P,tuw ,tuw/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,else !enc0:2* enc0,c-suff #^V,tuwA,كتبتوها،كتبتوش,DONE,
63,64,MORPH,[PVSuff],PVSuff.2P,~uwA,~uwA/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,#t !enc0:2* else,c-suff #^V,~uwA,سكتوا,DONE,
64,65,MORPH,[PVSuff],PVSuff.2P,~uw,~uw/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,#t !enc0:2* enc0,c-suff #^V,~uwA,سكتوها,DONE,
65,66,MORPH,[PVSuff],PVSuff.2FS,tiy,ti/PVSUFF_SUBJ:2FS,EGY,you_[fem.sg.],asp:p per:2 gen:f num:s,else !enc0:2* ,c-suff #^V,tiy,كتبتي,DONE,
66,67,MORPH,[PVSuff],PVSuff.2FS,~iy,~i/PVSUFF_SUBJ:2FS,EGY,you_[fem.sg.],asp:p per:2 gen:f num:s,#t !enc0:2*,c-suff #^V,~iy,سكتي,DONE,
67,68,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,EGY,he_[masc.sg.],asp:p per:3 gen:m num:s,,n-suff z-suff,_,رمى، كتب,DONE,
68,69,MORPH,[PVSuff],PVSuff.3FS,it,it/PVSUFF_SUBJ:3FS,EGY,she_[fem.sg.],asp:p per:3 gen:f num:s,else,v-suff i-suff,it,كتبت,DONE,
69,70,MORPH,[PVSuff],PVSuff.3FS,at,at/PVSUFF_SUBJ:3FS,EGY,she_[fem.sg.],asp:p per:3 gen:f num:s,#-ih,v-suff a-suff,it,كتبت,DONE,
70,71,MORPH,[PVSuff],PVSuff.3P,uwA,uwA/PVSUFF_SUBJ:3P,EGY,they,asp:p per:3 gen:u num:p,else else,v-suff w-suff #^V,uwA,كتبوا,DONE,
71,72,MORPH,[PVSuff],PVSuff.3P,uw,uwA/PVSUFF_SUBJ:3P,EGY,they,asp:p per:3 gen:u num:p,else enc0,v-suff w-suff #^V,uwA,كتبوها،كتبوش,DONE,
72,73,MORPH,[PVSuff],PVSuff.3P,um,um/PVSUFF_SUBJ:3P,EGY,they,asp:p per:3 gen:u num:p,#-ih else,v-suff u-suff #^V,uwA,كتبوها،كتبوش,DONE,
73,74,#,Imperfect verb prefixes,,,,,,,,,,,,
74,75,MORPH,[IVPref.1S],IVPref.1S,Aa,Aa/IV1S,EGY,I,asp:i per:1 gen:u num:s,else,h-pref,Aa,اكتب,DONE,
75,76,MORPH,[IVPref.1S],IVPref.1S,|,|/IV1S,EGY,I,asp:i per:1 gen:u num:s,yA-#,h-pref,|,آكل,DONE,
76,77,MORPH,[IVPref.1P],IVPref.1P,n,n/IV1P,EGY,we,asp:i per:1 gen:u num:p,!enc0:1*,,n,نكتب,DONE,
77,78,MORPH,[IVPref.2MS],IVPref.2MS,t,t/IV2MS,EGY,you_[masc.sg.],asp:i per:2 gen:m num:s,!enc0:2*,,t,تكتب,DONE,
78,79,MORPH,[IVPref.2FS],IVPref.2FS,t,t/IV2FS,EGY,you_[fem.sg.],asp:i per:2 gen:f num:s,!enc0:2*,,t,تكتبي,DONE,
79,80,MORPH,[IVPref.2P],IVPref.2P,t,t/IV2P,EGY,you_[pl.],asp:i per:2 gen:u num:p,!enc0:2*,,t,تكتب,DONE,
80,81,MORPH,[IVPref.3MS],IVPref.3MS,y,y/IV3MS,EGY,he_[masc.sg.],asp:i per:3 gen:m num:s,,,y,يكتب,DONE,
81,82,MORPH,[IVPref.3P],IVPref.3P,y,y/IV3P,EGY,they,asp:i per:3 gen:u num:p,,,y,يكتب,DONE,
