,#PATTERN_ABS,#PATTERN_DEF,#PATTERN_UNIQ,#PATTERN,#ROOT,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,,STATUS
21,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.h.r,ٱِشْتَهَر#1,LEXICON,[STEM-IV],{i$otahar_1,$otahir,IV,become_famous,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
22,{i1ota2a3,{i1ota2aY,{i1ota2a#,1ota2,$.h.#,ٱِشْتَهَى#1,LEXICON,[STEM-IV],{i$otahaY_1,$otah,IV,desire;crave,pos:verb asp:i vox:a gen:_ num:_,,,a-# #-iy defective trans,,QC-DONE
23,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.j.r,ٱِشْتَجَر#1,LEXICON,[STEM-IV],{i$otajar_1,$otajir,IV,quarrel;dispute,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
24,{i1ota2a3,{i1ota2aY,{i1ota2a#,1ota2,$.k.#,ٱِشْتَكَى#1,LEXICON,[STEM-IV],{i$otakaY_1,$otak,IV,complain,pos:verb asp:i vox:a gen:_ num:_,,,a-# #-iy defective trans,,QC-DONE
25,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2~,$.m.m,ٱِشْتَمّ#1,LEXICON,[STEM-IV],{i$otam~_1,$otam~,IV,smell;sniff,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem trans,,QC-DONE
26,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2i3,$.m.m,ٱِشْتَمّ#1,LEXICON,[STEM-IV],{i$otam~_1,$otamim,IV,smell;sniff,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem trans,,QC-DONE
27,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.m.l,ٱِشْتَمَل#1,LEXICON,[STEM-IV],{i$otamal_1,$otamil,IV,include;contain;comprise,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
28,{i1ota2a3,{i1otaAo3,{i1ota@o3,1ota3,$.#.q,ٱِشْتاق#1,LEXICON,[STEM-IV],{i$otAq_1,$otaq,IV,desire;love,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# hollow trans,,QC-DONE
29,{i1ota2a3,{i1otaAo3,{i1ota@o3,1otA3,$.#.q,ٱِشْتاق#1,LEXICON,[STEM-IV],{i$otAq_1,$otAq,IV,desire;love,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# hollow trans,,QC-DONE
30,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2~,$.q.q,ٱِشْتَقّ#1,LEXICON,[STEM-IV],{i$otaq~_1,$otaq~,IV,derive,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem trans,,QC-DONE
31,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2i3,$.q.q,ٱِشْتَقّ#1,LEXICON,[STEM-IV],{i$otaq~_1,$otaqiq,IV,derive,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem trans,,QC-DONE
32,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.r.E,ٱِشْتَرَع#1,LEXICON,[STEM-IV],{i$otaraE_1,$otariE,IV,enact;prescribe,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
33,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.r.k,ٱِشْتَرَك#1,LEXICON,[STEM-IV],{i$otarak_1,$otarik,IV,participate,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
34,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,$.r.T,ٱِشْتَرَط#1,LEXICON,[STEM-IV],{i$otaraT_1,$otariT,IV,make_conditional;stipulate;be_prerequisite,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
35,{i1ota2a3,{i1ota2aY,{i1ota2a#,1ota2,$.r.#,ٱِشْتَرَى#1,LEXICON,[STEM-IV],{i$otaraY_1,$otar,IV,purchase,pos:verb asp:i vox:a gen:_ num:_,,,a-# #-iy defective trans,,QC-DONE
36,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2~,$.T.T,ٱِشْتَطّ#1,LEXICON,[STEM-IV],{i$otaT~_1,$otaT~,IV,be_excessive;go_too_far,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
37,{i1ota2a3,{i1ota2~,{i1ota2~,1ota2i3,$.T.T,ٱِشْتَطّ#1,LEXICON,[STEM-IV],{i$otaT~_1,$otaTiT,IV,be_excessive;go_too_far,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
38,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.*.l,ٱِبْتَذَل#1,LEXICON,[STEM-IV],{ibota*al_1,bota*il,IV,neglect;be_debased,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
39,{i1ota2a3,{i1ota>a3,{i1ota>a3,1ota}i3,b.#.s,ٱِبْتَأَس#1,LEXICON,[STEM-IV],{ibota>as_1,bota}is,IV,be_dejected;be_worried,pos:verb asp:i vox:a gen:_ num:_,,,a-# intrans,,QC-DONE
40,{i1ota2a3,{i1ota2a>,{i1ota2a>,1ota2i},b.d.#,ٱِبْتَدَأ#1,LEXICON,[STEM-IV],{ibotada>_1,botadi},IV,begin;start,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
41,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.d.E,ٱِبْتَدَع#1,LEXICON,[STEM-IV],{ibotadaE_1,botadiE,IV,contrive;invent,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
42,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.d.h,ٱِبْتَدَه#1,LEXICON,[STEM-IV],{ibotadah_1,botadih,IV,improvise;extemporize,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
43,{i1ota2a3,{i1ota2a3,{i1ota2a3,1ota2i3,b.d.r,ٱِبْتَدَر#1,LEXICON,[STEM-IV],{ibotadar_1,botadir,IV,rush_at;hurry_to,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
