,Abstract,,Pattern,COND-ST,Frequency,Lemma,Example (Form),Gloss,REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
26,{i1ota2a3,{i1ota>a#,{i1ota>aY,a-# #-iy defective,2,{irota>aY_1,rota},consider;contemplate,(.).(.).(.),$1o$2a>,u-# #-aY defective,rota>,1,,DONE
27,{i1ota2a3,{i1ota@o3,{i1otaAo3,v-suff + a-# hollow,41,{iEotAD_1,EotAD,be_substituted;be_compensated,(.).(.)A(.),$1o$2A$3,v-suff + u-# hollow,EotAD,0,,DONE
28,{i1ota2a3,{i1ota@o3,{i1otaAo3,c-suff + a-# hollow,41,{iEotAD_1,EotaD,be_substituted;be_compensated,(.).(.).(.),$1o$2a$3,c-suff + u-# hollow,EotaD,0,,DONE
29,{i1ota2a3,{i1ota@o3,{i1otaAo3,c-suff + a-# #n hollow,1,{ixotAn_1,xotan,cheat;betray,(.).(.).(.),$1o$2a$3,c-suff + u-# #n hollow,xotan,0,,DONE
30,{i1ota2a3,{i1ota@o3,{i1otaAo3,v-suff + a-# #n hollow,1,{ixotAn_1,xotAn,cheat;betray,(.).(.)A(.),$1o$2A$3,v-suff + u-# #n hollow,xotAn,0,,DONE
31,{i1ota2a3,{i1ota@o>,{i1otaAo>,a-# #-A' hollow,1,{isotA'_1,st,be_dissatisfied;be_discontent,(.)(.),$1$2,u-# #-A' hollow,st,1,,DONE
32,{i1ota2a3,{i1otawa3,{i1otawa3,a-#,3,{iEotawar_1,Eotawir,assail;attack,(.).(.).(.).(.),$1o$2a$3a$4,u-#,Eotawar,0,,DONE
33,{i1ota2a3,{i1otawa#,{i1otawaY,a-# #-iy defective,8,{iHotawaY_1,Hotaw,contain;include,(.).(.).(.).(.),$1o$2a$3a$4,u-# #-aY defective,Hotaw,1,,DONE
34,{i1ota2a3,{i1~a2a3,{i1~a2a3,a-#,38,{it~a$aH_1,t~a$iH,put_on;wear,(.)~.(.).(.),$1~a$2a$3,u-#,t~a$aH,0,,DONE
35,{i1ota2a3,{i1~a2a>,{i1~a2a>,a-#,2,{it~aka>_1,t~aki},lean;recline;be_supported,(.)~.(.).(.),$1~a$2a>,u-# #-a>,t~aka>,1,,DONE
36,{i1ota2a3,{i1~a2a#,{i1~a2aY,a-# #-iy defective,4,{it~aqaY_1,t~aq,beware;be_on_guard,(.)~.(.),$1~a$2,u-# #-aY defective,t~aq,0,,DONE
37,{i1ota2a3,{i1~a>a3,{i1~a>a3,a-#,2,{it~a>ad_1,t~a}id,slow_down;hesitate,(.)~.(.).(.),$1~a>a$3,u-#,t~a>ad,1,,DONE
