,Pattern,,COND-ST,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
33,{i1ota2a3,{i1ota2a3,#n,14,{ihotatak,{ihotatak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,#n,{uhotutik,1,,DONE
34,{i1ota2a3,{i1ota2a3,#t,2,{ihotatak,{ihotatak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,#t,{uhotutik,1,,DONE
35,{i1ota2a3,{i1ota2a3,,287,{ihotatak,{ihotatak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,{uhotutik,1,,DONE
36,{i1ota2aY,{i1ota2a#,#-ay,61,{ihotadaY,{ihotad,{i(.).(.).(.),{u$1o$2u$3,#-iy,{uhotud,0,,DONE
37,{i1otaAo>,{i1ota@o>,c-suff + #-a>,1,{isotA',{isot,{i(.).(.),{u$1o$2,c-suff,{usot,1,Need new categories,DONE
38,{i1otaAo>,{i1ota@o>,v-suff + #A-',1,{isotA',{isotA,{i(.).(.)A,{u$1o$2iy,v-suff,{usotiy,1,Need new categories,DONE
39,{i1otaAo3,{i1ota@o3,c-suff + hollow,39,{ixotAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff + hollow,{uxotir,0,,DONE
40,{i1otaAo3,{i1ota@o3,v-suff + hollow,39,{ixotAr,{ixotAr,{i(.).(.)A(.),{u$1o$2iy$3,v-suff + hollow,{uxotiyr,0,,DONE
41,{i1otaAo3,{i1ota@o3,c-suff + #t hollow,2,{ixotAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff + #t hollow,{uxotir,0,,DONE
42,{i1otaAo3,{i1ota@o3,v-suff + #t hollow,2,{ixotAr,{ixotAr,{i(.).(.)A(.),{u$1o$2iy$3,v-suff + #t hollow,{uxotiyr,0,,DONE
43,{i1otaAo3,{i1ota@o3,c-suff + #n hollow,1,{ixotAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff + #n hollow,{uxotir,0,,DONE
44,{i1otaAo3,{i1ota@o3,v-suff + #n hollow,1,{ixotAr,{ixotAr,{i(.).(.)A(.),{u$1o$2iy$3,v-suff + #n hollow,{uxotiyr,0,,DONE
45,{i1otawa3,{i1otawa3,,3,{iEotawaS,{iEotawaS,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,{uEotuwiS,1,,DONE
46,{i1otawaY,{i1otawa#,#-ay,8,{ilotawaY,{ilotaw,{i(.).(.).(.),{u$1o$2u$3,#-iy,{ulotuw,0,,DONE
