,PATTERN_ABSTRACT,PATTERN_LEMMA_CONC,PATTERN_LEMMA,ROOT,PATTERN,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,COMMENTS,STATUS
38,1a2a3,1aAo3,1A3,E.y.$,1A3,عاش,LEXICON,[STEM-PV],EA$,EA$,PV,long_live!,pos:verb asp:p vox:a gen:_ num:_,v-suff,,hollow trans Frozen,,
39,1a2a3,1aAo3,1A3,q.w.l,1u3,قال-ُ,LEXICON,[STEM-PV],qAl-u,qul,PV,say,pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow trans,,
40,1a2a3,1aAo3,1A3,q.w.l,1A3,قال-ُ,LEXICON,[STEM-PV],qAl-u,qAl,PV,say,pos:verb asp:p vox:a gen:_ num:_,v-suff,,hollow trans,,
41,1a2a3,1a2~,1a2~,q.l.l,1a2a3,قَلّ-ِ,LEXICON,[STEM-PV],qal~-i,qalal,PV,be_less;decrease;diminish,pos:verb asp:p vox:a gen:_ num:_,c-suff,,gem intrans,,
42,1a2a3,1a2~,1a2~,q.l.l,1a2~,قَلّ-ِ,LEXICON,[STEM-PV],qal~-i,qal~,PV,be_less;decrease;diminish,pos:verb asp:p vox:a gen:_ num:_,v-suff,,gem intrans,,
43,1a2a3,1awiy,1awiy,q.w.y,1aw,قَوِي-َ,LEXICON,[STEM-PV],qawiy-a,qaw,PV,be_strong,pos:verb asp:p vox:a gen:_ num:_,,,#-iy defective intrans,,
44,1a2~a3,1ay~a3,1ay~a3,q.y.l,1ay~a3,قَيَّل,LEXICON,[STEM-PV],qay~al,qay~al,PV,take_a_nap,pos:verb asp:p vox:a gen:_ num:_,,,trans,,
45,1a2a3,1a2iy,1a2iy,k.r.y,1a2,كَرِي-َ,LEXICON,[STEM-PV],kariy-a,kar,PV,sleep,pos:verb asp:p vox:a gen:_ num:_,,,#-iy defective trans,,
46,1a2a3,1a2~,1a2~,k.n.n,1a2~,كَنّ-ِ,LEXICON,[STEM-PV],kan~-i,kan~,PV,conceal;hide;harbor,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#n gem trans,,
47,1a2a3,1a2~,1a2~,k.n.n,1a2a3,كَنّ-ِ,LEXICON,[STEM-PV],kan~-i,kanan,PV,conceal;hide;harbor,pos:verb asp:p vox:a gen:_ num:_,c-suff,,#n gem trans,,
48,1a2~a3,1aw~a3,1aw~a3,k.w.n,1aw~a3,كَوَّن,LEXICON,[STEM-PV],kaw~an,kaw~an,PV,create,pos:verb asp:p vox:a gen:_ num:_,,,#n trans,,
49,1a2a3,1a2~,1a2~,l.b.b,1a2~,لَبّ-َ,LEXICON,[STEM-PV],lab~-a,lab~,PV,be_sensible,pos:verb asp:p vox:a gen:_ num:_,v-suff,,gem intrans,,
50,1a2a3,1a2~,1a2~,l.b.b,1a2a3,لَبّ-َ,LEXICON,[STEM-PV],lab~-a,labab,PV,be_sensible,pos:verb asp:p vox:a gen:_ num:_,c-suff,,gem intrans,,
51,1a2a3,1a2~,1a2~,l.b.b,1a2i3,لَبّ-َ,LEXICON,[STEM-PV],lab~-a,labib,PV,be_sensible,pos:verb asp:p vox:a gen:_ num:_,c-suff,,gem intrans,,
52,1a2a3,1a2~,1a2~,l.m.m,1a2a3,لَمّ-ُ,LEXICON,[STEM-PV],lam~-u,lamam,PV,collect;put_in_order,pos:verb asp:p vox:a gen:_ num:_,c-suff,,gem trans,,
53,1a2a3,1a2~,1a2~,l.m.m,1a2~,لَمّ-ُ,LEXICON,[STEM-PV],lam~-u,lam~,PV,collect;put_in_order,pos:verb asp:p vox:a gen:_ num:_,v-suff,,gem trans,,
54,1a2a3,1ayo3a,1ayo3a,l.y.s,1a3,لَيْسَ,LEXICON,[STEM-PV],layosa,las,PV,not_be,pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow intrans Frozen,,
55,1a2a3,1ayo3a,1ayo3a,l.y.s,1ayo3,لَيْسَ,LEXICON,[STEM-PV],layosa,layos,PV,not_be,pos:verb asp:p vox:a gen:_ num:_,v-suff,,hollow intrans Frozen,,
56,1A2a3,1A2~,1A2~,m.s.s,1A2~,ماسّ,LEXICON,[STEM-PV],mAs~,mAs~,PV,be_in_touch_with;be_in_contact_with,pos:verb asp:p vox:a gen:_ num:_,v-suff,,gem intrans,,
57,1A2a3,1A2~,1A2~,m.s.s,1A2a3,ماسّ,LEXICON,[STEM-PV],mAs~,mAsas,PV,be_in_touch_with;be_in_contact_with,pos:verb asp:p vox:a gen:_ num:_,c-suff,,gem intrans,,
58,1a2a3,1a2~,1a2~,m.t.t,1a2a3,مَتّ-ُ,LEXICON,[STEM-PV],mat~-u,matat,PV,be_related_by_marriage;be_associated,pos:verb asp:p vox:a gen:_ num:_,c-suff,,#t gem intrans,,
59,1a2a3,1a2~,1a2~,m.t.t,1a2~,مَتّ-ُ,LEXICON,[STEM-PV],mat~-u,mat~,PV,be_related_by_marriage;be_associated,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#t gem intrans,,
60,1a2a3,1a>aY,1a>aY,n.>.y,1a>,نَأَى-َ,LEXICON,[STEM-PV],na>aY-a,na>,PV,be_distant;go_away,pos:verb asp:p vox:a gen:_ num:_,,,#-ay defective intrans,,
61,1a2a3,1aAo>,1A',n.y.>,1,ناء-ِ,LEXICON,[STEM-PV],nA'-i,n,PV,be_raw;be_uncooked,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#-A' hollow intrans,,
62,1a2a3,1aAo>,1A',n.y.>,1i},ناء-ِ,LEXICON,[STEM-PV],nA'-i,ni},PV,be_raw;be_uncooked,pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow intrans,,
63,1a2a3,1aAo>,1A',n.y.>,1,ناء-ِ,LEXICON,[STEM-PV],nA'-i,n,PV,weigh_heavily;bear_with_difficulty;be_oppressed,pos:verb asp:p vox:a gen:_ num:_,v-suff,,#-A' hollow trans,,
64,1a2a3,1aAo>,1A',n.y.>,1i},ناء-ِ,LEXICON,[STEM-PV],nA'-i,ni},PV,weigh_heavily;bear_with_difficulty;be_oppressed,pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow trans,,
65,1a2a3,1a2a>,1a2a>,n.b.>,1a2,نَبَأ-َ,LEXICON,[STEM-PV],naba>-a,nab,PV,be_elevated;overcome;withdraw,pos:verb asp:p vox:a gen:_ num:_,,,#-a> intrans,,
66,1a2a3,1a2aA,1a2A,n.b.w,1a2,نَبا-ُ,LEXICON,[STEM-PV],nabA-u,nab,PV,be_remote;bounce_off;disagree,pos:verb asp:p vox:a gen:_ num:_,,,#-aw intrans,,
67,1a2a3,1aAo3,1A3,h.w.E,1u3,هاع-َ,LEXICON,[STEM-PV],hAE-a,huE,PV,vomit,pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow trans,,
68,1a2a3,1aAo3,1A3,h.w.E,1i3,هاع-َ,LEXICON,[STEM-PV],hAE-a,hiE,PV,vomit,pos:verb asp:p vox:a gen:_ num:_,c-suff,,hollow trans,,
69,1a2a3,1aAo3,1A3,h.w.E,1A3,هاع-َ,LEXICON,[STEM-PV],hAE-a,hAE,PV,vomit,pos:verb asp:p vox:a gen:_ num:_,v-suff,,hollow trans,,
70,1a2~a3,wa2~a3,wa2~a3,w.q.t,wa2~a3,وَقَّت,LEXICON,[STEM-PV],waq~at,waq~at,PV,schedule;appoint_a_time,pos:verb asp:p vox:a gen:_ num:_,,,#t trans,,
