,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
95,Ait1a2a3,Aito1a2a>,1.2.>,\1.\2.>,BACKOFF,[STEM-PV],Aito1a2,lex:Aito1a2a>,lex:Aito\1a\2a>,Aito1a2,Aito\1a\2,Aito1a2/PV,Aito\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-a> trans,^At([^wyA}&])([^wyA}&])$,2,
96,Ait1a2a3,Aito1a2aY,1.2.y,\1.\2.y,BACKOFF,[STEM-PV],Aito1a2,lex:Aito1a2aY,lex:Aito\1a\2aY,Aito1a2,Aito\1a\2,Aito1a2/PV,Aito\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^At([^wyA}&])([^wyA}&])$,57,
97,Ait1a2~a3,Aito1a2~aY,1.2.y,\1.\2.y,BACKOFF,[STEM-PV],Aito1a2~,lex:Aito1a2~aY,lex:Aito\1a\2~aY,Aito1a2~,Aito\1a\2~,Aito1a2~/PV,Aito\1a\2~/PV,na,pos:verb asp:p vox:a mod:i,,,#-ay trans,^At([^wyA}&])([^wyA}&])$,85,
98,Ait1a2~a3,Aito1a2~a>,1.2.>,\1.\2.>,BACKOFF,[STEM-PV],Aito1a2~,lex:Aito1a2~a>,lex:Aito\1a\2~a>,Aito1a2~,Aito\1a\2~,Aito1a2~/PV,Aito\1a\2~/PV,na,pos:verb asp:p vox:a mod:i,,,#-a> trans,^At([^wyA}&])([^wyA}&])$,6,
99,Ait1a2~a3,Aito1a2~A,1.2.>,\1.\2.>,BACKOFF,[STEM-PV],Aito1a2~,lex:Aito1a2~A,lex:Aito\1a\2~A,Aito1a2~,Aito\1a\2~,Aito1a2~/PV,Aito\1a\2~/PV,na,pos:verb asp:p vox:a mod:i,,,#-A trans,^At([^wyA}&])([^wyA}&])$,1,
100,Ait1a23i4,Aito1a2o3i4,1.2.3.4,\1.\2.\3.\4,BACKOFF,[STEM-PV],Aito1a2o3i4,lex:Aito1a2o3i4,lex:Aito\1a\2o\3i\4,Aito1a2o3i4,Aito\1a\2o\3i\4,Aito1a2o3i4/PV,Aito\1a\2o\3i\4/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])([^wyA}&])([^wyA}&])([^ntwyA}&])$,147,
101,Ait1a23a4,Aito1a2o3a4,1.2.3.n,\1.\2.\3.n,BACKOFF,[STEM-PV],Aito1a2o3a4,lex:Aito1a2o3an,lex:Aito\1a\2o\3an,Aito1a2o3an,Aito\1a\2o\3an,Aito1a2o3an/PV,Aito\1a\2o\3an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])([^wyA}&])([^wyA}&])n$,16,
102,Ait1a23i4,Aito1a2owi4,1.2.w.4,\1.\2.w.\3,BACKOFF,[STEM-PV],Aito1a2owi4,lex:Aito1a2owi4,lex:Aito\1a\2owi\3,Aito1a2owi4,Aito\1a\2owi\3,Aito1a2owi4/PV,Aito\1a\2owi\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])([^wyA}&])w([^ntwyA}&])$,17,
103,Ait1a23a4,Aito1a2owa4,1.2.w.4,\1.\2.w.\3,BACKOFF,[STEM-PV],Aito1a2owa4,lex:Aito1a2owa4,lex:Aito\1a\2owa\3,Aito1a2owa4,Aito\1a\2owa\3,Aito1a2owa4/PV,Aito\1a\2owa\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])([^wyA}&])w([^ntwyA}&])$,22,
104,Ait1a2~i3,Aito1a2~i3,1.2.t,\1.\2.t,BACKOFF,[STEM-PV],Aito1a2~i3,lex:Aito1a2~it,lex:Aito\1a\2~it,Aito1a2~it,Aito\1a\2~it,Aito1a2~it/PV,Aito\1a\2~it/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^At([^wyA}&])([^wyA}&])t$,24,
