,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,LEMMA,FORM,DEFINE,CLASS,BW,GLOSS,FEAT,COND-T,COND-S,STATUS
21,22,Ain1a2a3,*.l.l,1.2.2,Aino1a2~,Aino1a2~,Aino*al~,Aino*al~,LEXICON,[STEM-CV],CV,be_humiliated;be_debased;degrade;subdue;be_degraded;be_subdued;debase_[CALIMA],pos:verb asp:c vox:a mod:i,,gem intrans,OK
22,23,1a2a3,*.l.l,1.2.2,1a2~,1i2~,*al~,*il~,LEXICON,[STEM-CV],CV,humiliate_[CALIMA],pos:verb asp:c vox:a mod:i,,gem trans,OK
23,24,1a2~i3,*.l.l,1.2.2,1a2~i3,1a2~i3,*al~il,*al~il,LEXICON,[STEM-CV],CV,degrade;subdue;be_overcome;overcome;surmount_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
24,25,Ain1a2a3,*.m.m,1.2.2,Aino1a2~,Aino1a2~,Aino*am~,Aino*am~,LEXICON,[STEM-CV],CV,be_denounced;condemned_[CALIMA],pos:verb asp:c vox:a mod:i,,gem intrans,OK
25,26,1a2a3,*.m.m,1.2.2,1a2~,1i2~,*am~,*im~,LEXICON,[STEM-CV],CV,blame;criticize_[CALIMA],pos:verb asp:c vox:a mod:i,,gem trans,OK
26,27,>a12a3,*.n.b,1.2.3,>a1o2a3,Ai1o2i3,>a*onab,Ai*onib,LEXICON,[STEM-CV],CV,do_wrong;commit_an_offense;be_guilty;be_found_guilty_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
27,28,Ait1a2~i3,*.n.b,1.2.3,Aito1a2~i3,Aito1a2~i3,Aito*an~ib,Aito*an~ib,LEXICON,[STEM-CV],CV,be_punished_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
28,29,1a2~i3,*.n.b,1.2.3,1a2~i3,1a2~i3,*an~ib,*an~ib,LEXICON,[STEM-CV],CV,follow;come_after;punish_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
29,30,Ait1a2~i3,*.w.b,1.w.3,Aito1a2~i3,Aito1a2~i3,Aito*aw~ib,Aito*aw~ib,LEXICON,[STEM-CV],CV,be_boisterous;cause_a_slackening;dissolve;liquify;melt_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
30,31,1a2a3,*.w.b,1.w.3,1A3,1u23,*Ab,*uwb,LEXICON,[STEM-CV],CV,be_worn_out_[CALIMA],pos:verb asp:c vox:a mod:i,,hollow intrans,OK
31,32,1a2a3,*.w.l,1.w.3,1A3,1iy3,*Al,*iyl,LEXICON,[STEM-CV],CV,stop_doing;stop_being;still;cease_[CALIMA],pos:verb asp:c vox:a mod:i,,hollow trans,OK
32,33,Aista12a3,*.w.q,1.w.3,Aisota1o2a3,Aisota1o2a3,Aisota*owaq,Aisota*owaq,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
