,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,LEMMA,FORM,DEFINE,CLASS,BW,GLOSS,FEAT,COND-T,COND-S,STATUS
2283,2284,Ait1a2~a3,f.r.d,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~ad,Aitofar~ad,LEXICON,[STEM-CV],CV,be_spread_out_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2284,2285,Ait1a2a3,f.r.D,1.2.3,Aito1a2a3,Aito1i2i3,AitofaraD,AitofiriD,LEXICON,[STEM-CV],CV,be_obligated_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2285,2286,Aista12a3,f.r.d,1.2.3,Aisota1o2a3,Aisota1o2i3,Aisotaforad,Aisotaforid,LEXICON,[STEM-CV],CV,be_solitary_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2286,2287,Ai1ta2a3,f.r.D,1.2.3,Ai1ota2a3,Ai1oti2i3,AifotaraD,AifotiriD,LEXICON,[STEM-CV],CV,suppose;presume;expect_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2287,2288,Ain1a2a3,f.r.d,1.2.3,Aino1a2a3,Aino1i2i3,Ainofarad,Ainofirid,LEXICON,[STEM-CV],CV,withdraw;retire_alone_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2288,2289,Ain1a2a3,f.r.D,1.2.3,Aino1a2a3,Aino1i2i3,AinofaraD,AinofiriD,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2289,2290,1a2a3,f.r.d,1.2.3,1a2a3,Ai12i3,farad,Aifrid,LEXICON,[STEM-CV],CV,straighten_out_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2290,2291,1a2~a3,f.r.d,1.2.3,1a2~a3,1a2~a3,far~ad,far~ad,LEXICON,[STEM-CV],CV,individualize;separate_in_units_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2291,2292,1a2a3,f.r.D,1.2.3,1a2a3,Ai12i3,faraD,AifriD,LEXICON,[STEM-CV],CV,impose;be_imposed_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2292,2293,Ait1a2~a3,f.r.E,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~aE,Aitofar~aE,LEXICON,[STEM-CV],CV,branch_out;spread_out;be_split;be_divided;branch_off;out_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2293,2294,1a2~a3,f.r.E,1.2.3,1a2~a3,1a2~a3,far~aE,far~aE,LEXICON,[STEM-CV],CV,ramify_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2294,2295,Ait1a23a4,f.r.E.n,1.2.3.4,Aito1a2o3a4,Aito1a2o3a4,AitofaroEan,AitofaroEan,LEXICON,[STEM-CV],CV,tyrannize_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2295,2296,1a23a4,f.r.E.n,1.2.3.4,1a2o3a4,1a2o3a4,faroEan,faroEan,LEXICON,[STEM-CV],CV,tyrannize_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2296,2297,Ait1a23i4,f.r.f.$,1.2.3.4,Aito1a2o3i4,Aito1a2o3i4,Aitofarofi$,Aitofarofi$,LEXICON,[STEM-CV],CV,be_happy;have_the_good_fortune_to;be_blessed_with_god_fortune;be_made_happy;be_delighted;have_a_god_time;become_happy;cheer_up_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2297,2298,1a23i4,f.r.f.$,1.2.3.4,1a2o3i4,1a2o3i4,farofi$,farofi$,LEXICON,[STEM-CV],CV,be_happy;have_the_good_fortune_to;be_blessed_with_god_fortune;be_made_happy;be_delighted;have_a_god_time;become_happy;cheer_up_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2298,2299,Ait1a23a4,f.r.f.r,1.2.3.4,Aito1a2o3a4,Aito1a2o3a4,Aitofarofar,Aitofarofar,LEXICON,[STEM-CV],CV,be_ginned;be_ginned_of_cotton;gin_cotton;shake;flutter_the_wings;vibrate;jerk;tremble_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2299,2300,1a23a4,f.r.f.r,1.2.3.4,1a2o3a4,1a2o3a4,farofar,farofar,LEXICON,[STEM-CV],CV,shake_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2300,2301,Ait1a23i4,f.r.f.t,1.2.3.4,Aito1a2o3i4,Aito1a2o3i4,Aitofarofit,Aitofarofit,LEXICON,[STEM-CV],CV,be_crumbled_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2301,2302,Ait1a23a4,f.r.f.T,1.2.3.4,Aito1a2o3a4,Aito1a2o3a4,AitofarofaT,AitofarofaT,LEXICON,[STEM-CV],CV,distribute;be_distributed;radiate;disperse;beam;be_radiated;be_diffused;divide_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2302,2303,1a23i4,f.r.f.t,1.2.3.4,1a2o3i4,1a2o3i4,farofit,farofit,LEXICON,[STEM-CV],CV,crumble;fritter;fragmentize_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2303,2304,1a23a4,f.r.f.T,1.2.3.4,1a2o3a4,1a2o3a4,farofaT,farofaT,LEXICON,[STEM-CV],CV,distribute;be_distributed;radiate;disperse;beam;be_radiated;be_diffused;divide_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2304,2305,Ait1a2~a3,f.r.g,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~ag,Aitofar~ag,LEXICON,[STEM-CV],CV,be_unoccupied;be_free_from_work;support;gain_possession;take_hold;become_entrenched;resist;make_steady_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2305,2306,Aista12a3,f.r.g,1.2.3,Aisota1o2a3,Aisota1o2i3,Aisotaforag,Aisotaforig,LEXICON,[STEM-CV],CV,vomit;vomit_violently;overflow;immerse;flood;be_immersed;be_overwhelmed;be_floded_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2306,2307,1a2~a3,f.r.g,1.2.3,1a2~a3,1a2~a3,far~ag,far~ag,LEXICON,[STEM-CV],CV,empty;evacuate_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2307,2308,1i2i3,f.r.g,1.2.3,1i2i3,Ai12i3,firig,Aifrig,LEXICON,[STEM-CV],CV,be_empty;be_unoccupied;become_empty;be_deflated;leak_air;vacate;empty;be_vacated_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2308,2309,1a2~a3,f.r.H,1.2.3,1a2~a3,1a2~a3,far~aH,far~aH,LEXICON,[STEM-CV],CV,gladden;make_merry_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2309,2310,1i2i3,f.r.H,1.2.3,1i2i3,Ai12a3,firiH,AifraH,LEXICON,[STEM-CV],CV,rejoice;be_happy;cheer_up;be_glad_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2310,2311,Ait1a23a4,f.r.h.d,1.2.3.4,Aito1a2o3a4,Aito1a2o3a4,Aitofarohad,Aitofarohad,LEXICON,[STEM-CV],CV,fatigue;strain;wear_out;exhaust;burden;oppress;demand;be_burdened_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2311,2312,1a23a4,f.r.h.d,1.2.3.4,1a2o3a4,1a2o3a4,farohad,farohad,LEXICON,[STEM-CV],CV,fatigue;strain;wear_out;exhaust;burden;oppress;demand;be_burdened_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2312,2313,>a12a3,f.r.j,1.2.3,>a1o2a3,Ai1o2i3,>aforaj,Aiforij,LEXICON,[STEM-CV],CV,release;liberate;set_free;be_released;be_liberate;be_set_free_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2313,2314,Ait1a2a3,f.r.j,1.2.3,Aito1a2a3,Aito1i2i3,Aitofaraj,Aitofirij,LEXICON,[STEM-CV],CV,be_opened;display;reveal_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2314,2315,Ait1a2~a3,f.r.j,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~aj,Aitofar~aj,LEXICON,[STEM-CV],CV,watch;observe_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2315,2316,Ai1ta2a3,f.r.j,1.2.3,Ai1ota2a3,Ai1oti2i3,Aifotaraj,Aifotirij,LEXICON,[STEM-CV],CV,ease_up_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2316,2317,1a2a3,f.r.j,1.2.3,1a2a3,Ai12i3,faraj,Aifrij,LEXICON,[STEM-CV],CV,ease_up_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2317,2318,1a2~a3,f.r.j,1.2.3,1a2~a3,1a2~a3,far~aj,far~aj,LEXICON,[STEM-CV],CV,open;separate_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2318,2319,Ait1a2a3,f.r.k,1.2.3,Aito1a2a3,Aito1i2i3,Aitofarak,Aitofirik,LEXICON,[STEM-CV],CV,rub;be_rubbed;rubbed;scrape;chafe;rub_together;grate;rubbing_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2319,2320,Ain1a2a3,f.r.k,1.2.3,Aino1a2a3,Aino1i2i3,Ainofarak,Ainofirik,LEXICON,[STEM-CV],CV,be_rubbed_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2320,2321,1a2a3,f.r.k,1.2.3,1a2a3,Au12u3,farak,Aufruk,LEXICON,[STEM-CV],CV,rub_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2321,2322,Ait1a23i4,f.r.k.$,1.2.3.4,Aito1a2o3i4,Aito1a2o3i4,Aitofaroki$,Aitofaroki$,LEXICON,[STEM-CV],CV,split;break_up;dissolve;disband;be_wasted;be_separated;be_split_up;be_made_separate_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2322,2323,1a23i4,f.r.k.$,1.2.3.4,1a2o3i4,1a2o3i4,faroki$,faroki$,LEXICON,[STEM-CV],CV,separate;differentiate;be_made_separate;dissolve;untie;solve_(problem);be_dissolved;be_untied_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2323,2324,Ait1a2a3,f.r.m,1.2.3,Aito1a2a3,Aito1i2i3,Aitofaram,Aitofirim,LEXICON,[STEM-CV],CV,chop_up;grind;be_ground;be_minced;mince;chop_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2324,2325,Ain1a2a3,f.r.m,1.2.3,Aino1a2a3,Aino1i2i3,Ainofaram,Ainofirim,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2325,2326,1a2a3,f.r.m,1.2.3,1a2a3,Au12u3,faram,Aufrum,LEXICON,[STEM-CV],CV,chop_up;grind_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2326,2327,Ait1a23i4,f.r.m.l,1.2.3.4,Aito1a2o3i4,Aito1a2o3i4,Aitofaromil,Aitofaromil,LEXICON,[STEM-CV],CV,apply_the_brakes;brake;slow_down_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2327,2328,1a23i4,f.r.m.l,1.2.3.4,1a2o3i4,1a2o3i4,faromil,faromil,LEXICON,[STEM-CV],CV,apply_the_brakes;brake;slow_down_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2328,2329,Ait1a23a4,f.r.n.j,1.2.3.4,Aito1a2o3a4,Aito1a2o3a4,Aitofaronaj,Aitofaronaj,LEXICON,[STEM-CV],CV,ape_the_europeans_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2329,2330,Ait1A2i3,f.r.q,1.2.3,Aito1A2i3,Aito1A2i#3,AitofAriq,AitofAri#q,LEXICON,[STEM-CV],CV,depart_from;be_separated_from;distinctive;differentiating;discriminating_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2330,2331,Ait1a2a3,f.r.q,1.2.3,Aito1a2a3,Aito1i2i3,Aitofaraq,Aitofiriq,LEXICON,[STEM-CV],CV,differentiate;distinguish;discriminate;separate;differ;be_different;be_made_separate;dissolve_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2331,2332,Ait1a2~a3,f.r.q,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~aq,Aitofar~aq,LEXICON,[STEM-CV],CV,be_spread_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2332,2333,Ai1ta2a3,f.r.q,1.2.3,Ai1ota2a3,Ai1oti2i3,Aifotaraq,Aifotiriq,LEXICON,[STEM-CV],CV,differ_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2333,2334,Ain1a2a3,f.r.q,1.2.3,Aino1a2a3,Aino1i2i3,Ainofaraq,Ainofiriq,LEXICON,[STEM-CV],CV,differentiate;distinguish;discriminate;separate;differ;be_different;be_made_separate;dissolve_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2334,2335,1A2i3,f.r.q,1.2.3,1A2i3,1A2i#3,fAriq,fAri#q,LEXICON,[STEM-CV],CV,leave_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2335,2336,1a2a3,f.r.q,1.2.3,1a2a3,Ai12i3,faraq,Aifriq,LEXICON,[STEM-CV],CV,differentiate;distinguish;discriminate_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2336,2337,1a2~a3,f.r.q,1.2.3,1a2~a3,1a2~a3,far~aq,far~aq,LEXICON,[STEM-CV],CV,separate;differentiate_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2337,2338,Ait1a23a4,f.r.q.E,1.2.3.4,Aito1a2o3a4,Aito1a2o3a4,AitofaroqaE,AitofaroqaE,LEXICON,[STEM-CV],CV,crack;pop;burst;explode;detonate_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2338,2339,1a23a4,f.r.q.E,1.2.3.4,1a2o3a4,1a2o3a4,faroqaE,faroqaE,LEXICON,[STEM-CV],CV,crack;pop;burst_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2339,2340,1a2a3,f.r.r,1.2.2,1a2~,1i2~,far~,fir~,LEXICON,[STEM-CV],CV,escape;flee;defect;desert_[CALIMA],pos:verb asp:c vox:a mod:i,,gem intrans,OK
2340,2341,Ait1a2a3,f.r.s,1.2.3,Aito1a2a3,Aito1i2i3,Aitofaras,Aitofiris,LEXICON,[STEM-CV],CV,become_infuriated;enraged_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2341,2342,Ait1a2~a3,f.r.s,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~as,Aitofar~as,LEXICON,[STEM-CV],CV,scrutinize;look_firmly_at;gaze;lok_firmly_at_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2342,2343,Ai1ta2a3,f.r.s,1.2.3,Ai1ota2a3,Ai1oti2i3,Aifotaras,Aifotiris,LEXICON,[STEM-CV],CV,devour_of_an_animal_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2343,2344,Ain1a2a3,f.r.s,1.2.3,Aino1a2a3,Aino1i2i3,Ainofaras,Ainofiris,LEXICON,[STEM-CV],CV,enrage;irritate;be_enraged;be_irritated;be_eaten_away;be_eroded_extensively;be_spited;be_thwarted_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2344,2345,1a2a3,f.r.s,1.2.3,1a2a3,Ai12i3,faras,Aifris,LEXICON,[STEM-CV],CV,enrage;irritate;be_enraged;be_irritated;be_eaten_away;be_eroded_extensively;be_spited;be_thwarted_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2345,2346,Ait1a2a3,f.r.T,1.2.3,Aito1a2a3,Aito1i2i3,AitofaraT,AitofiriT,LEXICON,[STEM-CV],CV,peel;shell;become_disjoined;be_segmented;segment_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2346,2347,Ait1a2~a3,f.r.T,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~aT,Aitofar~aT,LEXICON,[STEM-CV],CV,precede;arrive_before;let_loose;be_disjoined;disjoin;disassemble;abandon;be_lax_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2347,2348,Ain1a2a3,f.r.T,1.2.3,Aino1a2a3,Aino1i2i3,AinofaraT,AinofiriT,LEXICON,[STEM-CV],CV,be_dissolved;break_up_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2348,2349,1a2a3,f.r.T,1.2.3,1a2a3,Ai12i3,faraT,AifriT,LEXICON,[STEM-CV],CV,precede;arrive_before;let_loose_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2349,2350,1a2~a3,f.r.T,1.2.3,1a2~a3,1a2~a3,far~aT,far~aT,LEXICON,[STEM-CV],CV,abandon;be_lax_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2350,2351,Ait1a23a4,f.r.T.H,1.2.3.4,Aito1a2o3a4,Aito1a2o3a4,AitofaroTaH,AitofaroTaH,LEXICON,[STEM-CV],CV,be_flattened_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2351,2352,1a23a4,f.r.T.H,1.2.3.4,1a2o3a4,1a2o3a4,faroTaH,faroTaH,LEXICON,[STEM-CV],CV,flatten_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2352,2353,Ait1a23i4,f.r.t.k,1.2.3.4,Aito1a2o3i4,Aito1a2o3i4,Aitofarotik,Aitofarotik,LEXICON,[STEM-CV],CV,scatter_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2353,2354,1a23i4,f.r.t.k,1.2.3.4,1a2o3i4,1a2o3i4,farotik,farotik,LEXICON,[STEM-CV],CV,cut_off;sever;interrupt;stop;tear;be_torn;be_split;be_divided_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2354,2355,Ait1a23i4,f.r.t.n,1.2.3.4,Aito1a2o3i4,Aito1a2o3i4,Aitofarotin,Aitofarotin,LEXICON,[STEM-CV],CV,be_wasted_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2355,2356,1a23i4,f.r.t.n,1.2.3.4,1a2o3i4,1a2o3i4,farotin,farotin,LEXICON,[STEM-CV],CV,lose;squander;waste_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2356,2357,Ait1a23i4,f.r.w.l,1.2.w.4,Aito1a2o3i4,Aito1a2o3i4,Aitofarowil,Aitofarowil,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2357,2358,1a23i4,f.r.w.l,1.2.w.4,1a2o3i4,1a2o3i4,farowil,farowil,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2358,2359,Ait1a2~a3,f.r.x,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~ax,Aitofar~ax,LEXICON,[STEM-CV],CV,be_incubated_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2359,2360,1a2~a3,f.r.x,1.2.3,1a2~a3,1a2~a3,far~ax,far~ax,LEXICON,[STEM-CV],CV,hatch;germinate_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2360,2361,Ai1ta2a3,f.r.y,1.2.y,Ai1ota2aY,Ai1oti2,AifotaraY,Aifotir,LEXICON,[STEM-CV],CV,be_dishonest_[CALIMA],pos:verb asp:c vox:a mod:i,,#-iy defective intrans,OK
2361,2362,>a12a3,f.r.z,1.2.3,>a1o2a3,Ai1o2i3,>aforaz,Aiforiz,LEXICON,[STEM-CV],CV,sort_out;select;classify;be_sorted_out;be_selected;be_classified_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2362,2363,Ait1a2a3,f.r.z,1.2.3,Aito1a2a3,Aito1i2i3,Aitofaraz,Aitofiriz,LEXICON,[STEM-CV],CV,be_classified;sort_out;select;classify;be_sorted;excrete;sort;scrutinize_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2363,2364,Ait1a2~a3,f.r.z,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofar~az,Aitofar~az,LEXICON,[STEM-CV],CV,be_rabbeted_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2364,2365,Ain1a2a3,f.r.z,1.2.3,Aino1a2a3,Aino1i2i3,Ainofaraz,Ainofiriz,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2365,2366,1a2a3,f.r.z,1.2.3,1a2a3,Ai12i3,faraz,Aifriz,LEXICON,[STEM-CV],CV,sort_out;select;classify_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2366,2367,1a2~a3,f.r.z,1.2.3,1a2~a3,1a2~a3,far~az,far~az,LEXICON,[STEM-CV],CV,be_rabbeted_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2367,2368,>a12a3,f.s.d,1.2.3,>a1o2a3,Ai1o2i3,>afosad,Aifosid,LEXICON,[STEM-CV],CV,spoil;corrupt;be_spoiled;be_corrupted_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2368,2369,Ait1a2a3,f.S.d,1.2.3,Aito1a2a3,Aito1i2i3,AitofaSad,AitofiSid,LEXICON,[STEM-CV],CV,blodlet_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2369,2370,1a2a3,f.s.d,1.2.3,1a2a3,Ai12i3,fasad,Aifsid,LEXICON,[STEM-CV],CV,spoil;corrupt;decompose_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2370,2371,1i2i3,f.s.d,1.2.3,1i2i3,Ai12a3,fisid,Aifsad,LEXICON,[STEM-CV],CV,become_corrupt;spoil_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2371,2372,1a2a3,f.S.d,1.2.3,1a2a3,Ai12i3,faSad,AifSid,LEXICON,[STEM-CV],CV,make_bleed_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2372,2373,1a23i4,f.s.f.s,1.2.3.4,1a2o3i4,1a2o3i4,fasofis,fasofis,LEXICON,[STEM-CV],CV,break_out_in_pimples_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2373,2374,>a12a3,f.S.H,1.2.3,>a1o2a3,Ai1o2i3,>afoSaH,AifoSiH,LEXICON,[STEM-CV],CV,express_clearly;make_plain;be_expressed_clearly;be_made_plain_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2374,2375,Ait1a2a3,f.s.H,1.2.3,Aito1a2a3,Aito1i2i3,AitofasaH,AitofisiH,LEXICON,[STEM-CV],CV,be_cleared;be_made_spacious_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2375,2376,Ait1a2~a3,f.s.H,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofas~aH,Aitofas~aH,LEXICON,[STEM-CV],CV,go_for_a_stroll;take_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2376,2377,Ain1a2a3,f.s.H,1.2.3,Aino1a2a3,Aino1i2i3,AinofasaH,AinofisiH,LEXICON,[STEM-CV],CV,become_wide;be_spacious_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2377,2378,1a2a3,f.s.H,1.2.3,1a2a3,Ai12a3,fasaH,AifsaH,LEXICON,[STEM-CV],CV,make_room;clear_a_space_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2378,2379,1a2~a3,f.s.H,1.2.3,1a2~a3,1a2~a3,fas~aH,fas~aH,LEXICON,[STEM-CV],CV,broaden;widen_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2379,2380,Ait1A2i3,f.S.l,1.2.3,Aito1A2i3,Aito1A2i#3,AitofASil,AitofASi#l,LEXICON,[STEM-CV],CV,bargain;haggle;bargain_with;bargain_with_one_another;hassle_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2380,2381,Ait1a2a3,f.s.l,1.2.3,Aito1a2a3,Aito1i2i3,Aitofasal,Aitofisil,LEXICON,[STEM-CV],CV,twist;braid;be_braided;plait;mark;be_twisted;controversy;quarrel_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2381,2382,Ait1a2a3,f.S.l,1.2.3,Aito1a2a3,Aito1i2i3,AitofaSal,AitofiSil,LEXICON,[STEM-CV],CV,classify;be_cut;tailored_measure;be_detached;section;cut_apart;split_up;cut_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2382,2383,Ait1a2~a3,f.S.l,1.2.3,Aito1a2~a3,Aito1a2~a3,AitofaS~al,AitofaS~al,LEXICON,[STEM-CV],CV,classify;be_cut;tailored_measure;be_detached;section;cut_apart;split_up;cut_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2383,2384,Ain1a2a3,f.S.l,1.2.3,Aino1a2a3,Aino1i2i3,AinofaSal,AinofiSil,LEXICON,[STEM-CV],CV,be_separated;be_removed_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2384,2385,1A2i3,f.S.l,1.2.3,1A2i3,1A2i#3,fASil,fASi#l,LEXICON,[STEM-CV],CV,bargain;haggle;bargain_with;bargain_with_one_another;hassle_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2385,2386,1a2~a3,f.s.l,1.2.3,1a2~a3,1a2~a3,fas~al,fas~al,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2386,2387,1a2a3,f.S.l,1.2.3,1a2a3,Ai12i3,faSal,AifSil,LEXICON,[STEM-CV],CV,separate;detach;set_apart_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2387,2388,1a2~a3,f.S.l,1.2.3,1a2~a3,1a2~a3,faS~al,faS~al,LEXICON,[STEM-CV],CV,classify_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2388,2389,Ait1a2a3,f.s.q,1.2.3,Aito1a2a3,Aito1i2i3,Aitofasaq,Aitofisiq,LEXICON,[STEM-CV],CV,act_immorally;live_sinfully;be_torn_threads;become_rude;behave_promiscuously;be_made_immoral;debauch_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2389,2390,1a2a3,f.s.q,1.2.3,1a2a3,Ai12a3,fasaq,Aifsaq,LEXICON,[STEM-CV],CV,act_immorally;live_sinfully_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2390,2391,Ait1a2~a3,f.s.r,1.2.3,Aito1a2~a3,Aito1a2~a3,Aitofas~ar,Aitofas~ar,LEXICON,[STEM-CV],CV,explain;interpret;be_explained;be_interpreted;explained;expose;slice;dissect_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
2391,2392,Aista12a3,f.s.r,1.2.3,Aisota1o2a3,Aisota1o2i3,Aisotafosar,Aisotafosir,LEXICON,[STEM-CV],CV,inquire_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2392,2393,1a2~a3,f.s.r,1.2.3,1a2~a3,1a2~a3,fas~ar,fas~ar,LEXICON,[STEM-CV],CV,explain;interpret;be_explained;be_interpreted_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
2393,2394,Ait1a2~a3,f.S.S,1.2.2,Aito1a2~a3,Aito1a2~a3,AitofaS~aS,AitofaS~aS,LEXICON,[STEM-CV],CV,peel;shell;become_disjoined;be_segmented;segment_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
