,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F,COMMENTS
70,81,MORPH,[PVSuff],PVSuff.2FP,tun~a,tun~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,else !enc0:2* ,c-suff,tun~a,كتبتن,DONE,,
71,82,MORPH,[PVSuff],PVSuff.2FP,~un~a,~un~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,#t !enc0:2*,c-suff,~un~a,سكتن,DONE,,
72,83,MORPH,[PVSuff],PVSuff.2D,tumA,tumA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,else !enc0:2*,c-suff,tumA,كتبتما,DONE,,
73,84,MORPH,[PVSuff],PVSuff.2D,~umA,~umA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,#t !enc0:2*,c-suff,~umA,سكتما,DONE,,
74,85,MORPH,[PVSuff],PVSuff.3MS,a,a/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,else,v-suff z-suff,a,كتب,DONE,,
75,86,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,#-ay||#-ay-A||#-aw||#-aA,v-suff z-suff,_,رمى,DONE,,
76,87,MORPH,[PVSuff],PVSuff.3MD,A,A/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,else,v-suff A-suff,A,كتبا,DONE,,
77,88,MORPH,[PVSuff],PVSuff.3MD,_,(null)/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,#-a>,v-suff A-suff,_,قرآ,DONE,,
78,89,MORPH,[PVSuff],PVSuff.3MP,uwA,uwA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else else,v-suff w-suff,uwA,كتبوا,DONE,,
79,90,MORPH,[PVSuff],PVSuff.3MP,uw,uwA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else enc0,v-suff w-suff,uwA,كتبوها,DONE,,
80,91,MORPH,[PVSuff],PVSuff.3MP,awoA,awoA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-ay-A||#-aw||#-aA else,v-suff w-suff,awA,رموا,DONE,,
81,92,MORPH,[PVSuff],PVSuff.3MP,awo,awoA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-ay-A||#-aw||#-aA enc0,v-suff w-suff,awA,رموه,DONE,,
82,93,MORPH,[PVSuff],PVSuff.3FS,at,at/PVSUFF_SUBJ:3FS,MSA,she_[fem.sg.],asp:p per:3 gen:f num:s,else,v-suff,at,كتبت,DONE,,
83,94,MORPH,[PVSuff],PVSuff.3FD,atA,atA/PVSUFF_SUBJ:3FD,MSA,they_[fem.du.],asp:p per:3 gen:f num:d,else,v-suff,atA,كتبتا,DONE,,
84,95,MORPH,[PVSuff],PVSuff.3FP,na,na/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,else,c-suff,na,كتبن,DONE,,
85,96,MORPH,[PVSuff],PVSuff.3FP,~a,~a/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,#n,c-suff,~a,سكن,DONE,,
86,413,#,Pronomonial clitics,,,,,,,,,,,,,
87,414,MORPH,[PRON],_,_,_,MSA,_,enc0:0,_,_,_,,DONE,,
88,415,#MORPH,[PRON] ,niy/PRON.1S,niy,niy/XVSUFF_DO:1S,MSA,me,enc0:1s_dobj,trans,enc0 enc0:1* enc0#^i,_+niy,يكتبني,DONE,,
89,416,#MORPH,[PRON] ,nA/PRON.1P,nA,nA/XVSUFF_DO:1P,MSA,us,enc0:1p_dobj,trans,enc0 enc0:1*,_+nA,يكتبنا,DONE,,
90,417,#MORPH,[PRON] ,kum/PRON.2MP,kum ,kum/XVSUFF_DO:2MP,MSA,you [masc.pl],enc0:2mp_dobj,trans,enc0 enc0:2*,_+kum ,يكتبكم,DONE,,
91,418,#MORPH,[PRON] ,kum/PRON.2MP,kumuw,kum/XVSUFF_DO:2MP,MSA,you [masc.pl],enc0:2mp_dobj,trans ditrans enc1,enc0 enc0:2*,_+kum ,اسقيكموها,DONE,,
92,419,#MORPH,[PRON] ,ki/PRON.2FS,ki,ki/XVSUFF_DO:2FS,MSA,you [fem.sg.],enc0:2fs_dobj,trans,enc0 enc0:2* enc0#^i,_+ki,يكتبك,DONE,,
93,420,#MORPH,[PRON] ,kumA/PRON.2D,kumA,kumA/XVSUFF_DO:2D,MSA,you [du],enc0:2d_dobj,trans,enc0 enc0:2*,_+kumA,يكتبكما,DONE,,
94,421,#MORPH,[PRON] ,ka/PRON.2MS,ka,ka/XVSUFF_DO:2MS,MSA,you [masc.sg],enc0:2ms_dobj,trans,enc0 enc0:2*,_+ka,يكتبك,DONE,,
95,422,#MORPH,[PRON] ,kun~a/PRON.2FP,kun~a,kun~a/XVSUFF_DO:2FP,MSA,you [fem.pl],enc0:2fp_dobj,trans,enc0 enc0:2*,_+kun~a,يكتبكن,DONE,,
96,423,MORPH,[PRON] ,hu/PRON.3MS,hu,hu/XVSUFF_DO:3MS,MSA,him,enc0:3ms_dobj,trans else,enc0,_+hu,يكتبه,DONE,,
97,424,MORPH,[PRON] ,hu/PRON.3MS,hi,hu/XVSUFF_DO:3MS,MSA,him,enc0:3ms_dobj,trans #^i||#^iy,enc0 enc0#^i,_+hu,تكتبيه,DONE,,
98,425,#MORPH,[PRON] ,hA/PRON.3FS,hA,hA/XVSUFF_DO:3FS,MSA,her,enc0:3fs_dobj,trans,enc0,_+hA,يكتبها,DONE,,
99,426,#MORPH,[PRON] ,humA/PRON.3D,humA,humA/XVSUFF_DO:3D,MSA,them [du],enc0:3d_dobj,trans else,enc0,_+humA,يكتبهما,DONE,,
100,427,#MORPH,[PRON] ,humA/PRON.3D,himA,humA/XVSUFF_DO:3D,MSA,them [du],enc0:3d_dobj,trans #^i||#^iy,enc0,_+humA,تكتبيهما,DONE,,
101,428,#MORPH,[PRON] ,hum/PRON.3MP,hum ,hum/XVSUFF_DO:3MP,MSA,them [masc.pl],enc0:3mp_dobj,trans else,enc0,_+hum ,يكتبهم,DONE,,
102,429,#MORPH,[PRON] ,hum/PRON.3MP,him ,hum/XVSUFF_DO:3MP,MSA,them [masc.pl],enc0:3mp_dobj,trans #^i||#^iy,enc0,_+hum ,تكتبيهم,DONE,,
103,430,#MORPH,[PRON] ,hum/PRON.3MP,humuw,hum/XVSUFF_DO:3MP,MSA,them [masc.pl],enc0:3mp_dobj,trans ditrans else,enc0,_+hum ,اسقتهموك,DONE,,
