,Content
0,# Camel Morph Morphological Specification Format
1,# Habash 2020-2021
2,# Team
3,# Nizar Habash
4,# Salam Khalifa
5,# Reham Marzouk
6,
7,#Q for Salam
8,"# handling multiple OR ==> treat as a single conditon item for ""else"" resolution"
9,# cond-F
10,# documenting code
