,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
57,58,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,1a2A3+imi}+ap,1a2A3,15,DONE,LEXICON,[STEM-NOM],vamaAnimi}ap,vamaAnimi},FS,X100,eight-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
58,59,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,1a2A3+imi}+ap,1a2A3,15,DONE,LEXICON,[STEM-NOM],vamaAnimi}ap,vamaAnimi},FS,X100,eight-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
59,60,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,1a2A3+imi}+ap,1a2A3,15,DONE,LEXICON,[STEM-NOM],vamaAnimi}ap,vamaAnimi},FS,X100,eight-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
60,61,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,1a2A3+imiA}+ap,1a2A3,15,DONE,LEXICON,[STEM-NOM],vamaAnimiA}ap,vamaAnimiA},FS,X100,eight-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
61,62,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,1a2A3+imiA}+ap,1a2A3,15,DONE,LEXICON,[STEM-NOM],vamaAnimiA}ap,vamaAnimiA},FS,X100,eight-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
62,63,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,1a2A3+imiA}+ap,1a2A3,15,DONE,LEXICON,[STEM-NOM],vamaAnimiA}ap,vamaAnimiA},FS,X100,eight-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
63,64,v.m.n,1a2aA3,vamaAn,DONE,2,1a2A3,1a2A3,15,DONE,LEXICON,[STEM-NOM],vamaAnuwn,vamaAn,MP,#MP-uwn,eightieth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
64,65,x.m.s,1aA2i3,xaAmis,DONE,8,1A2i3,1A2i3,10,DONE,LEXICON,[STEM-NOM],xaAmis,xaAmis,MS||MD||MP||FS||FD||FP,,fifth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
65,66,x.m.s,1a2o3ami},xamosami},DONE,2,1a2o3+ami}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],xamosami}ap,xamosami},FS,X100,five-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
66,67,x.m.s,1a2o3amiA},xamosamiA},DONE,2,1a2o3+amiA}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],xamosamiA}ap,xamosamiA},FS,X100,five-hundredth,pos:adj_num gen:- num:- rat:n cas:a,adj_num,-,-,n,a,DONE,,
67,68,x.m.s,1a2o3imi},xamosimi},DONE,2,1a2o3+imi}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],xamosami}ap,xamosimi},FS,X100,five-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
68,69,x.m.s,1a2o3imiA},xamosimiA},DONE,2,1a2o3+imiA}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],xamosamiA}ap,xamosimiA},FS,X100,five-hundredth,pos:adj_num gen:- num:- rat:n cas:g,adj_num,-,-,n,g,DONE,,
69,70,x.m.s,1a2o3umi},xamosumi},DONE,2,1a2o3+umi}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],xamosami}ap,xamosumi},FS,X100,five-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
70,71,x.m.s,1a2o3umiA},xamosumiA},DONE,2,1a2o3+umiA}+ap,1a2o3,16,DONE,LEXICON,[STEM-NOM],xamosamiA}ap,xamosumiA},FS,X100,five-hundredth,pos:adj_num gen:- num:- rat:n cas:n,adj_num,-,-,n,n,DONE,,
71,72,x.m.s,1a2o3,xamos,DONE,3,1a2o3,1a2o3,16,DONE,LEXICON,[STEM-NOM],xamosuwn,xamos,MP,#MP-uwn,fiftieth,pos:adj_num gen:- num:- rat:n cas:u,adj_num,-,-,n,u,DONE,,
