,Pattern,,#COND-TS,COND-T-Act,COND-S-Act,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,#COND-map,COND-T-Pass,COND-S-Pass,Test,Color,Comments,STATUS
0,{i>o2a3~,{i>o2a3~,c-suff + gem,c-suff,gem,1,{i}otam~,{i}otamam,{i(.).(.).(.).(.),{u&o$2u$3i$4,c-suff + gem,c-suff,gem,{u&otumim,0,,DONE
1,{i>o2a3~,{i>o2a3~,v-suff + gem,v-suff,gem,1,{i}otam~,{i}otam~,{i(.).(.).(.)~,{u&o$2u$3~,v-suff + gem,v-suff,gem,{u&otum~,0,,DONE
2,{i>ota2a3,{i>ota2a3,#n,,#n,1,{i}otalaf,{i}otalaf,{i(.).(.).(.).(.),{u&o$2u$3i$4,#n,,#n,{u&otulif,1,,DONE
3,{i>ota2a3,{i>ota2a3,,,,6,{i}otalaf,{i}otalaf,{i(.).(.).(.).(.),{u&o$2u$3i$4,,,,{u&otulif,1,,DONE
4,{it~a>a3,{it~a>a3,,,,2,{it~a>ad,{it~a>ad,{i(.)~.(.).(.),{u$1~u}i$3,,,,{ut~u}id,0,,DONE
5,{it~a2a>,{it~a2a>,#-a>,,#-a>,2,{id~afa>,{id~af,{i(.)~.(.),{u$1~u$2i},,,,{ud~ufi},1,,DONE
6,{it~a2a3,{it~a2a3,,,,38,{it~aEaZ,{it~aEaZ,{i(.)~.(.).(.),{u$1~u$2i$3,,,,{ut~uEiZ,0,,DONE
7,{it~a2aY,{it~a2a#,#-ay,,#-ay,4,{im~aHaY,{im~aH,{i(.)~.(.),{u$1~u$2,#-iy,,#-iy,{um~uH,1,,DONE
8,{it~aAo3,{it~a@o3,c-suff + hollow,c-suff,hollow,1,{id~AH,{id~aH,{i(.)~.(.),{u$1~i$2,c-suff + hollow,c-suff,hollow,{ud~iH,0,,DONE
9,{it~aAo3,{it~a@o3,v-suff + hollow,v-suff,hollow,1,{id~AH,{id~AH,{i(.)~A(.),{u$1~iy$2,v-suff + hollow,v-suff,hollow,{ud~iyH,0,,DONE
10,{i1o2a>a4~,{i1o2a>a4~,c-suff + hollow,c-suff,hollow,2,{iToma>an~,{iToma>onan,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,c-suff + hollow,c-suff,hollow,{uTomu&onin,1,This is not hollow,DONE
11,{i1o2a>a4~,{i1o2a>a4~,v-suff + hollow,v-suff,hollow,2,{iToma>an~,{iToma>an~,{i(.).(.).(.).(.)~,{u$1o$2u&i$4~,v-suff + hollow,v-suff,hollow,{uTomu&in~,1,This is not hollow,DONE
12,{i1o2a>a4~,{i1o2a>a4~,c-suff + #n hollow,c-suff,#n hollow,1,{iToma>an~,{iToma>onan,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,c-suff + #n hollow,c-suff,#n hollow,{uTomu&onin,1,This is not hollow,DONE
13,{i1o2a>a4~,{i1o2a>a4~,v-suff + #n hollow,v-suff,#n hollow,1,{iToma>an~,{iToma>an~,{i(.).(.).(.).(.)~,{u$1o$2u&i$4~,v-suff + #n hollow,v-suff,#n hollow,{uTomu&in~,1,This is not hollow,DONE
