,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX
46,35,RED-MORPH I A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM] [NBuff],[NSuff.XXIA]
47,36,RED-MORPH D A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC] [ART],[STEM-NOM] [NBuff],[NSuff.XXDA]
48,37,RED-MORPH C A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM] [NBuff],[NSuff.XXCA] [PRON]
49,,,#Others Sheet,,,,,,
50,38,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ] [PREP],[STEM],[PRON-OTHER]
51,39,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-CONJ],
52,40,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ] [PREP],[STEM-CONJ-PREP],
53,41,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-CONJ-PRON],[PRON-OTHER]
54,42,,ORDER,MSA,OTHER,pos:*,,[STEM-STANDALONE],
55,43,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-POSS],[PRON]
56,,,#Currently used for X100 and {imoru&,,,,,,
57,44,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOMINATIVE] [NBuff],[NSuff.XXIN]
58,45,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-NOMINATIVE] [NBuff],[NSuff.XXDN]
59,46,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOMINATIVE] [NBuff],[NSuff.XXCN] [PRON]
60,47,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-ACCUSATIVE] [NBuff],[NSuff.XXIA]
61,48,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-ACCUSATIVE] [NBuff],[NSuff.XXDA]
62,49,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-ACCUSATIVE] [NBuff],[NSuff.XXCA] [PRON]
63,50,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-GENITIVE] [NBuff],[NSuff.XXIG]
64,51,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP] [ART],[STEM-GENITIVE] [NBuff],[NSuff.XXDG]
65,52,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-GENITIVE] [NBuff],[NSuff.XXCG] [PRON]
66,,,#For some lemmas that only appear in construct state,,,,,,
67,53,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-CONST] [NBuff],[NSuff.XXCN] [PRON]
68,54,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-CONST] [NBuff],[NSuff.XXCA] [PRON]
69,55,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-CONST] [NBuff],[NSuff.XXCG] [PRON]
