,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,
26,25,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3MD] [PRON.V] [PRON2],[I3MD.S],[I],[I3MD.S],
27,26,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3MP] [PRON.V] [PRON2],[I3MP.S],[I],[I3MP.S],
28,27,IV SUB,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.S] [IVPref.3MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.S.3MS] [PRON.V] [PRON2],[I3MS.S],[I],[I3MS.S],
29,28,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.1P] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.1P] [PRON.V] [PRON2],[I1P.J],[I],[I1P.J],Imperfective+jussive
30,29,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.1S] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.1S] [PRON.V] [PRON2],[I1S.J],[I],[I1S.J],
31,30,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2D] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2D] [PRON.V] [PRON2],[I2D.J],[I],[I2D.J],
32,31,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2FP] [PRON.V] [PRON2],[I2FP.J],[I],[I2FP.J],
33,32,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2FS] [PRON.V] [PRON2],[I2FS.J],[I],[I2FS.J],
34,33,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2MP] [PRON.V] [PRON2],[I2MP.J],[I],[I2MP.J],
35,34,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.2MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.2MS] [PRON.V] [PRON2],[I2MS.J],[I],[I2MS.J],
36,35,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3FD] [PRON.V] [PRON2],[I3FD.J],[I],[I3FD.J],
37,36,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3FP] [PRON.V] [PRON2],[I3FP.J],[I],[I3FP.J],
38,37,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3FS] [PRON.V] [PRON2],[I3FS.J],[I],[I3FS.J],
39,38,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3MD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3MD] [PRON.V] [PRON2],[I3MD.J],[I],[I3MD.J],
40,39,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3MP] [PRON.V] [PRON2],[I3MP.J],[I],[I3MP.J],
41,40,IV JUS,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.J] [IVPref.3MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.J.3MS] [PRON.V] [PRON2],[I3MS.J],[I],[I3MS.J],
42,41,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.1P] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.1P] [PRON.V] [PRON2],[I1P.E],[I],[I1P.E],Imperfective+energetic - لأكتبَن لأكتبَنَّ nun tawkid of two types
43,42,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.1S] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.1S] [PRON.V] [PRON2],[I1S.E],[I],[I1S.E],
44,43,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2D] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.2D] [PRON.V] [PRON2],[I2D.E],[I],[I2D.E],
45,44,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.2FP] [PRON.V] [PRON2],[I2FP.E],[I],[I2FP.E],
46,45,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.2FS] [PRON.V] [PRON2],[I2FS.E],[I],[I2FS.E],
47,46,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.2MP] [PRON.V] [PRON2],[I2MP.E],[I],[I2MP.E],
48,47,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.2MS] [PRON.V] [PRON2],[I2MS.E],[I],[I2MS.E],
49,48,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.3FD] [PRON.V] [PRON2],[I3FD.E],[I],[I3FD.E],
50,49,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.3FP] [PRON.V] [PRON2],[I3FP.E],[I],[I3FP.E],
51,50,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.3FS] [PRON.V] [PRON2],[I3FS.E],[I],[I3FS.E],
52,51,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.3MD] [PRON.V] [PRON2],[I3MD.E],[I],[I3MD.E],
53,52,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.3MP] [PRON.V] [PRON2],[I3MP.E],[I],[I3MP.E],
54,53,IV ENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.E.3MS] [PRON.V] [PRON2],[I3MS.E],[I],[I3MS.E],
55,54,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.1P] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.1P] [PRON.V] [PRON2],[I1P.E],[I],[I1P.X],Imperfective+extra energetic - لأكتبَن لأكتبَنَّ nun tawkid of two types
56,55,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.1S] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.1S] [PRON.V] [PRON2],[I1S.E],[I],[I1S.X],
