,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,D2SEG,D2TOK,D1SEG,D1TOK,ATBSEG,ATBTOK,UD,CATIB6,FEAT,POS,FEAT_OLD,STATUS,COMMENTS,NOTES,#CLASS
292,293,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],CONJ,Hat~aY,Hat~aY,and;and_even,,,,,,,,,,,CCONJ,PRT,pos:conj,conj,pos:conj,,,,[STEM-BASE]
293,294,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PART,Hat~aY,Hat~aY,even;including,,,,,,,,,,,PART,PRT,pos:part,part,pos:part,,,,[STEM-BASE]
294,295,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PREP,Hat~aY,Hat~aY,until;up_to,,,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
295,296,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,Hat~aY,Hat~aY,so_that,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
296,297,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_ADV,Hayovu,Hayovu,where;whereby;since,,,,,,,,,,,ADV,NOM,pos:adv_rel rat:n gen:u num:u stt:i cas:u,adv_rel,pos:adv_rel rat:n gen:u num:u stt:i cas:u,,,,[STEM-BASE]
297,298,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,HayovumaA,HayovumaA,wherever,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
298,299,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],haA/DEM_PRON+hiya/PRON_3FS,hiya,haAhiya,here_she/they_is/are,,,haA+_hiya,haA+_hiya,haA+_hiya,haA+_hiya,,,haA+_hiya,haA+_hiya,DET+PRON,NOM+NOM,pos:pron prc1:hA_dem gen:f num:s stt:d cas:n rat:u,pron,pos:pron prc1:hA_dem gen:f num:s stt:d cas:n rat:u,,,,[STEM-COMPOUND]
299,300,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PRON_3FS,hiya,hiya,it/they/she,,,,,,,,,,,PRON,NOM,pos:pron gen:f num:s stt:d cas:n rat:u,pron,pos:pron gen:f num:s stt:d cas:n rat:u,,,,[STEM-BASE]
300,301,H.y.n,NTWS,NTWS,LEXICON,[STEM-CONJ],Hiyna/NOUN+a/CASE_DEF_ACC+maA/SUB_CONJ,Hiyn,HiynamaA,when;while_that,,,Hiyna_+maA,Hiyna_+maA,,,,,Hiyna_+maA,Hiyna_+maA,NOUN+SCONJ,NOM+PRT,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,noun,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,,,,[STEM-COMPOUND]
301,302,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,Hiyna}i*K,Hiyna}i*K,Then;at_that_time;at_that_moment;by_then,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
302,303,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,Hiyna*aAka,Hiyna*aAka,at_that_moment;then,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
303,304,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,Hiyna*aAko,Hiyna*aAko,Then;at_that_time;at_that_moment;by_then,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
304,305,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],haA/DEM_PRON+hum/PRON_3MP,hum,haAhum%m,here_they_are,,,haA+_hum%m,haA+_hum,haA+_hum%m,haA+_hum,,,haA+_hum%m,haA+_hum,DET+PRON,NOM+NOM,pos:pron prc1:hA_dem gen:m num:p stt:d cas:n rat:r,pron,pos:pron prc1:hA_dem gen:m num:p stt:d cas:n rat:r,,,,[STEM-COMPOUND]
305,306,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PRON_3MP,hum,hum%m,they,,,,,,,,,,,PRON,NOM,pos:pron gen:m num:p stt:d cas:n rat:r,pron,pos:pron gen:m num:p stt:d cas:n rat:r,,,,[STEM-BASE]
306,307,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],haA/DEM_PRON+humaA/PRON_3D,humaA,haAhumaA,here_they_both_are,,,haA+_humaA,haA+_humaA,haA+_humaA,haA+_humaA,,,haA+_humaA,haA+_humaA,DET+PRON,NOM+NOM,pos:pron prc1:hA_dem gen:m num:d stt:d cas:n rat:u,pron,pos:pron prc1:hA_dem gen:m num:d stt:d cas:n rat:u,,,,[STEM-COMPOUND]
