,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,D2SEG,D2TOK,D1SEG,D1TOK,ATBSEG,ATBTOK,UD,CATIB6,FEAT,POS,FEAT_OLD,STATUS,COMMENTS,NOTES,#CLASS
359,360,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],NOUN,lab~ay,lab~ayoka,I_have_answered_you,,,,,,,,,,,NOUN,NOM,pos:noun gen:m num:s stt:i cas:u,noun,pos:noun gen:m num:s stt:i cas:u,CHECK,,,[STEM-BASE]
360,361,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,lab~ayok,lab~ayok,"labbeik_(part_of_the_magical_encantation_""shubbeik_labbeik"":_approx._""alakazam"")",,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
361,362,l.d.y,NTWS,NTWS,LEXICON,[STEM-POSS],NOUN,ladaY,ladaY,by;with,!enc0,,,,,,,,,,NOUN,NOM,pos:noun gen:m num:s stt:c cas:u,noun,pos:noun gen:m num:s stt:c cas:u,,,,[STEM-BASE]
362,363,l.d.y,NTWS,NTWS,LEXICON,[STEM-POSS],NOUN,ladaY,ladayo,by;with,enc0,#^ay,,,,,,,,,NOUN,NOM,pos:noun gen:m num:s stt:c cas:u,noun,pos:noun gen:m num:s stt:c cas:u,,,,[STEM-BASE]
363,364,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],laEal~/PSEUDO_VERB+niy/PRON_1S,laEal~a,laEal~iy,perhaps;maybe,,,laEal~_+iy,laEal~a_+niy,,,,,laEal~_+iy,laEal~a_+niy,CCONJ+PRON,PRT+NOM,pos:verb_pseudo enc0:1s_pron,verb_pseudo,pos:verb_pseudo enc0:1s_pron,,,,[STEM-BASE]
364,365,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PSEUDO_VERB,laEal~a,laEal~a,perhaps;maybe,!PRON-iy,,,,,,,,,,CCONJ,PRT,pos:verb_pseudo,verb_pseudo,pos:verb_pseudo,,,,[STEM-BASE]
365,366,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,laEamriy,laEamriy,I_swear_by_my_life,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-COMPOUND]
366,367,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,laHoZata}i*K,laHoZata}i*K,at_that_moment,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
367,368,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],NEG_PART,lam~aA,lam~aA,not;not_yet,,,,,,,,,,,PART,PRT,pos:part_neg,part_neg,pos:part_neg,,,,[STEM-BASE]
368,369,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,lam~aA,lam~aA,as;when,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
369,370,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],NEG_PART,lamo,lamo,did_not,,,,,,,,,,,PART,PRT,pos:part_neg,part_neg,pos:part_neg,,,,[STEM-BASE]
370,371,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mA/PART+lamo/NEG_PART,lamo,maAlam,unless,,,maA+_lamo,maA+_lamo,maA+_lamo,maA+_lamo,,,maA+_lamo,maA+_lamo,PART+PART,PRT+PRT,pos:part_neg prc0:mA_part,part_neg,pos:part_neg prc0:mA_part,,,,[STEM-COMPOUND]
371,372,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],NEG_PART,lano,lano,not;never;nevermore,,,,,,,,,,,PART,PRT,pos:part_neg,part_neg,pos:part_neg,,,,[STEM-BASE]
372,373,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,lawo,lawo,if,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
373,374,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],SUB_CONJ,lawolaA,lawolaA,except_for;had_it_not_been_for;if_not;unless,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
374,375,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,layolata}i*K,layolata}i*K,on_that_night,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
375,376,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],NEG_PART,layosa,layosa,not,,,,,,,,,,,PART,PRT,pos:part_neg,part_neg,pos:part_neg,,,,[STEM-BASE]
376,377,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PSEUDO_VERB,layota,layota,Would_that!;would_God!;I_wish!;if_only!,!PRON-iy,,,,,,,,,,CCONJ,PRT,pos:verb_pseudo,verb_pseudo,pos:verb_pseudo,,,,[STEM-BASE]
377,378,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,li,l,L.;12th;(pounds/lira),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
378,379,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,li,la,to;for,enc0 !PRON-iy,,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
379,380,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],li/PREP+iy/PRON_1S,li,liy,to;for,,,li_+y,li_+iy,,,,,li_+y,li_+iy,ADP+PRON,PRT+NOM,pos:prep enc0:1s_pron,prep,pos:prep enc0:1s_pron,,,,[STEM-BASE]
380,381,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],li/PREP+iy/PRON_1S,li,liya,to;for,,,li_+ya,li_+iy,,,,,li_+ya,li_+iy,ADP+PRON,PRT+NOM,pos:prep enc0:1s_pron,prep,pos:prep enc0:1s_pron,,,,[STEM-BASE]
381,382,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PREP,li,li,to;for,,C:i#,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
382,383,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],INTERROG_ADV,lima,lima,why,,,,,,,,,,,ADV,NOM,pos:adv_interrog,adv_interrog,pos:part_interrog,,,,[STEM-BASE]
383,384,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,lima,lima,why,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
384,385,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,limaA,limaA,why,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
385,386,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],INTERROG_ADV,limaA*aA,limaA*aA,why,,,,,,,,,,,ADV,NOM,pos:adv_interrog,adv_interrog,pos:part_interrog,,,,[STEM-BASE]
386,387,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_ADV,limaA*aA,limaA*aA,why,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
387,388,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,m,m,(A.D.);M;13th;meter,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
388,389,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],fiy/PREP+maA/REL_PRON,maA,fiymaA,while;as;during,,,fiy_+maA,fiy_+maA,fiy_+maA,fiy_+maA,,,fiy_+maA,fiy_+maA,ADP+PRON,PRT+NOM,pos:pron_rel prc1:fiy_prep,pron_rel,pos:pron_rel prc1:fiy_prep,,Check,,[STEM-BASE]
389,390,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],bi/PREP+maA/INTERROG_PRON,maA,bima,with+what/which,,,bi+_ma,bi+_maA,bi+_ma,bi+_maA,,,bi+_ma,bi+_maA,ADP+PRON,PRT+NOM,pos:pron_interrog prc1:bi_prep,pron_interrog,pos:part_interrog prc1:bi_prep,,Check,,[STEM-COMPOUND]
390,391,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/EMPHATIC_PART+maA/NEG_PART,maA,lamaA,did_not,,,la+_maA,la+_maA,la+_maA,la+_maA,,,la+_maA,la+_maA,PART+PART,PRT+PRT,pos:part_neg prc1:la_emph,part_neg,pos:part_neg prc1:la_emph,,Check,,[STEM-COMPOUND]
391,392,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/RC_PART+maA/NEG_PART,maA,lamaA,would_not_have,,,la+_maA,la+_maA,la+_maA,la+_maA,,,la+_maA,la+_maA,PART+PART,PRT+PRT,pos:part_neg prc1:la_rc,part_neg,pos:part_neg prc1:la_rc,,,,[STEM-COMPOUND]
392,393,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],EXCLAM_PRON,maA,maA,what/how,,,,,,,,,,,PART,NOM,pos:pron_exclam stt:i cas:u,pron_exclam,pos:pron_exclam stt:i cas:u,,,,[STEM-BASE]
393,394,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],INTERROG_PRON,maA,maA,what/which,,,,,,,,,,,PRON,NOM,pos:pron_interrog,pron_interrog,pos:part_interrog,,,,[STEM-BASE]
394,395,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],NEG_PART,maA,maA,not,,,,,,,,,,,PART,PRT,pos:part_neg,part_neg,pos:part_neg,,,,[STEM-BASE]
395,396,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PART,maA,maA,which,,,,,,,,,,,PART,PRT,pos:part,part,pos:part,,,,[STEM-BASE]
396,397,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,maA,maA,what/which,,,,,,,,,,,PRON,NOM,pos:pron_rel rat:n gen:m num:s stt:i cas:u,pron_rel,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
397,398,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],SUB_CONJ,maA,maA,that/if/unless/whether/as_long_as/as_soon_as,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
398,399,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_PRON,maA*aA,maA*aA,what,,,,,,,,,,,PRON,NOM,pos:pron_interrog,pron_interrog,pos:part_interrog,,,,[STEM-BASE]
399,400,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,maA*aA,maA*aA,what,,,,,,,,,,,PRON,NOM,pos:pron_rel rat:n gen:m num:s stt:i cas:u,pron_rel,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
400,401,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,maAEadaA,maAEadaA,except_for,,C:A#,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
401,402,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],REL_PRON,maAhuwa,maAhuwa,what,,,,,,,,,,,PRON,NOM,pos:pron_rel rat:n gen:m num:s stt:i cas:u,pron_rel,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
402,403,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,maAxalaA,maAxalaA,except_for,,C:A#,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
403,404,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,mahomaA,mahomaA,whatever;often;frequently;oftentimes;many_times;many_a_time;repeatedly;continually;constantly,,,,,,,,,,,PRON,NOM,pos:pron_rel rat:n gen:m num:s stt:i cas:u,pron_rel,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
404,405,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,mahomaA,mahomaA,whatever;often;frequently;oftentimes;many_times;many_a_time;repeatedly;continually;constantly,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
405,406,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_PRON,mano,mano,who/whom,,,,,,,,,,,PRON,NOM,pos:pron_interrog,pron_interrog,pos:part_interrog,,,,[STEM-BASE]
406,407,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_PRON,mano,mano,who/whom,,,,,,,,,,,PRON,NOM,pos:pron_rel rat:n gen:m num:s stt:i cas:u,pron_rel,pos:pron_rel rat:n gen:m num:s stt:i cas:u,,,,[STEM-BASE]
407,408,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERROG_ADV,mataY,mataY,when,,,,,,,,,,,ADV,NOM,pos:adv_interrog,adv_interrog,pos:part_interrog,,,,[STEM-BASE]
408,409,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],REL_ADV,mataY,mataY,when,,,,,,,,,,,ADV,NOM,pos:adv_rel stt:i cas:u,adv_rel,pos:adv_rel stt:i cas:u,,,,[STEM-BASE]
409,410,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],la/EMPHATIC_PART+mino/PREP,mino,lamin,indeed;indeed+from,!PRON-iy,C:n#,la+_mino,la+_mino,la+_mino,la+_mino,,,la+_mino,la+_mino,PART+ADP,PRT+PRT,pos:prep prc1:la_emph,prep,pos:prep prc1:la_emph,,,,[STEM-COMPOUND]
410,411,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,mino,min%n,from,!PRON-iy,C:n#,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
411,412,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],PART,mino,min%n,from,,,,,,,,,,,PART,PRT,pos:part,part,pos:part,,,,[STEM-BASE]
412,413,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/INTERROG_PRON,mino,mim~a,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,,,mim_+~aA,mino_+maA,ADP+PRON,PRT+NOM,pos:prep enc0:mA_interrog,prep,pos:prep enc0:mA_interrog,,,,[STEM-COMPOUND]
413,414,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/INTERROG_PRON,mino,mim~aA,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,,,mim_+~aA,mino_+maA,ADP+PRON,PRT+NOM,pos:prep enc0:mA_interrog,prep,pos:prep enc0:mA_interrog,,,,[STEM-COMPOUND]
414,415,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/REL_PRON,mino,mim~a,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,,,mim_+~aA,mino_+maA,ADP+PRON,PRT+NOM,pos:prep enc0:mA_rel,prep,pos:prep enc0:mA_rel,,,,[STEM-COMPOUND]
415,416,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/REL_PRON,mino,mim~aA,from+what/which,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,,,mim_+~aA,mino_+maA,ADP+PRON,PRT+NOM,pos:prep enc0:mA_rel,prep,pos:prep enc0:mA_rel,,,,[STEM-COMPOUND]
416,417,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/SUB_CONJ,mino,mim~a,from+that/if/unless/whether/as_long_as/as_soon_as,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,,,mim_+~aA,mino_+maA,ADP+SCONJ,PRT+PRT,pos:prep enc0:mA_sub,prep,pos:prep enc0:mA_sub,,,,[STEM-COMPOUND]
417,418,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+maA/SUB_CONJ,mino,mim~aA,from+that/if/unless/whether/as_long_as/as_soon_as,,,mim_+~aA,mino_+maA,mim_+~aA,mino_+maA,,,mim_+~aA,mino_+maA,ADP+SCONJ,PRT+PRT,pos:prep enc0:mA_sub,prep,pos:prep enc0:mA_sub,,,,[STEM-COMPOUND]
418,419,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+mano/INTERROG_PRON,mino,mim~an,from+whom,,,mim_+~ano,mino_+mano,mim_+~ano,mino_+mano,,,mim_+~ano,mino_+mano,ADP+PRON,PRT+NOM,pos:prep enc0:man_interrog,prep,pos:prep enc0:man_interrog,,,,[STEM-COMPOUND]
419,420,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],mino/PREP+mano/REL_PRON,mino,mim~an,from+whom,,,mim_+~ano,mino_+mano,mim_+~ano,mino_+mano,,,mim_+~ano,mino_+mano,ADP+PRON,PRT+NOM,pos:prep enc0:man_rel,prep,pos:prep enc0:man_rel,,,,[STEM-COMPOUND]
420,421,m.v.l,NTWS,NTWS,LEXICON,[STEM-CONJ],mivol/NOUN+a/CASE_DEF_ACC+maA/REL_PRON,mivol,mivolamaA,something_like;like;as,,,mivola_+maA,mivola_+maA,,,,,mivola_+maA,mivola_+maA,NOUN+PRON,NOM+NOM,pos:noun gen:m num:s enc0:mA_rel stt:c cas:a,noun,pos:noun gen:m num:s enc0:mA_rel stt:c cas:a,,,,[STEM-COMPOUND]
421,422,m.v.l,NTWS,NTWS,LEXICON,[STEM-CONJ],mivol/NOUN+a/CASE_DEF_ACC+maA/SUB_CONJ,mivol,mivolamaA,something_like;like;as,,,mivola_+maA,mivola_+maA,,,,,mivola_+maA,mivola_+maA,NOUN+SCONJ,NOM+PRT,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,noun,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,,,,[STEM-COMPOUND]
422,423,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,mlm,mlm,millimeter,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
423,424,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,mlm,mm,millimeter,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
424,425,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,mu*~aAka,mu*~aAka,since_then,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
425,426,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PREP,mu*o,mu*o,since,,,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
426,427,NTWS,NTWS,NTWS,LEXICON,[STEM],NOUN,mu*o,mu*o,the_time_since,,,,,,,,,,,NOUN,NOM,pos:noun gen:m num:s stt:i cas:u,noun,pos:noun gen:m num:s stt:i cas:u,,,,[STEM-BASE]
427,428,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,mudo*aAka,mudo*aAka,since_then,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
428,429,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PREP,muno*u,muno*u,since;for;in;ago,,,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
429,430,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,mv,mv,fem.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
430,431,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,n,n,N.;14th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
431,432,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,naEam,naEam,yes,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
432,433,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],haA/DEM_PRON+naHonu/PRON_1P,naHonu,haAnaHonu,here_we_are,,,haA+_naHonu,haA+_naHonu,haA+_naHonu,haA+_naHonu,,,haA+_naHonu,haA+_naHonu,DET+PRON,NOM+NOM,pos:pron prc1:hA_dem per:1 gen:m num:p stt:d cas:n rat:r,pron,pos:pron prc1:hA_dem per:1 gen:m num:p stt:d cas:n rat:r,,,,[STEM-COMPOUND]
433,434,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PRON_1P,naHonu,naHonu,we,,,,,,,,,,,PRON,NOM,pos:pron per:1 gen:m num:p stt:d cas:n rat:r,pron,pos:pron per:1 gen:m num:p stt:d cas:n rat:r,,,,[STEM-BASE]
434,435,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,q,q,Q.;Qatari;19th;(before);(piaster),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
435,436,q.b.l,NTWS,NTWS,LEXICON,[STEM-CONJ],qabol/NOUN+a/CASE_DEF_ACC+maA/SUB_CONJ,qabol,qabolamaA,before_that,,,qabola_+maA,qabola_+maA,,,,,qabola_+maA,qabola_+maA,NOUN+SCONJ,NOM+PRT,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,noun,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,,,,[STEM-COMPOUND]
436,437,q.b.l,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,qabola}i*K,qabola}i*K,before_then,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
437,438,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/EMPHATIC_PART+qado/VERB_PART,qado,laqado,already,,,la+_qado,la+_qado,la+_qado,la+_qado,,,la+_qado,la+_qado,AUX,PRT,pos:part_verb,part_verb,pos:part_verb,,manually added D3 ,,[STEM-BASE]
438,439,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],VERB_PART,qado,qado,may;might;perhaps;maybe;possibly;probably,,,,,,,,,,,AUX,PRT,pos:part_verb,part_verb,pos:part_verb,,,,[STEM-BASE]
439,440,q.T.T,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,qaT~u,qaT~u,ever;at_all,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
440,441,q.T.T,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,qaTo,qaTo,ever;at_all,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,Should it be qaT~?,,[STEM-BASE]
441,442,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,r,r,R.;20th;(Reuters);(rial),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
442,443,r.y.v,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,rayovamaA,rayovamaA,as_long_as;until,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
443,444,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PART,rub~a,rub~a,"many_a_(time,_man,_etc)",,,,,,,,,,,PART,PRT,pos:part,part,pos:part,,,,[STEM-BASE]
444,445,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,rub~amaA,rub~amaA,perhaps;maybe,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
445,446,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,s,s,S.;15th;(question);(hour),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
446,447,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,S,S,S.;(page);18th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
447,448,s.w.E,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,saAEata}i*K,saAEata}i*K,at_that_hour/time,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
448,449,s.b.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,saboEami}ap,saboEami},seven-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
449,450,s.b.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,saboEami}ap,saboEimi},seven-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
450,451,s.b.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,saboEami}ap,saboEumi},seven-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
451,452,s.b.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,saboEamiA}ap,saboEamiA},seven-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
452,453,s.b.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,saboEamiA}ap,saboEimiA},seven-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
453,454,s.b.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,saboEamiA}ap,saboEumiA},seven-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
454,455,s.n.h,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,sanata*aAka,sanata*aAk,that_year,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
455,456,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,sawaA,sawaA,together,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
456,457,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],FUT_PART,sawofa,sawofa,will;shall,,,,,,,,,,,AUX,PRT,pos:part_fut,part_fut,pos:part_fut,,,,[STEM-BASE]
457,458,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/EMPHATIC_PART+sawofa/FUT_PART,sawofa,lasawofa,will/shall_indeed,,,la+_sawofa,la+_sawofa,la+_sawofa,la+_sawofa,,,la+_sawofa,la+_sawofa,PART+AUX,PRT+PRT,pos:part_fut prc1:la_emph,part_fut,pos:part_fut prc1:la_emph,,,,[STEM-BASE]
