,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
39,{i1otaAo3,v-suff,,{ixotaAr,{ixotaAr,{i(.).(.)aA(.),{u$1o$2iy$3,v-suff,hollow,{uxotiyr,0,,DONE
40,{i1otaAo3,c-suff,#t,{ixotaAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff,#t hollow,{uxotir,0,,DONE
41,{i1otaAo3,v-suff,#t,{ixotaAr,{ixotaAr,{i(.).(.)aA(.),{u$1o$2iy$3,v-suff,#t hollow,{uxotiyr,0,,DONE
42,{i1otaAo3,c-suff,#n,{ixotaAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff,#n hollow,{uxotir,0,,DONE
43,{i1otaAo3,v-suff,#n,{ixotaAr,{ixotaAr,{i(.).(.)aA(.),{u$1o$2iy$3,v-suff,#n hollow,{uxotiyr,0,,DONE
44,{i1otawa3,,,{iEotawaS,{iEotawaS,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,,{uEotuwiS,1,,DONE
45,{i1otawaY,,#-ay,{ilotawaY,{ilotaw,{i(.).(.).(.),{u$1o$2u$3,,#-iy,{ulotuw,0,,DONE
46,{i1owa3~,c-suff,,{izowar~,{izowarar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,hollow,{uzowurir,1,,DONE
47,{i1owa3~,v-suff,,{izowar~,{izowar~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff,hollow,{uzowur~,1,,DONE
48,{i1oya3~,c-suff,,{iboyaD~,{iboyaDaD,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,hollow,{uboyuDiD,0,,DONE
49,{i1oya3~,v-suff,,{iboyaD~,{iboyaD~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff,hollow,{uboyuD~,0,,DONE
50,{ino1a>aY,,#-ay,{inota>aY,{inota,{ino(.).,{ino$1u,,#-}iy,{inotu,1,,DONE
