SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.FD.C.E0	muEab~a>		OK		
NOM.FP.D.P0	muEab~a>	AlmuEab~a>|t	PROB	WRONG STEM	
NOM.FP.I	muEab~a>	muEab~a>|t	PROB	WRONG STEM	
NOM.FP.C	muEab~a>	muEab~a>|t	PROB	WRONG STEM	
NOM.FP.D.P0.E0	muEab~a>		OK		
NOM.FP.C.E0	muEab~a>		OK		
NOM.MS.D.P0	|hil	Al|hil	OK		
NOM.MS.I	|hil	|hil	OK		
NOM.MS.C	|hil	|hil	OK		
NOM.MS.D.P0.E0	|hil		OK		
NOM.MS.C.E0	|hil		OK		
NOM.MD.D.P0	|hil	Al|hlayon	OK		
NOM.MD.I	|hil	|hlayon	OK		
NOM.MD.C	|hil	|hlayon	OK		
NOM.MD.D.P0.E0	|hil		OK		
NOM.MD.C.E0	|hil		OK		
NOM.MP.D.P0	|hil	Al|hliyn	OK		
NOM.MP.I	|hil	|hliyn	OK		
NOM.MP.C	|hil	|hliyn	OK		
NOM.MP.D.P0.E0	|hil		OK		
NOM.MP.C.E0	|hil		OK		
NOM.FS.D.P0	|hil	Al|hlap	OK		
NOM.FS.I	|hil	|hlap	OK		
NOM.FS.C	|hil		PROB		
NOM.FS.D.P0.E0	|hil		OK		
NOM.FS.C.E0	|hil		OK		
NOM.FD.D.P0	|hil	Al|hiltayon	OK		
NOM.FD.I	|hil	|hiltayon	OK		
NOM.FD.C	|hil	|hiltayon	OK		
NOM.FD.D.P0.E0	|hil		OK		
NOM.FD.C.E0	|hil		OK		
NOM.FP.D.P0	|hil	Al|hlAt	OK		
NOM.FP.I	|hil	|hlAt	OK		
NOM.FP.C	|hil	|hlAt	OK		
NOM.FP.D.P0.E0	|hil		OK		
NOM.FP.C.E0	|hil		OK		
NOM.MS.D.P0	nAwiy	Aln~Awiy	OK		
NOM.MS.I	nAwiy	nAwiy	OK		
NOM.MS.C	nAwiy	nAwiy	OK		
NOM.MS.D.P0.E0	nAwiy		OK		
NOM.MS.C.E0	nAwiy		OK		
NOM.MD.D.P0	nAwiy	Aln~Awiyayon	OK		
NOM.MD.I	nAwiy	nAwiyayon	OK		
NOM.MD.C	nAwiy	nAwiyayon	OK		
NOM.MD.D.P0.E0	nAwiy		OK		
NOM.MD.C.E0	nAwiy		OK		
NOM.MP.D.P0	nAwiy	Aln~Awiyiyn	PROB		
NOM.MP.I	nAwiy	nAwiyiyn	PROB		
NOM.MP.C	nAwiy	nAwiyiyn	PROB	???	
NOM.MP.D.P0.E0	nAwiy		OK		
