,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,BW,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,gloss_old,FEAT,POS,GEN,NUM,RAT,CAS,UD,CATIB6,STATUS,COMMENTS,NOTES
0,1,g.l.b,@a1o2a3,@agolab,DONE,5,NOUN_QUANT,>a1o2a3,>a1o2a3,2,DONE,LEXICON,[STEM-NOM],>agolab,>agolab,MS||MD,#dip,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
1,2,g.l.b,@a1o2a3iy~,@agolabiy~,DONE,15,NOUN_QUANT,>a1o2a3+iy~+ap,>a1o2a3,903,DONE,LEXICON,[STEM-NOM],>agolabiy~ap,>agolabiy~,FS||FD||FP,,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
2,3,w.H.d,@a2a3,@aHad,DONE,1,NOUN_QUANT,1a2a3,1a2a3,3,DONE,LEXICON,[STEM-NOM],>aHad,>aHad,MS||MD,,one_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
3,4,w.H.d,#i2o3,#iHod,DONE,1,NOUN_QUANT,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],>aHad,<iHod,MS||MD,#aY-Ap-y,one_(of),,pos:noun_quant gen:f num:- rat:i cas:u,noun_quant,f,-,i,u,NOUN,NOM,DONE,,
4,5,j.m.E,@a1o2a3,@ajomaE,DONE,174,NOUN_QUANT,>a1o2a3,>a1o2a3,230,DONE,LEXICON,[STEM-NOM],>ajomaE,>ajomaE,MS||MD||MP,#dip,entire;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
5,6,j.m.E,@a1o2a3,@ajomaE,DONE,174,NOUN_QUANT,>a1o2a3,1a2o3A',230,DONE,LEXICON,[STEM-NOM],>ajomaE,jamoEaA,MS||MD||FP,#A' #dip,entire;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
6,7,j.m.E,@a1o2a3,@ajomaE,DONE,174,NOUN_QUANT,>a1o2a3,1u2a3,230,DONE,LEXICON,[STEM-NOM],>ajomaE,jumaE,MS,,entire;whole,,pos:noun_quant gen:f num:p rat:i cas:u,noun_quant,f,p,i,u,NOUN,NOM,DONE,,
7,8,k.v.r,@a1o2a3,@akovar,DONE,5,NOUN_QUANT,>a1o2a3,>a1o2a3,2,DONE,LEXICON,[STEM-NOM],>akovar,>akovar,MS||MD,#dip,more;most;majority,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
8,9,>.y.y,@a2~,@ay~,DONE,1,NOUN_QUANT,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],>ay~,>ay~,MS||FS,,any,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
9,10,$.T.r,1a2o3,#N/A,DONE,6,NOUN_QUANT,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],$aTor,$aTor,MS||MD,,part;portion;division;section,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
10,11,b.E.D,1a2o3,baEoD,DONE,6,NOUN_QUANT,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],baEoD,baEoD,MS,,some;a_few;little;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
11,12,b.D.E,1i2o3,biDoE,DONE,3,NOUN_QUANT,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],biDoE,biDoE,MS||FS,,some;a_few;several,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,@genderpolarity
12,13,D.E.f,1i2o3,DiEof,DONE,3,NOUN_QUANT,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],DiEof,DiEof,MS||MD,,double;multiple,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
13,14,D.E.f,@a1o2aA3,@aDoEAf,DONE,776,NOUN_QUANT,>a1o2A3,>a1o2A3,902,DONE,LEXICON,[STEM-NOM],DiEof,>aDoEaAf,MS,,double;multiple,,pos:noun_quant gen:m num:p rat:i cas:u,noun_quant,m,p,i,u,NOUN,NOM,DONE,,
