,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,BW,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,GLOSS,COND-T,COND-S,#GLOSS_OLD,FEAT,POS,GEN,NUM,RAT,CAS,UD,CATIB6,STATUS,COMMENTS,NOTES
59,60,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,NOUN_NUM,1a2A3,19,DONE,LEXICON,[STEM-ACCUSATIVE],vamaAnamiA}ap,vamaAnamiA},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,NUM,NOM,DONE,,
60,61,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,NOUN_NUM,1a2A3,19,DONE,LEXICON,[STEM-GENITIVE],vamaAnimi}ap,vamaAnimi},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
61,62,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,NOUN_NUM,1a2A3,19,DONE,LEXICON,[STEM-GENITIVE],vamaAnimiA}ap,vamaAnimiA},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
62,63,v.m.n,1a2aA3,vamaAn,DONE,4,NOUN_NUM,1a2a3,19,DONE,LEXICON,[STEM-NOM],vamaAniy,vamaAn,eight,MS||FS,#iy,eight,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,@genderpolarity
63,64,v.m.n,1a2aA3imi},vamaAnimi},DONE,4,NOUN_NUM,1a2A3,19,DONE,LEXICON,[STEM-NOMINATIVE],vamaAnumi}ap,vamaAnumi},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
64,65,v.m.n,1a2aA3imiA},vamaAnimiA},DONE,4,NOUN_NUM,1a2A3,19,DONE,LEXICON,[STEM-NOMINATIVE],vamaAnumiA}ap,vamaAnumiA},eight-hundred,FS,X100,eight-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
65,66,v.m.n,1a2aA3,vamaAn,DONE,4,NOUN_NUM,1a2a3,19,DONE,LEXICON,[STEM-NOM],vamaAnuwn,vamaAn,eighty,MP,#MP-uwn,eighty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
66,67,w.H.d,1aA2i3,waAHid,DONE,1,NOUN_NUM,1A2i3,1,DONE,LEXICON,[STEM-NOM],waAHid,waAHid,one,MS||FS,,one,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
67,68,x.m.s,1a2o3,xamos,DONE,5,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOM],xamos,xamos,five,MS||FS,,five,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,@genderpolarity
68,69,x.m.s,1a2o3ami},xamosami},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],xamosami}ap,xamosami},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,NUM,NOM,DONE,,
69,70,x.m.s,1a2o3amiA},xamosamiA},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-ACCUSATIVE],xamosamiA}ap,xamosamiA},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,NUM,NOM,DONE,,
70,71,x.m.s,1a2o3imi},xamosimi},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],xamosimi}ap,xamosimi},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
71,72,x.m.s,1a2o3imiA},xamosimiA},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-GENITIVE],xamosimiA}ap,xamosimiA},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,NUM,NOM,DONE,,
72,73,x.m.s,1a2o3umi},xamosumi},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],xamosumi}ap,xamosumi},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
73,74,x.m.s,1a2o3umiA},xamosumiA},DONE,2,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOMINATIVE],xamosumiA}ap,xamosumiA},five-hundred,FS,X100,five-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,NUM,NOM,DONE,,
74,75,x.m.s,1a2o3,xamos,DONE,5,NOUN_NUM,1a2o3,18,DONE,LEXICON,[STEM-NOM],xamosuwn,xamos,fifty,MP,#MP-uwn,fifty,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,NUM,NOM,DONE,,
