>.k.l	
>.l.f	
>.l.f	
>.m.n	
>.m.n	
$.m.z	
$.m.T	
$.m.x.r	
$.r.b	
$.b.h	
$.b.k	
$.d.d	
$.E.l	
$.E.l	
$.g.l	
d.E.w	pattern
$.h.r	
m.H.w	pattern
$.q.q	
$.q.q	
t.q.w	pattern
$.r.E	
$.r.E	
$.r.k	
$.r.k	
$.r.k	
$.r.k	
$.r.T	
$.r.T	
$.T.r	
$.w.q	
b.n.w	
b.n.w	
n.z.w	pattern
b.*.l	
b.$.k	
r.E.y	pattern
b.d.>	
b.d.E	
b.d.E	
b.E.d	
z.h.w	pattern
b.h.j	
b.h.l	
b.h.r	
b.k.r	
b.k.r	
b.k.r	
z.r.y	pattern
b.s.m	
b.s.m	
b.y.E	
b.z.z	
b.z.z	
b.y.D	
$.h.w	pattern
d.g.m	
d.x.r	
d.x.r	
d.l.h.m	
D.m.H.l	
D.h.d	
D.l.E	
D.r.b	
D.r.r	
D.r.r	
E.*.r	
E.b.r	
E.b.r	
E.b.T	
E.b.T	
E.b.T	
$.k.w	pattern
E.d.w	
E.d.d	
E.d.d	
E.d.l	
E.d.l	
$.r.y	pattern
E.l.l	
E.m.d	
E.m.d	
E.m.d	
E.m.d	
E.m.d	
b.d.>	pattern
E.n.q	
E.q.d	
E.q.d	
E.q.d	
E.q.l	
E.q.l	
E.r.D	
E.r.D	
E.r.f	
E.S.b	
E.s.f	
E.S.m	
E.S.m	
E.w.d	
E.w.d	
E.w.S	
E.z.l	
E.z.m	
E.z.r	
E.z.z	
E.w.j	
E.w.j	
f.t.>	
b.g.y	pattern
f.D.D	
f.D.H	
f.E.l	
f.k.k	
f.n.n	
f.q.d	
f.q.d	
f.q.r	
f.q.r	
b.l.w	pattern
f.r.y	
f.r.D	
f.r.D	
f.r.q	
f.r.s	
f.t.H	
f.t.H	
f.t.H	
f.x.r	
f.w.t	
g.b.r	
g.b.T	
E.d.w	pattern
g.n.m	
g.r.b	
g.r.b	
g.r.f	
g.S.b	
g.s.l	
g.y.b	
g.y.l	
g.y.Z	
H.d.b	
H.m.r	
H.q.q	
E.l.w	pattern
H.$.d	
H.$.m	
H.b.s	
H.d.d	
H.d.m	
H.D.n	
H.D.r	
E.n.y	pattern
H.f.l	
H.f.l	
H.f.Z	
H.j.b	
H.j.b	pattern
H.j.j	
H.j.j	
H.j.z	
H.k.k	
H.k.k	
