ROOT	STATUS	PATTERN_LEMMA_PROPOSED
H.s.s	LOOKUP_DEDIAC-1	<i12A3
	NO_ROOT	
j.w.b	LOOKUP_DIAC-1	<i1A3ap
j.w.d	LOOKUP_DIAC-1	<i1A3ap
j.b.r	LOOKUP_DEDIAC-1	<i12A3
j.h.D	LOOKUP_DEDIAC-1	<i12A3
j.m.E	LOOKUP_DEDIAC-1	<i12A3
j.r.y	LOOKUP_DEDIAC-1	<i12A'
	NO_ROOT	
	NO_ROOT	
k.r.m	LOOKUP_DEDIAC-1	<i12A3
k.s.b	LOOKUP_DEDIAC-1	<i12A3
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
k.S.y.d.#	BACKOFF_NO_GOLD_ROOT-1	<ikSiydAm
k.w.b	LOOKUP_DEDIAC-1	<i1ti}A3
k.y.b	BACKOFF-1	<ikyAb
>.l.h	LOOKUP_DIAC-1	<i2`3
>.l.h	LOOKUP_DIAC-1	<i2`3
>.l.h	LOOKUP_DEDIAC-1	<i2`3iy
	NO_ROOT	
l.g.y	LOOKUP_DEDIAC-1	<i12A'
l.h.w	LOOKUP_DEDIAC-1	<i12A'
NTWS	LOOKUP_DEDIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
l.q.y	LOOKUP_DEDIAC-1	<i12A'
l.S.q	LOOKUP_DEDIAC-1	<i12A3
H.j.r	LOOKUP_DIAC-1	1a2a3
>.m.m	LOOKUP_DIAC-1	<i2A3
>.m.r	LOOKUP_DIAC-1	<i2A3ap
NTWS	LOOKUP_DEDIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
H.*.y	LOOKUP_DIAC-1	1i2A'
k.f.r	LOOKUP_DIAC-1	1A2i3
k.h.n	LOOKUP_DIAC-1	1A2i3
	NO_ROOT	
m.r.>	LOOKUP_DEDIAC-1	<i12a>ap
m.n.s.' m.n.s n.s.'	BACKOFF_NO_GOLD_ROOT-3+	1i23A'
>.n.n	LOOKUP_DEDIAC-1	<i2~ap
n.$.>	LOOKUP_DEDIAC-1	<i12A'
n.E.m	BACKOFF-1	<inEAm
>.n.f	LOOKUP_DEDIAC-1	<i23
f.E.l	LOOKUP_DEDIAC-1	<in1i2A3iy
NTWS	LOOKUP_DEDIAC-1	NTWS
n.g.z	BACKOFF-1	<ingAz
>.n.f	LOOKUP_DEDIAC-1	<i2i3
g.r.b	LOOKUP_DEDIAC-1	ma12i3iy
j.r.r	BACKOFF-1	<injirArap
>.n.j.l	LOOKUP_DEDIAC-1	<i23iy4
NTWS	LOOKUP_DEDIAC-1	NTWS
>.n.s	LOOKUP_DEDIAC-1	<i23An
>.n.s	LOOKUP_DEDIAC-1	<i23Aniy
>.n.s	LOOKUP_DEDIAC-1	<i23Aniy~ap
n.t.j	LOOKUP_DEDIAC-1	<i12A3
m.r.r	LOOKUP_DIAC-1	1A2~
q.w.d	LOOKUP_DIAC-1	1A}i3
n.q.l	LOOKUP_DEDIAC-1	<i1ti2A3iy
n.q.l	LOOKUP_DEDIAC-1	<i1ti2A3iy
n.x.b	LOOKUP_DEDIAC-1	<i1ti2A3iy
q.y.l	LOOKUP_DIAC-1	<i1A3ap
q.w.m	LOOKUP_DIAC-1	<i1A3ap
q.w.m	LOOKUP_DIAC-1	<i1A3ap
>.q.l.m	LOOKUP_DEDIAC-1	<i23iy4iy
q.b.s	LOOKUP_DEDIAC-1	<i1ti2A3
r.w.d	LOOKUP_DIAC-1	<i1A3ap
r.w.d	LOOKUP_DIAC-1	<i1A3ap
r.w.d	LOOKUP_DEDIAC-1	<i1A3iy
r.D.y	LOOKUP_DEDIAC-1	<i12A'
NTWS	LOOKUP_DEDIAC-1	NTWS
r.h.b	LOOKUP_DEDIAC-1	<i12A3
r.h.b	LOOKUP_DEDIAC-1	<i12A3iy
r.s.l	LOOKUP_DEDIAC-1	<i12A3
r.s.l	LOOKUP_DEDIAC-1	<i12A3iy~ap
NTWS	LOOKUP_DEDIAC-1	NTWS
r.w.j.r.#	BACKOFF_NO_GOLD_ROOT-1	<iruwjrAm
	NO_ROOT	
NTWS >.s.s	LOOKUP_DEDIAC-2	ROOT_ERROR
s.w.>	LOOKUP_DIAC-1	<i1A'ap
s.w.>	LOOKUP_DIAC-1	<i1A'ap
S.w.b	LOOKUP_DIAC-1	<i1A3ap
	NO_ROOT	
s.b.t	BACKOFF-1	<isbAtiy
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
S.d.r	LOOKUP_DEDIAC-1	<i12A3
s.f.f	LOOKUP_DEDIAC-1	<i12A3
>.s.f.n	LOOKUP_DEDIAC-1	<i23iy4
S.H.H	LOOKUP_DEDIAC-1	<i12A3
m.t.s.' m.t.s t.s.'	BACKOFF_NO_GOLD_ROOT-3+	1i23A'
	NO_ROOT	
	NO_ROOT	
S.l.H	LOOKUP_DEDIAC-1	<i12A3
s.l.m	LOOKUP_DEDIAC-1	<i12A3
s.l.m	LOOKUP_DEDIAC-1	<i12A3iy
s.l.m	LOOKUP_DEDIAC-1	<i12A3iy
s.l.b	LOOKUP_DEDIAC-1	<i12uw3
s.m.y	LOOKUP_DEDIAC-1	<i12
s.m.y	LOOKUP_DEDIAC-1	<i12
	NO_ROOT	
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
s.q.T	LOOKUP_DEDIAC-1	<i12A3
NTWS	LOOKUP_DEDIAC-1	NTWS
S.r.r	LOOKUP_DEDIAC-1	<i12A3
S.r.r	LOOKUP_DEDIAC-1	<i12A3
>.s.t	LOOKUP_DEDIAC-1	<is3
	NO_ROOT	
s.T.m	BACKOFF-1	<isTAmap
	NO_ROOT	
f.y.d	LOOKUP_DEDIAC-1	<isti1A3ap
f.z.z	LOOKUP_DEDIAC-1	<isti12A3
	NO_ROOT	
m.r.r	LOOKUP_DEDIAC-1	<isti1A2ap
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
x.b.r	LOOKUP_DEDIAC-1	<isti12A3Atiy
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
s.t.b	BACKOFF_NO_GOLD_ROOT-1	<istuwb~ap
s.T.b	BACKOFF-1	<isTuwb~ap
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
s.w.d	LOOKUP_DEDIAC-1	<i12i3
	NO_ROOT	
s.w.d	LOOKUP_DEDIAC-1	<i12i3
s.w.d	LOOKUP_DEDIAC-1	<i12i3
s.w.r	BACKOFF-1	<iswirap
w.j.h	LOOKUP_DEDIAC-1	<it~2A3
t.y.H	LOOKUP_DIAC-1	<i1A3ap
>.t.w	LOOKUP_DIAC-1	<i2A3ap
T.E.m	LOOKUP_DEDIAC-1	<i12A3
T.E.m	LOOKUP_DEDIAC-1	<i12A3
t.l.f	LOOKUP_DEDIAC-1	<i12A3
T.l.q	LOOKUP_DEDIAC-1	<i12A3
T.r.y	LOOKUP_DEDIAC-1	<i12A'
	NO_ROOT	
t.w.f.#	BACKOFF_NO_GOLD_ROOT-1	<ituwfAr
v.w.r	LOOKUP_DIAC-1	<i1A3ap
>.v.m	LOOKUP_DEDIAC-1	<i23
x.D.E	LOOKUP_DEDIAC-1	<i12A3
x.r.j	LOOKUP_DEDIAC-1	<i12A3
x.S.S	LOOKUP_DEDIAC-1	<i12
	NO_LEMMA	
q.t.l	LOOKUP_DIAC-1	1A2i3
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
r.E.y	LOOKUP_DIAC-1	1A2i3
w.j.b	LOOKUP_DIAC-1	<iy2A3
r.j.l	LOOKUP_DIAC-1	1A2i3
w.j.b	LOOKUP_DEDIAC-1	<iy2A3iy
w.j.b	LOOKUP_DIAC-1	<iy2A3iy~ap
s.w.d	LOOKUP_DIAC-1	1ay~i3
y.j.r	BACKOFF-1	<iyjArap
s.>.l	LOOKUP_DIAC-1	1u&A3
T.l.b	LOOKUP_DIAC-1	1A2i3
NTWS	LOOKUP_DIAC-1	NTWS
x.y.l	LOOKUP_DIAC-1	1a2~A3
m.}.r	BACKOFF_NO_GOLD_ROOT-1	1i}a3~a>
	NO_ROOT	
z.w.l	LOOKUP_DIAC-1	<i1A3ap
>.z.r	LOOKUP_DIAC-1	<i2A3
	NO_ROOT	
Z.h.r	LOOKUP_DEDIAC-1	<i12A3
l.g.y	LOOKUP_DEDIAC-1	<12A'
l.y.z	BACKOFF-1	<lyAzap
>.*.y	LOOKUP_DEDIAC-1	>2aY
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
$.f.r	BACKOFF-1	>a$farap
	NO_ROOT	
$.y.d	BACKOFF-1	>a$iydap
$.k.T	BACKOFF_NO_GOLD_ROOT-1	>a$kuwTap
	NO_ROOT	
$.q.r	LOOKUP_DEDIAC-1	>a12a3
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
$.w.l	BACKOFF-1	>a$wal
>.b.w	LOOKUP_DIAC-1	>a2
>.b.w	LOOKUP_DIAC-1	>a2
>.b.w	LOOKUP_DIAC-1	>a2
>.b.w	LOOKUP_DEDIAC-1	>a2~
>.b.w	LOOKUP_DEDIAC-1	>a2~
>.b.w	LOOKUP_DEDIAC-1	>a2~
	NO_ROOT	
>.b.d	LOOKUP_DEDIAC-1	>a2a3~
>.b.d	LOOKUP_DEDIAC-1	>a2a3iy
	NO_ROOT	
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
>.b.w	LOOKUP_DEDIAC-1	>a2a3iy
	NO_ROOT	
	NO_ROOT	
b.E.d	BACKOFF-1	>abEadiy~ap
b.h.r	LOOKUP_DEDIAC-1	>a12a3
>.b.y	LOOKUP_DEDIAC-1	>a2i3
b.y.b	BACKOFF-1	>abiyb
b.y.s	BACKOFF-1	>abiys
>.b.j.d	LOOKUP_DEDIAC-1	>a23a4
>.b.j.d	LOOKUP_DEDIAC-1	>a23a4iy
>.b.j.d	LOOKUP_DEDIAC-1	>a23a4iy~ap
b.k.m	LOOKUP_DEDIAC-1	>a12a3
b.l.h	LOOKUP_DEDIAC-1	>a12a3
b.l.k.#	BACKOFF_NO_GOLD_ROOT-1	>ablakA$
>.b.l	LOOKUP_DEDIAC-1	>a23ap
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
b.l.k	BACKOFF-1	>abliyk
	NO_ROOT	
b.l.z	LOOKUP_DEDIAC-1	>a12iy3
b.r.$	BACKOFF-1	>abra$iy~ap
b.r.S	LOOKUP_DEDIAC-1	>a12a3
	NO_ROOT	
	NO_ROOT	
b.r.m	BACKOFF-1	>abriymiy
>.b.r.q	LOOKUP_DEDIAC-1	>a23iy4
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
b.x.r	LOOKUP_DEDIAC-1	>a12a3
b.y.D	LOOKUP_DEDIAC-1	>a12a3
b.y.D	LOOKUP_DEDIAC-1	>a12a3
b.y.D	LOOKUP_DEDIAC-1	>a12a3
>.s.t.*	LOOKUP_DEDIAC-1	>u23A4
	NO_ROOT	
>.b.z.m	LOOKUP_DEDIAC-1	>a23iy4
	NO_ROOT	
>.d.y	LOOKUP_DIAC-1	>a2A'
>.d.y	LOOKUP_DIAC-1	>a2A'
>.d.b	LOOKUP_DIAC-1	>a2a3
>.d.b	LOOKUP_DIAC-1	>a2a3
>.d.b	LOOKUP_DEDIAC-1	>a2a3iy
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
>.d.m	LOOKUP_DEDIAC-1	>a2A3
	NO_ROOT	
j.h.z	LOOKUP_DIAC-1	1i2A3
>.d.b	LOOKUP_DIAC-1	>a2iy3
d.w.d	BACKOFF-1	>adwad
E.$.r	LOOKUP_DEDIAC-1	>a12A3iy
E.j.m	LOOKUP_DEDIAC-1	>a12a3
E.j.r	BACKOFF-1	>aEjar
E.l.w	LOOKUP_DEDIAC-1	>a12aY
E.l.w	LOOKUP_DEDIAC-1	>a12aY
E.m.$	LOOKUP_DEDIAC-1	>a12a3
E.m.y	LOOKUP_DEDIAC-1	>a12aY
b.r.w	LOOKUP_DEDIAC-1	mi1a2~a>
E.r.b	BACKOFF-1	>aErAbiy~ap
E.r.j	LOOKUP_DEDIAC-1	>a12a3
E.r.j	LOOKUP_DEDIAC-1	>a12a3
	NO_ROOT	
E.w.j	LOOKUP_DEDIAC-1	>a12a3
E.w.r	LOOKUP_DEDIAC-1	>a12a3
E.y.n	BACKOFF-1	>aEyAn
E.z.b	LOOKUP_DEDIAC-1	>a12a3
E.Z.m	LOOKUP_DEDIAC-1	>a12a3
	NO_ROOT	
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
f.D.l	LOOKUP_DEDIAC-1	>a12a3iy~ap
	NO_ROOT	
>.f.$	LOOKUP_DIAC-1	>a2iy3
f.y.z	BACKOFF-1	>afiyz
f.r.n.j	LOOKUP_DEDIAC-1	>a12a34iy
f.r.n.j	LOOKUP_DEDIAC-1	>a12a34iy
>.f.r.q	LOOKUP_DEDIAC-1	>a23iy4iy
f.r.z	LOOKUP_DEDIAC-1	>a12iy3
NTWS	LOOKUP_DIAC-1	NTWS
	NO_ROOT	
f.y.n	BACKOFF-1	>afyanap
f.y.n	BACKOFF-1	>afyuwnap
	NO_ROOT	
NTWS	LOOKUP_DIAC-1	NTWS
g.b.r	LOOKUP_DEDIAC-1	>a12a3
g.l.b	LOOKUP_DEDIAC-1	>a12a3iy~ap
g.l.b	LOOKUP_DEDIAC-1	>a12a3iy~ap
	NO_ROOT	
w.H.d	LOOKUP_DIAC-1	>a2a3
	NO_ROOT	
w.H.d	LOOKUP_DIAC-1	>a2a3
h.m.m	LOOKUP_DIAC-1	>a1a2~iy~ap
h.b.l	LOOKUP_DEDIAC-1	>a12a3
h.b.l	LOOKUP_DEDIAC-1	>a12a3
h.b.l	LOOKUP_DEDIAC-1	>a12a3
H.d.b	LOOKUP_DEDIAC-1	>a12a3
>.h.l	LOOKUP_DEDIAC-1	>a23
>.h.l	LOOKUP_DEDIAC-1	>a23
>.h.l	LOOKUP_DEDIAC-1	>a23Awiy
>.h.l	LOOKUP_DEDIAC-1	>a23iy
>.h.l	LOOKUP_DEDIAC-1	>a23iy
>.h.l	LOOKUP_DEDIAC-1	>a23iy~ap
H.m.d	LOOKUP_DEDIAC-1	>a12a3iy
H.m.q	LOOKUP_DEDIAC-1	>a12a3
H.m.r	LOOKUP_DEDIAC-1	>a12a3
m.l.k	LOOKUP_DEDIAC-1	1a2a3
H.m.r	LOOKUP_DEDIAC-1	>a12a3
	NO_ROOT	
H.s.n	LOOKUP_DEDIAC-1	>a12a3
h.t.m	LOOKUP_DEDIAC-1	>a12a3
h.y.>	LOOKUP_DEDIAC-1	mi1a2~a>
h.w.j	LOOKUP_DEDIAC-1	>a12a3
H.w.l	LOOKUP_DEDIAC-1	>a12a3
t.r.b	LOOKUP_DEDIAC-1	1u2a3iy
>.j.l	LOOKUP_DIAC-1	>a2a3
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
j.n.s	BACKOFF-1	>ajans
	NO_ROOT	
j.w.d	BACKOFF-1	>ajAwiyd
j.w.z	LOOKUP_DEDIAC-1	>a1A3ap
j.w.z	LOOKUP_DEDIAC-1	>a1A3ap
j.b.r	BACKOFF-1	>ajbar
w.j.b	LOOKUP_DEDIAC-1	>a23iy~ap
j.d.E	LOOKUP_DEDIAC-1	>a12a3
NTWS	LOOKUP_DEDIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
>.j.r	LOOKUP_DIAC-1	>a2iy3
j.l.l >.j.l	LOOKUP_DEDIAC-2	>a23
>.b.w	LOOKUP_DEDIAC-1	>a2~
m.h.z	BACKOFF_NO_GOLD_ROOT-1	1i2a3~a>
j.n.b	LOOKUP_DEDIAC-1	>a12a3iy
m.j.z	BACKOFF_NO_GOLD_ROOT-1	1i2a3~a>
>.j.r	LOOKUP_DEDIAC-1	>a23
>.j.r	LOOKUP_DEDIAC-1	>a23
j.r.d	LOOKUP_DEDIAC-1	>a12a3
