ROOT	STATUS	PATTERN_LEMMA_PROPOSED
E.y.l	BACKOFF-1	1a23ap
E.y.l	BACKOFF-1	1a23ap
E.y.l	BACKOFF-1	1a23ap
E.y.n	LOOKUP_DEDIAC-1	1a23
E.y.n	LOOKUP_DEDIAC-1	1a23
E.y.n	LOOKUP_DEDIAC-1	1a23
E.y.n	LOOKUP_DEDIAC-1	1a23iy
	NO_ROOT	
E.z.b	LOOKUP_DEDIAC-1	1a2a3ap
T.f.y	BACKOFF-1	ma12i3
E.w.z	LOOKUP_DIAC-1	1A3ap
E.Z.y.m	BACKOFF_NO_GOLD_ROOT-1	1a2A3i4
E.z.b	LOOKUP_DEDIAC-1	1a23ap
E.z.f	LOOKUP_DEDIAC-1	1a23
T.h.w	LOOKUP_DEDIAC-1	ma12iy
E.z.b	LOOKUP_DIAC-1	1A2i3
m.t.l t.l.y	BACKOFF-2	1a23iy
T.l.y m.T.l	BACKOFF-2	ma12i3
m.t.n t.n.y	BACKOFF-2	1a23iy
T.w.y	LOOKUP_DEDIAC-1	ma12i3
E.Z.m	LOOKUP_DIAC-1	1a2iy3
E.z.m	LOOKUP_DIAC-1	1a2iy3ap
E.z.q	BACKOFF-1	1a2iy3
E.z.z	LOOKUP_DIAC-1	1a2iy3
E.z.z	LOOKUP_DEDIAC-1	1a2iy3iy
E.z.l	LOOKUP_DEDIAC-1	1a23
E.z.m	LOOKUP_DEDIAC-1	1a23
E.Z.m	LOOKUP_DEDIAC-1	1a23iy
E.z.q	BACKOFF-1	1a23
E.z.q	BACKOFF-1	1a23ap
E.z.r E.z.r.n	BACKOFF-2	1a23anap
E.z.l	BACKOFF-1	1a2uw3
E.$.$	LOOKUP_DEDIAC-1	1i2~
E.$.$	LOOKUP_DEDIAC-1	1i2~ap
	NO_ROOT	
E.$.r	BACKOFF-1	1i2A3
E.$.r	LOOKUP_DEDIAC-1	1i2a3iy
E.$.q	LOOKUP_DEDIAC-1	1i23
E.$.r	LOOKUP_DEDIAC-1	1i23ap
E.$.y	BACKOFF-1	1i2wi3~ap
E.b.>	LOOKUP_DEDIAC-1	1i2'
E.b.b	LOOKUP_DEDIAC-1	1i2~
E.b.d	LOOKUP_DIAC-1	1i2A3ap
E.b.r	LOOKUP_DIAC-1	1i2A3ap
E.b.r	LOOKUP_DEDIAC-1	1i23ap
E.b.r	LOOKUP_DEDIAC-1	1i23ap
w.H.y	LOOKUP_DEDIAC-1	ma12i3
E.b.r	LOOKUP_DEDIAC-1	1i23iy~ap
m.x.l x.l.y	BACKOFF-2	1a23iy
E.d.d	LOOKUP_DEDIAC-1	1i2~iy~ap
E.d.l	LOOKUP_DEDIAC-1	1i2i3
E.d.w	LOOKUP_DEDIAC-1	1i23An
E.f.f	LOOKUP_DIAC-1	1i2~ap
E.f.$	LOOKUP_DEDIAC-1	1i2i3
E.f.n	LOOKUP_DEDIAC-1	1i2i3
E.j.j	LOOKUP_DEDIAC-1	1i2~ap
E.j.l	LOOKUP_DEDIAC-1	1i23
x.S.y	LOOKUP_DEDIAC-1	ma12i3
E.k.r	LOOKUP_DEDIAC-1	1i2A3ap
E.k.m	BACKOFF-1	1i23ap
E.k.w	BACKOFF_NO_GOLD_ROOT-1	1i23ap
E.l.n	LOOKUP_DEDIAC-1	1i2~A3
E.l.n	BACKOFF-1	1i2~A3ap
E.l.l	LOOKUP_DIAC-1	1i2~ap
E.l.l	LOOKUP_DIAC-1	1i2~ap
E.l.y	BACKOFF-1	1i2~a3wiy
E.l.j	LOOKUP_DIAC-1	1i2A3
E.l.j	LOOKUP_DEDIAC-1	1i2A3iy
E.l.l	LOOKUP_DEDIAC-1	1i2A3ap
E.l.q	LOOKUP_DEDIAC-1	1i2A3ap
E.l.w	LOOKUP_DIAC-1	1i2A3ap
E.l.b	LOOKUP_DEDIAC-1	1i23ap
E.l.b	LOOKUP_DEDIAC-1	1i23ap
E.l.w	LOOKUP_DEDIAC-1	1i2i3~
E.l.m	LOOKUP_DEDIAC-1	1i23
E.l.m	LOOKUP_DEDIAC-1	1i23
E.l.m	LOOKUP_DEDIAC-1	1i23Aniy
E.l.m	LOOKUP_DEDIAC-1	1i23iy
E.l.m.y.n	BACKOFF_NO_GOLD_ROOT-1	1i234A5iy
E.l.q	BACKOFF-1	1i23
E.l.q	LOOKUP_DEDIAC-1	1i23ap
E.l.w	LOOKUP_DEDIAC-1	1i23
E.m.m	LOOKUP_DIAC-1	1i2~ap
E.m.d	LOOKUP_DIAC-1	1i2A3
E.m.d	LOOKUP_DIAC-1	1i2A3ap
E.m.l	LOOKUP_DEDIAC-1	1i2A3ap
E.m.m	LOOKUP_DIAC-1	1i2A3ap
E.m.r	LOOKUP_DIAC-1	1i2A3ap
E.m.l.q	LOOKUP_DEDIAC-1	1i23A4
x.z.y	LOOKUP_DEDIAC-1	ma12i3
E.n.b	LOOKUP_DEDIAC-1	1i2~A3
E.n.b	BACKOFF-1	1i2~A3ap
E.n.b	LOOKUP_DEDIAC-1	1i2~A3iy
E.n.b	LOOKUP_DIAC-1	1i2a3ap
E.n.d	LOOKUP_DIAC-1	1i2A3
E.n.d	BACKOFF-1	1i2a3iy
E.n.y	LOOKUP_DIAC-1	1i2A3ap
E.n.d	LOOKUP_DEDIAC-1	1i23
E.n.y	BACKOFF-1	1i2i3~ap
E.n.q	LOOKUP_DEDIAC-1	1i23
E.n.q.f	BACKOFF_NO_GOLD_ROOT-1	1i23A4ap
E.n.w.n	LOOKUP_DEDIAC-1	1i23A4
E.n.w.n	LOOKUP_DEDIAC-1	1i23A4
E.n.w	LOOKUP_DEDIAC-1	1i23ap
E.q.b	LOOKUP_DIAC-1	1i2A3
E.q.l	LOOKUP_DIAC-1	1i2A3
E.q.r	LOOKUP_DEDIAC-1	1i2A3
E.q.r	LOOKUP_DEDIAC-1	1i2A3iy
E.q.d	LOOKUP_DEDIAC-1	1i23
z.w.y	LOOKUP_DEDIAC-1	ma12i3
E.r.$	LOOKUP_DEDIAC-1	1i23
m.}.d m.}.d.y }.d.y	BACKOFF_NO_GOLD_ROOT-3+	1i}a3~iy
E.r.D	LOOKUP_DEDIAC-1	1i23
E.r.n.s	BACKOFF-1	1i23A4iy
E.r.q	LOOKUP_DEDIAC-1	1i23
E.r.s	BACKOFF-1	1i23ap
E.r.w	LOOKUP_DEDIAC-1	1i23ap
E.r.y	LOOKUP_DEDIAC-1	1i23
E.r.y	LOOKUP_DEDIAC-1	1i23An
E.S.b	LOOKUP_DIAC-1	1i2A3ap
E.S.m	LOOKUP_DEDIAC-1	1i2A3iy
E.S.m	LOOKUP_DEDIAC-1	1i23ap
E.s.r	BACKOFF-1	1i23ap
E.s.r	LOOKUP_DEDIAC-1	1i23Awiy
E.S.y	LOOKUP_DEDIAC-1	1i23An
	NO_ROOT	
E.t.b	LOOKUP_DIAC-1	1i2A3
E.t.l	LOOKUP_DIAC-1	1i2A3ap
E.t.q	LOOKUP_DEDIAC-1	1i2A3ap
E.T.r	LOOKUP_DIAC-1	1i2A3ap
E.T.s	LOOKUP_DEDIAC-1	1i2A3
E.t.m	LOOKUP_DEDIAC-1	1i2i3
E.t.q	LOOKUP_DEDIAC-1	1i23
E.t.q	BACKOFF-1	1i23iy
E.T.r	LOOKUP_DEDIAC-1	1i23
E.t.r	BACKOFF-1	1i23ap
E.T.r	LOOKUP_DEDIAC-1	1i23iy
	NO_ROOT	
E.w.l	BACKOFF-1	1i2A3ap
E.y.j	BACKOFF-1	1iwa23ap
E.y.$	LOOKUP_DEDIAC-1	1i23ap
E.y.d	LOOKUP_DIAC-1	1i2A3ap
E.y.l	BACKOFF-1	1i2A3iy
E.y.q	BACKOFF-1	1i2A3ap
E.y.r	LOOKUP_DIAC-1	1i2A3
E.y.r	BACKOFF-1	1i2A3iy
E.y.T	LOOKUP_DIAC-1	1i2A3
E.y.d	LOOKUP_DIAC-1	1i23
E.y.d	LOOKUP_DIAC-1	1i23
E.y.d	LOOKUP_DIAC-1	1i23iy~ap
E.y.n	LOOKUP_DEDIAC-1	1i23
E.y.n	LOOKUP_DEDIAC-1	1i23
E.y.n	LOOKUP_DEDIAC-1	1i23
E.y.r	LOOKUP_DEDIAC-1	1i23
E.y.r	LOOKUP_DIAC-1	1i23ap
$.$.y m.$.$	BACKOFF-2	mi1A2i3
E.z.z	LOOKUP_DIAC-1	1i2~ap
E.z.y	BACKOFF-1	1i2~i3~ap
E.z.l	LOOKUP_DIAC-1	1i2A3
w.E.Z	LOOKUP_DIAC-1	2i3ap
E.z.b	LOOKUP_DEDIAC-1	1i23ap
E.z.w	LOOKUP_DEDIAC-1	1i23ap
E.z.w.l	BACKOFF_NO_GOLD_ROOT-1	1i23ay4ap
E.*.r	LOOKUP_DEDIAC-1	1u23
E.*.r	LOOKUP_DEDIAC-1	1u23
E.*.r	BACKOFF-1	1u23iy~ap
E.$.r	LOOKUP_DEDIAC-1	1u2a3
E.$.b	LOOKUP_DEDIAC-1	1u23
E.$.b	BACKOFF-1	1u23ap
$.b.y	BACKOFF-1	mi1A2i3
$.f.y	LOOKUP_DEDIAC-1	mi1a2~iy
E.b.T	LOOKUP_DEDIAC-1	1u23
E.b.w	LOOKUP_DIAC-1	1u2u3~ap
E.b.d	LOOKUP_DIAC-1	1u2uw3iy~ap
E.b.r	LOOKUP_DIAC-1	1u2uw3
E.b.s	LOOKUP_DIAC-1	1u2uw3
E.D.w	LOOKUP_DEDIAC-1	1u23
E.D.w	LOOKUP_DEDIAC-1	1u23
E.D.w	LOOKUP_DEDIAC-1	1u23
E.d.w	LOOKUP_DEDIAC-1	1u23An
E.d.w	LOOKUP_DEDIAC-1	1u23Aniy
E.d.w	LOOKUP_DEDIAC-1	1u23Aniy~ap
E.D.w	LOOKUP_DEDIAC-1	1u23iy
E.D.w	LOOKUP_DEDIAC-1	1u23iy~ap
E.f.r	LOOKUP_DIAC-1	1u2A3
E.f.r	LOOKUP_DEDIAC-1	1u2A3ap
E.f.n	LOOKUP_DIAC-1	1u2uw3ap
E.h.d	LOOKUP_DEDIAC-1	1u23ap
E.j.b	LOOKUP_DEDIAC-1	1u23
E.k.z	LOOKUP_DIAC-1	1u2~A3
E.k.z	LOOKUP_DIAC-1	1u2~A3
$.h.w	LOOKUP_DEDIAC-1	mi1a2~iy
E.k.$	BACKOFF-1	1u23ap
E.l.m	BACKOFF-1	1u2~ay3ap
E.l.q	LOOKUP_DEDIAC-1	1u2~ay3
E.l.q	LOOKUP_DEDIAC-1	1u2~ay3ap
E.l.w	LOOKUP_DIAC-1	1u2iy~ap
E.l.q	BACKOFF-1	1u2uw3iy~ap
E.l.w	LOOKUP_DEDIAC-1	1u23iy
E.m.l	LOOKUP_DEDIAC-1	1u2~A3iy
E.m.r	LOOKUP_DEDIAC-1	1u2A3ap
E.m.S	LOOKUP_DIAC-1	1u2A3
$.l.y	BACKOFF-1	mi1a2~i3
E.m.l	LOOKUP_DEDIAC-1	1u23ap
E.m.q	LOOKUP_DEDIAC-1	1u23
E.m.r	LOOKUP_DEDIAC-1	1u23
E.m.r	LOOKUP_DEDIAC-1	1u23
E.m.r	LOOKUP_DEDIAC-1	1u23An
E.m.r	BACKOFF-1	1u23ap
E.m.d	LOOKUP_DEDIAC-1	1u2u3iy~ap
E.m.l	LOOKUP_DIAC-1	1u2uw3ap
$.t.w	LOOKUP_DEDIAC-1	mi1a2~iy
E.m.m	LOOKUP_DEDIAC-1	1u2uw3iy
E.n.f	LOOKUP_DEDIAC-1	1u23
E.n.S.r	LOOKUP_DEDIAC-1	1u23u4
E.n.S.r	LOOKUP_DEDIAC-1	1u23u4
E.n.S.r	LOOKUP_DEDIAC-1	1u23u4iy
E.n.S.r	LOOKUP_DEDIAC-1	1u23u4iy~ap
E.n.q	LOOKUP_DEDIAC-1	1u2u3
E.n.s	LOOKUP_DIAC-1	1u2uw3ap
E.q.d	LOOKUP_DEDIAC-1	1u2~A3
E.q.b	LOOKUP_DEDIAC-1	1u23
E.q.d	LOOKUP_DEDIAC-1	1u23
E.q.d	LOOKUP_DEDIAC-1	1u23ap
E.q.l	LOOKUP_DEDIAC-1	1u23ap
E.q.m	LOOKUP_DEDIAC-1	1u23
E.q.r	LOOKUP_DEDIAC-1	1u23
E.q.b	LOOKUP_DIAC-1	1u2uw3ap
E.r.q	BACKOFF-1	1u2A3
$.h.w	LOOKUP_DEDIAC-1	mi1ti2iy
E.r.f	LOOKUP_DEDIAC-1	1u23
E.r.f	LOOKUP_DEDIAC-1	1u23iy
E.r.m	LOOKUP_DEDIAC-1	1u23ap
E.r.b	LOOKUP_DIAC-1	1u2uw3ap
E.S.r	LOOKUP_DEDIAC-1	1u2A3ap
E.S.b	LOOKUP_DEDIAC-1	1u23ap
E.S.f.r	LOOKUP_DEDIAC-1	1u23u4
E.s.r	LOOKUP_DEDIAC-1	1u23
E.t.q	BACKOFF-1	1u2a3iy
E.T.s	LOOKUP_DIAC-1	1u2A3
E.T.l	LOOKUP_DEDIAC-1	1u23
E.T.l	LOOKUP_DEDIAC-1	1u23ap
E.v.m	LOOKUP_DEDIAC-1	1u23Aniy
	NO_ROOT	
E.w.d	LOOKUP_DIAC-1	1u23
E.w.n	LOOKUP_DEDIAC-1	1u23
E.y.T	LOOKUP_DEDIAC-1	1u2A3
E.z.b	LOOKUP_DIAC-1	1u2uw3ap
E.z.b	LOOKUP_DIAC-1	1u2uw3iy~ap
E.z.m	LOOKUP_DIAC-1	1u2uw3ap
E.z.m	LOOKUP_DIAC-1	1u2uw3ap
NTWS	LOOKUP_DEDIAC-1	NTWS
f.y.d	LOOKUP_DIAC-1	1A}i3ap
f.w.q	LOOKUP_DIAC-1	1A}i3
f.r.r f.w.r	LOOKUP_DEDIAC-2	ROOT_ERROR
f.$.r	LOOKUP_DIAC-1	1a2~A3
f.$.$	BACKOFF-1	1a2a3An
	NO_ROOT	
f.$.q	BACKOFF-1	1a2a3An
f.$.y	BACKOFF-1	1a2a3An
f.$.f.$	BACKOFF-1	1a23a4ap
$.k.w	LOOKUP_DEDIAC-1	mi1ti2iy
f.$.l	LOOKUP_DIAC-1	1A2i3
$.r.y	LOOKUP_DEDIAC-1	mi1ti2i3
b.d.w	LOOKUP_DEDIAC-1	mi1a2~iy
b.h.y	BACKOFF-1	mi1A2i3
b.k.y b.k.Y	LOOKUP_DEDIAC-2	mi1a2~iy
f.$.k.l	BACKOFF-1	1a23a4ap
f.$.q	BACKOFF-1	1a23
f.$.q	BACKOFF-1	1a23ap
f.$.r	LOOKUP_DEDIAC-1	1a23
f.$.r	BACKOFF-1	1a23ap
b.q.y	BACKOFF-1	mi1a2~i3
f.$.w	BACKOFF-1	1a23
f.$.x	BACKOFF-1	1a23
f.$.x	LOOKUP_DEDIAC-1	1a23ap
f.$.x.r	BACKOFF-1	1a23a4ap
f.$.y	BACKOFF-1	1a23
f.b.r.k	LOOKUP_DEDIAC-1	1a23a4ap
	NO_ROOT	
f.b.r.k	BACKOFF-1	1a23iy4ap
f.d.n	LOOKUP_DIAC-1	1a2~A3
f.D.D	LOOKUP_DEDIAC-1	1a2~ap
f.D.y	BACKOFF-1	1a2~A3ap
f.D.D	LOOKUP_DEDIAC-1	1a2~iy
f.D.y	BACKOFF-1	1a2~i3~ap
b.S.y	BACKOFF-1	mi1A2i3
f.d.g	BACKOFF-1	1a2a3An
f.D.l	LOOKUP_DEDIAC-1	1a2a3
f.D.l	BACKOFF-1	1a2a3An
f.D.D	LOOKUP_DEDIAC-1	1a2aY
f.D.y	BACKOFF-1	1a2a3An
f.D.y.H	BACKOFF_NO_GOLD_ROOT-1	1a2A34iy
f.D.f.D	LOOKUP_DEDIAC-1	1a23a4ap
f.d.g	BACKOFF-1	1a23
f.D.H	LOOKUP_DEDIAC-1	1a23
b.d.w	LOOKUP_DEDIAC-1	mi12iy
b.q.y	BACKOFF-1	mi12i3
b.d.y	BACKOFF-1	mi1ti2i3
f.d.H	LOOKUP_DIAC-1	1A2i3
b.l.w	LOOKUP_DEDIAC-1	mi1ti2iy
f.D.l	LOOKUP_DEDIAC-1	1A2i3~
m.d.y	LOOKUP_DEDIAC-1	1i2~iy
NTWS b.l.k	LOOKUP_DEDIAC-2	ROOT_ERROR
f.D.H	LOOKUP_DIAC-1	1a2iy3ap
f.D.l	LOOKUP_DIAC-1	1a2iy3
f.D.l	LOOKUP_DIAC-1	1a2iy3ap
f.D.l	LOOKUP_DEDIAC-1	1a23
f.D.l	LOOKUP_DEDIAC-1	1a23ap
f.d.w	BACKOFF-1	1a23
f.d.w	BACKOFF-1	1a23ap
f.d.y	LOOKUP_DEDIAC-1	1a2y
f.E.l	LOOKUP_DIAC-1	1a2~A3
f.E.l	BACKOFF-1	1a2a3An
f.E.S	BACKOFF-1	1a2a3An
m.d.d d.d.y	BACKOFF-2	1i2A3iy
f.E.l	LOOKUP_DIAC-1	1A2i3iy~ap
d.f.y	BACKOFF-1	mi1a2~i3
f.E.k.$	BACKOFF-1	1a23a4ap
f.E.S	BACKOFF-1	1a23
f.H.m	LOOKUP_DIAC-1	1a2~A3
f.h.m	LOOKUP_DIAC-1	1a2~A3ap
f.h.m	LOOKUP_DEDIAC-1	1a2~iy3
f.H.$	LOOKUP_DEDIAC-1	1A23ap
f.H.m	BACKOFF-1	1a2a3An
f.h.q	BACKOFF-1	1a2a3An
f.H.t	BACKOFF-1	1a2a3An
f.h.d	LOOKUP_DEDIAC-1	1a23
d.H.w	LOOKUP_DEDIAC-1	mi1a2~iy
f.H.$	LOOKUP_DIAC-1	1A2i3ap
D.H.y	BACKOFF-1	mi1a2~i3
d.l.y	BACKOFF-1	mi1a2~i3
f.H.m	LOOKUP_DIAC-1	1A2i3
m.d.n	LOOKUP_DEDIAC-1	1i2a3~iy
d.r.y	LOOKUP_DEDIAC-1	mi1a2~iy
d.w.r	LOOKUP_DEDIAC-1	mi1A3iy
d.w.y m.d.y	LOOKUP_DEDIAC-2	mi1a2~i3
f.H.r	BACKOFF-1	1a2iy3ap
f.H.k.$	BACKOFF-1	1a23a4ap
f.H.l	LOOKUP_DEDIAC-1	1a23
f.h.l.w	LOOKUP_DEDIAC-1	1a23a4ap
f.h.l	LOOKUP_DEDIAC-1	1a23awiy
f.h.m	LOOKUP_DEDIAC-1	1a23
f.H.m	LOOKUP_DEDIAC-1	1a23ap
f.h.q	BACKOFF-1	1a23
f.h.q	LOOKUP_DEDIAC-1	1a23ap
f.H.r	BACKOFF-1	1a23
f.h.r.s	BACKOFF-1	1a23a4ap
f.H.S	LOOKUP_DEDIAC-1	1a23
f.H.t	BACKOFF-1	1a23
f.H.t	BACKOFF-1	1a23ap
f.H.w	LOOKUP_DEDIAC-1	1a23aY
f.j.>	LOOKUP_DEDIAC-1	1a2>ap
d.w.y m.d.w	BACKOFF-2	mi1A2i3
f.j.j	LOOKUP_DIAC-1	1a2~
f.j.E	LOOKUP_DEDIAC-1	1a2a3An
f.j.E	LOOKUP_DIAC-1	1a2A3ap
f.j.j	BACKOFF-1	1a2a3An
f.j.E	LOOKUP_DEDIAC-1	1a23An
f.j.E.n	LOOKUP_DEDIAC-1	1a23a4ap
f.j.E	LOOKUP_DEDIAC-1	1a23ap
f.j.f.j	BACKOFF-1	1a23a4ap
E.$.y	BACKOFF-1	mi1a2~i3
f.j.E	LOOKUP_DIAC-1	1A2i3ap
E.b.y	BACKOFF-1	mi1a2~i3
E.d.w m.E.d	LOOKUP_DEDIAC-2	mi1a2~iy
f.j.E	LOOKUP_DIAC-1	1a2iy3ap
f.j.r	LOOKUP_DEDIAC-1	1a23
f.j.r	BACKOFF-1	1a23ap
f.j.r	BACKOFF-1	1a23iy~ap
f.j.r	BACKOFF-1	1a2uw3ap
f.j.w	LOOKUP_DEDIAC-1	1a23ap
f.k.k	LOOKUP_DIAC-1	1a2~
f.k.k	LOOKUP_DIAC-1	1a2~ap
f.k.h	BACKOFF-1	1a2a3Aniy
f.k.k	BACKOFF-1	1a2a3An
f.k.h	BACKOFF-1	1a23ap
f.k.h	BACKOFF-1	1a23ap
f.k.h	LOOKUP_DIAC-1	1A2i3ap
E.f.w	LOOKUP_DEDIAC-1	mi1A2iy
E.r.y	LOOKUP_DEDIAC-1	mi1a2~iy
NTWS	LOOKUP_DEDIAC-1	NTWS
f.k.k	BACKOFF-1	1a2iy3
NTWS	LOOKUP_DEDIAC-1	NTWS
f.>.l	LOOKUP_DEDIAC-1	1A3
f.l.H	LOOKUP_DIAC-1	1a2~A3
f.l.H	LOOKUP_DEDIAC-1	1a2~A3iy
f.l.l	LOOKUP_DEDIAC-1	1a2~ap
f.l.y	LOOKUP_DIAC-1	1a2~A3ap
f.l.T	BACKOFF-1	1a2~uw3
f.l.T	BACKOFF-1	1a2~uw3ap
f.l.H.n f.l.H	BACKOFF-2	ROOT_ERROR
f.l.k	LOOKUP_DIAC-1	1a2a3
f.l.k	LOOKUP_DEDIAC-1	1a2a3ap
f.l.k	LOOKUP_DEDIAC-1	1a2a3iy
f.l.k.s	BACKOFF_NO_GOLD_ROOT-1	1a2a34
f.l.l	BACKOFF-1	1a2a3An
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
f.l.q	BACKOFF-1	1a2a3An
f.l.q	LOOKUP_DIAC-1	1a2a3ap
f.l.s	LOOKUP_DEDIAC-1	1a2a3
	NO_ROOT	
f.l.t	LOOKUP_DIAC-1	1a2a3An
f.l.T	BACKOFF-1	1a2a3An
f.l.t	LOOKUP_DEDIAC-1	1a2A3iy
f.l.y.k	BACKOFF_NO_GOLD_ROOT-1	1a2A34iy
f.l.E	BACKOFF-1	1a23ap
f.l.E.S	BACKOFF-1	1a23a4ap
f.l.E.S	BACKOFF-1	1a23uw4
f.l.f.l	LOOKUP_DEDIAC-1	1a23a4ap
f.l.f.S	BACKOFF-1	1a23a4ap
f.l.f.S	BACKOFF-1	1a23uw4
f.l.H.n f.l.H	BACKOFF-2	ROOT_ERROR
f.l.H.s	BACKOFF-1	1a23a4ap
f.l.H.s	BACKOFF-1	1a23uw4
m.E.y	LOOKUP_DEDIAC-1	1i2aw~i3
f.l.j	LOOKUP_DIAC-1	1A2i3
E.f.w	LOOKUP_DEDIAC-1	mi12iy
E.d.w	LOOKUP_DEDIAC-1	mi1ti2iy
E.n.y	LOOKUP_DEDIAC-1	mi1ti2i3
f.$.w	LOOKUP_DEDIAC-1	mi12iy
f.l.k.$	BACKOFF-1	1a23a4ap
f.l.q	LOOKUP_DEDIAC-1	1a23
f.l.q	LOOKUP_DEDIAC-1	1a23ap
f.l.q.s	BACKOFF-1	1a23a4ap
f.l.S	BACKOFF-1	1a23
f.l.s.E	BACKOFF-1	1a23a4ap
f.l.s.f	LOOKUP_DEDIAC-1	1a23a4ap
f.l.s.f	LOOKUP_DEDIAC-1	1a23a4iy
f.l.s	BACKOFF-1	1a23An
f.l.S.w	BACKOFF_NO_GOLD_ROOT-1	1a23u4
NTWS f.l.t	LOOKUP_DEDIAC-2	ROOT_ERROR
NTWS	LOOKUP_DEDIAC-1	NTWS
f.l.T.H	LOOKUP_DEDIAC-1	1a23a4ap
f.l.t	LOOKUP_DEDIAC-1	1a23ap
f.l.w	LOOKUP_DEDIAC-1	1a23
f.m.w f.m.m	LOOKUP_DIAC-2	1a2
	NO_ROOT	
f.n.n	LOOKUP_DIAC-1	1a2~
f.n.n	LOOKUP_DIAC-1	1a2~A3
f.D.w	LOOKUP_DEDIAC-1	mi1a2~iy
f.n.r	LOOKUP_DIAC-1	1a2A3
f.n.x	BACKOFF-1	1a2a3An
f.n.d.q	LOOKUP_DEDIAC-1	1a23a4ap
NTWS	LOOKUP_DIAC-1	NTWS
	NO_ROOT	
f.d.y	BACKOFF-1	mi1A2i3
b.n.h b.n.y.h	BACKOFF_NO_GOLD_ROOT-2	1u2ay3
	NO_ROOT	
f.n.j.l	BACKOFF-1	1a23a4ap
f.n.j.r	LOOKUP_DEDIAC-1	1a23a4ap
f.l.y	BACKOFF-1	mi1a2~i3
f.n.j.S	BACKOFF-1	1a23a4ap
f.n.s	BACKOFF-1	1a23
f.n.T.z	BACKOFF-1	1a23a4ap
f.n.s	LOOKUP_DIAC-1	1A2uw3
f.n.x	LOOKUP_DEDIAC-1	1a23
f.n.r f.n.y.r	BACKOFF-2	1a2ya3ap
f.n.x f.n.y.x	BACKOFF-2	1a2ya3ap
f.q.s	BACKOFF-1	1a2~uw3ap
f.q.$	LOOKUP_DEDIAC-1	1a23
f.q.d	LOOKUP_DEDIAC-1	1a2a3An
f.q.E	BACKOFF-1	1a2a3An
f.q.r	BACKOFF-1	1a2a3An
f.q.s	BACKOFF-1	1a2a3An
f.s.y	BACKOFF-1	mi1a2~i3
f.q.y.r	BACKOFF_NO_GOLD_ROOT-1	1a2A34iy
f.q.E	BACKOFF-1	1a23
f.q.f.q	BACKOFF-1	1a23a4ap
f.q.f.q	BACKOFF-1	1a23uw4ap
f.q.h.n f.q.h	BACKOFF-2	1a23a4ap
f.y.y	BACKOFF-1	mi1a2~i3
f.r.y	LOOKUP_DEDIAC-1	mi1ti2i3
g.*.w	LOOKUP_DEDIAC-1	mi1a2~iy
g.b.y	BACKOFF-1	mi1a2~i3
g.d.w	LOOKUP_DEDIAC-1	mi1a2~iy
f.q.d	LOOKUP_DIAC-1	1a2iy3
f.q.r	LOOKUP_DIAC-1	1a2iy3
f.q.r	LOOKUP_DIAC-1	1a2iy3
f.q.r	LOOKUP_DEDIAC-1	1a23
f.q.r	BACKOFF-1	1a23An
f.q.r	LOOKUP_DEDIAC-1	1a23ap
f.q.r	LOOKUP_DEDIAC-1	1a23iy
f.q.s	BACKOFF-1	1a23
f.q.s	BACKOFF-1	1a23ap
f.r.$	LOOKUP_DIAC-1	1a2~A3
f.r.d	BACKOFF-1	1a2~A3iy
f.r.n	LOOKUP_DIAC-1	1a2~A3
f.r.z	LOOKUP_DIAC-1	1a2~A3ap
f.r.z	BACKOFF-1	1a2~iy3
f.r.$	LOOKUP_DEDIAC-1	1a23
f.r.$.H	LOOKUP_DEDIAC-1	1a23a4ap
f.r.$	LOOKUP_DIAC-1	1a2A3ap
f.r.d	LOOKUP_DEDIAC-1	1a2a3An
f.r.d	BACKOFF-1	1a2a3Aniy
f.r.g	LOOKUP_DIAC-1	1a2A3
f.r.g	BACKOFF-1	1a2a3An
f.r.g	BACKOFF-1	1a2A3ap
	NO_ROOT	
f.r.H	LOOKUP_DIAC-1	1a2a3
	NO_ROOT	
f.r.j	LOOKUP_DIAC-1	1a2a3
f.r.j f.r.j.n	BACKOFF-2	1a2a3An
f.r.j	BACKOFF-1	1a2a3iy~ap
f.r.m.n	LOOKUP_DEDIAC-1	1a2a3A4
f.r.n.$	BACKOFF_NO_GOLD_ROOT-1	1a2a34ap
NTWS	LOOKUP_DEDIAC-1	NTWS
f.r.n.k	BACKOFF_NO_GOLD_ROOT-1	1a2a34
g.l.y	LOOKUP_DEDIAC-1	mi1a2~i3
g.m.y	LOOKUP_DEDIAC-1	mi1a2~iy
f.w.r	LOOKUP_DIAC-1	1A3ap
f.r.r	LOOKUP_DEDIAC-1	1a2A3
NTWS	LOOKUP_DEDIAC-1	NTWS
f.r.s	BACKOFF-1	1a2a3ap
f.r.s	LOOKUP_DIAC-1	1a2A3ap
f.r.T	BACKOFF-1	1a2a3An
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
f.r.y.H	BACKOFF_NO_GOLD_ROOT-1	1a2A34iy
f.r.d	LOOKUP_DEDIAC-1	1a23
f.r.d	LOOKUP_DEDIAC-1	1a23
f.r.D	LOOKUP_DEDIAC-1	1a23
f.r.d	LOOKUP_DEDIAC-1	1a23ap
f.r.d	LOOKUP_DEDIAC-1	1a23iy
f.r.E	LOOKUP_DEDIAC-1	1a23
